Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.3e-05,16.014554,[101  31] ; [25 29],[89.41935484 42.58064516] ; [36.58064516 17.41935484],1
n4,1,0.391162,0.735326,[45 87] ; [22 32],[47.5483871 84.4516129] ; [19.4516129 34.5483871],0
p3,1,0.408883,0.682045,[40 90] ; [20 34],[42.39130435 87.60869565] ; [17.60869565 36.39130435],0
n3,1,0.431106,0.619842,[30 11] ; [12  7],[28.7 12.3] ; [13.3  5.7],0
s1,1,0.43216,0.617011,[  6 126] ; [ 4 50],[  7.09677419 124.90322581] ; [ 2.90322581 51.09677419],0
s4,1,0.464319,0.535462,[ 21 111] ; [11 43],[ 22.70967742 109.29032258] ; [ 9.29032258 44.70967742],0
v1,1,0.479295,0.500468,[46 83] ; [16 37],[43.94505495 85.05494505] ; [18.05494505 34.94505495],0
p7,1,0.481079,0.496417,[60 70] ; [28 26],[62.17391304 67.82608696] ; [25.82608696 28.17391304],0
p5,1,0.487959,0.481023,[  5 125] ; [ 1 53],[  4.23913043 125.76086957] ; [ 1.76086957 52.23913043],0
a3,1,0.550183,0.35699,[81 51] ; [30 23],[79.2 52.8] ; [31.8 21.2],0
a8,1,0.613713,0.254803,[  3 117] ; [ 2 49],[  3.50877193 116.49122807] ; [ 1.49122807 49.50877193],0
p6,1,0.619737,0.246238,[ 27 102] ; [ 9 42],[ 25.8 103.2] ; [10.2 40.8],0
s5,1,0.669524,0.18216,[28 99] ; [13 39],[29.08938547 97.91061453] ; [11.91061453 40.08938547],0
p4,1,0.696548,0.152088,[51 80] ; [19 34],[49.83695652 81.16304348] ; [20.16304348 32.83695652],0
s2,1,0.709196,0.139082,[40 91] ; [15 39],[38.94594595 92.05405405] ; [16.05405405 37.94594595],0
u2,1,0.737097,0.112695,[25 25] ; [13 11],[25.67567568 24.32432432] ; [12.32432432 11.67567568],0
s7,1,0.746594,0.104416,[28 98] ; [10 40],[27.20454545 98.79545455] ; [10.79545455 39.20454545],0
p11,1,0.789634,0.071175,[81 51] ; [32 22],[80.19354839 51.80645161] ; [32.80645161 21.19354839],0
p1,1,0.79638,0.066582,[  6 123] ; [ 3 51],[  6.3442623 122.6557377] ; [ 2.6557377 51.3442623],0
b4,1,0.864742,0.029016,[80 52] ; [32 22],[79.48387097 52.51612903] ; [32.51612903 21.48387097],0
d2,1,0.956573,0.002965,[47 85] ; [19 35],[46.83870968 85.16129032] ; [19.16129032 34.83870968],0
