Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.7e-05,18.530487,[75 11] ; [ 7 10],[68.46601942 17.53398058] ; [13.53398058  3.46601942],1
b3,1,0.537699,0.379821,[14 31] ; [3 4],[14.71153846 30.28846154] ; [2.28846154 4.71153846],0
a7,1,0.540169,0.375226,[62 24] ; [11  6],[60.95145631 25.04854369] ; [12.04854369  4.95145631],0
s4,1,0.596254,0.280682,[20 65] ; [ 3 14],[19.16666667 65.83333333] ; [ 3.83333333 13.16666667],0
a1,1,0.640616,0.217937,[ 3 83] ; [ 1 16],[ 3.33980583 82.66019417] ; [ 0.66019417 16.33980583],0
d4,1,0.792377,0.069287,[73 13] ; [14  3],[72.6407767 13.3592233] ; [14.3592233  2.6407767],0
d1,1,0.828376,0.046996,[53 33] ; [10  7],[52.60194175 33.39805825] ; [10.39805825  6.60194175],0
b5,1,0.881128,0.022362,[54 32] ; [11  6],[54.27184466 31.72815534] ; [10.72815534  6.27184466],0
u2,1,0.924393,0.009006,[11 12] ; [3 3],[11.10344828 11.89655172] ; [2.89655172 3.10344828],0
d3,1,0.946249,0.004545,[60 26] ; [12  5],[60.11650485 25.88349515] ; [11.88349515  5.11650485],0
p1,1,1.0,0.0,[ 5 80] ; [ 1 16],[ 5. 80.] ; [ 1. 16.],0
