Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.559567,[18 11] ; [15 75],[ 8.04201681 20.95798319] ; [24.95798319 65.04201681],1
n1,1,0.5018,0.451128,[2 5] ; [16 22],[2.8 4.2] ; [15.2 22.8],0
r2,1,0.531308,0.39189,[25  4] ; [73 17],[23.88235294  5.11764706] ; [74.11764706 15.88235294],0
s3,1,0.564783,0.33149,[ 7 22] ; [27 64],[ 8.21666667 20.78333333] ; [25.78333333 65.21666667],0
b4,1,0.571671,0.319894,[15 15] ; [52 41],[16.34146341 13.65853659] ; [50.65853659 42.34146341],0
v4,1,0.576379,0.312125,[24  6] ; [69 23],[22.86885246  7.13114754] ; [70.13114754 21.86885246],0
d1,1,0.596669,0.28005,[10 20] ; [36 57],[11.2195122 18.7804878] ; [34.7804878 58.2195122],0
p12,1,0.600954,0.273559,[ 2 28] ; [ 4 89],[ 1.46341463 28.53658537] ; [ 4.53658537 88.46341463],0
p1,1,0.615325,0.252493,[ 2 28] ; [ 9 84],[ 2.68292683 27.31707317] ; [ 8.31707317 84.68292683],0
n2,1,0.707869,0.140415,[5 2] ; [25 14],[4.56521739 2.43478261] ; [25.43478261 13.56521739],0
u2,1,0.725631,0.123161,[6 9] ; [19 23],[6.57894737 8.42105263] ; [18.42105263 23.57894737],0
a8,1,0.771708,0.084182,[ 3 25] ; [ 8 82],[ 2.61016949 25.38983051] ; [ 8.38983051 81.61016949],0
a3,1,0.804842,0.061051,[15 14] ; [50 42],[15.5785124 13.4214876] ; [49.4214876 42.5785124],0
n6,1,0.809187,0.05831,[19 10] ; [58 34],[18.45454545 10.54545455] ; [58.54545455 33.45454545],0
r1,1,0.817627,0.053175,[18 12] ; [53 39],[17.45901639 12.54098361] ; [53.54098361 38.45901639],0
s8,1,0.893367,0.017968,[ 3 27] ; [10 82],[ 3.19672131 26.80327869] ; [ 9.80327869 82.19672131],0
d3,1,0.950918,0.003789,[14 16] ; [44 49],[14.14634146 15.85365854] ; [43.85365854 49.14634146],0
n3,1,0.984912,0.000358,[4 3] ; [21 16],[3.97727273 3.02272727] ; [21.02272727 15.97727273],0
a7,1,0.988904,0.000193,[17 13] ; [52 40],[16.96721311 13.03278689] ; [52.03278689 39.96721311],0
v1,1,0.991091,0.000125,[ 9 21] ; [28 65],[ 9.02439024 20.97560976] ; [27.97560976 65.02439024],0
u3,1,0.99173,0.000107,[7 8] ; [20 23],[6.98275862 8.01724138] ; [20.01724138 22.98275862],0
s5,1,1.0,0.0,[ 5 24] ; [15 72],[ 5. 24.] ; [15. 72.],0
