Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.218864,[11 17] ; [76 18],[19.96721311  8.03278689] ; [67.03278689 26.96721311],1
p5,1,0.640154,0.218541,[ 4 24] ; [17 77],[ 4.81967213 23.18032787] ; [16.18032787 77.81967213],0
n2,1,0.662771,0.190175,[9 3] ; [17  8],[8.43243243 3.56756757] ; [17.56756757  7.43243243],0
p8,1,0.68637,0.163043,[14 14] ; [50 42],[14.93333333 13.06666667] ; [49.06666667 42.93333333],0
d4,1,0.691335,0.157644,[22  6] ; [77 17],[22.72131148  5.27868852] ; [76.27868852 17.72131148],0
b4,1,0.712648,0.135647,[16 12] ; [50 44],[15.14754098 12.85245902] ; [50.85245902 43.14754098],0
a2,1,0.74015,0.109995,[ 6 22] ; [23 71],[ 6.6557377 21.3442623] ; [22.3442623 71.6557377],0
v1,1,0.779662,0.078266,[15 13] ; [46 45],[14.35294118 13.64705882] ; [46.64705882 44.35294118],0
p7,1,0.796498,0.066503,[19  9] ; [60 32],[18.43333333  9.56666667] ; [60.56666667 31.43333333],0
s6,1,0.80444,0.061308,[18 10] ; [58 36],[17.44262295 10.55737705] ; [58.55737705 35.44262295],0
d2,1,0.815708,0.054321,[13 15] ; [46 48],[13.54098361 14.45901639] ; [45.45901639 48.54098361],0
p1,1,0.816852,0.053637,[ 2 26] ; [ 8 86],[ 2.29508197 25.70491803] ; [ 7.70491803 86.29508197],0
v3,1,0.851233,0.035173,[12 14] ; [41 52],[11.57983193 14.42016807] ; [41.42016807 51.57983193],0
v2,1,0.860862,0.030722,[14 13] ; [50 43],[14.4 12.6] ; [49.6 43.4],0
u3,1,0.900744,0.015556,[5 3] ; [13  7],[5.14285714 2.85714286] ; [12.85714286  7.14285714],0
b2,1,0.926539,0.008501,[ 8 10] ; [32 42],[ 7.82608696 10.17391304] ; [32.17391304 41.82608696],0
b3,1,0.926539,0.008501,[ 8 10] ; [32 42],[ 7.82608696 10.17391304] ; [32.17391304 41.82608696],0
p3,1,0.943235,0.00507,[16 12] ; [53 41],[15.83606557 12.16393443] ; [53.16393443 40.83606557],0
