Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.045108,4.01461,[14 36] ; [12 11],[17.80821918 32.19178082] ; [ 8.19178082 14.80821918],0
v1,1,0.762768,0.091112,[16 31] ; [ 7 16],[15.44285714 31.55714286] ; [ 7.55714286 15.44285714],0
p4,1,0.763242,0.090737,[17 33] ; [ 7 16],[16.43835616 33.56164384] ; [ 7.56164384 15.43835616],0
u2,1,0.785351,0.074176,[9 9] ; [4 5],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
n5,1,0.811278,0.057015,[26 23] ; [11 11],[25.53521127 23.46478873] ; [11.46478873 10.53521127],0
a3,1,0.81557,0.054404,[31 19] ; [13  9],[30.55555556 19.44444444] ; [13.44444444  8.55555556],0
a8,1,0.845102,0.03817,[ 4 43] ; [ 2 18],[ 4.20895522 42.79104478] ; [ 1.79104478 18.20895522],0
v4,1,0.851169,0.035204,[33 16] ; [13  7],[32.66666667 16.33333333] ; [13.33333333  6.66666667],0
a1,1,0.860431,0.030915,[ 5 45] ; [ 2 21],[ 4.79452055 45.20547945] ; [ 2.20547945 20.79452055],0
d3,1,0.871155,0.026306,[35 14] ; [16  7],[34.70833333 14.29166667] ; [16.29166667  6.70833333],0
r2,1,0.882732,0.021758,[27 18] ; [13  8],[27.27272727 17.72727273] ; [12.72727273  8.27272727],0
a6,1,0.919627,0.010181,[32 18] ; [15  8],[32.19178082 17.80821918] ; [14.80821918  8.19178082],0
s5,1,0.93624,0.006399,[ 8 38] ; [ 4 18],[ 8.11764706 37.88235294] ; [ 3.88235294 18.11764706],0
u3,1,0.954001,0.003327,[ 7 11] ; [4 6],[ 7.07142857 10.92857143] ; [3.92857143 6.07142857],0
n6,1,0.965233,0.0019,[27 22] ; [12 10],[26.91549296 22.08450704] ; [12.08450704  9.91549296],0
p7,1,0.969591,0.001453,[19 28] ; [ 9 13],[19.07246377 27.92753623] ; [ 8.92753623 13.07246377],0
n4,1,0.988976,0.000191,[26 24] ; [12 11],[26.02739726 23.97260274] ; [11.97260274 11.02739726],0
