Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.528675,[22 27] ; [115  28],[34.96354167 14.03645833] ; [102.03645833  40.96354167],1
p4,1,0.151301,2.059087,[17 32] ; [66 76],[21.29319372 27.70680628] ; [61.70680628 80.29319372],0
n2,1,0.151494,2.057143,[11  3] ; [24 18],[8.75 5.25] ; [26.25 15.75],0
a1,1,0.162312,1.952554,[ 3 46] ; [  3 140],[ 1.53125 47.46875] ; [  4.46875 138.53125],0
b2,1,0.1673,1.906968,[11 18] ; [18 56],[ 8.16504854 20.83495146] ; [20.83495146 53.16504854],0
b3,1,0.1673,1.906968,[11 18] ; [18 56],[ 8.16504854 20.83495146] ; [20.83495146 53.16504854],0
n4,1,0.17289,1.857702,[25 24] ; [57 86],[20.92708333 28.07291667] ; [61.07291667 81.92708333],0
v1,1,0.177921,1.814903,[24 25] ; [52 85],[20.02150538 28.97849462] ; [55.97849462 81.02150538],0
s1,1,0.182275,1.77898,[ 4 45] ; [  5 138],[ 2.296875 46.703125] ; [  6.703125 136.296875],0
n3,1,0.200844,1.636226,[11  1] ; [32 11],[9.38181818 2.61818182] ; [33.61818182  9.38181818],0
u3,1,0.213821,1.545366,[9 9] ; [32 16],[11.18181818  6.81818182] ; [29.81818182 18.18181818],0
b5,1,0.228919,1.447565,[25 24] ; [87 56],[28.58333333 20.41666667] ; [83.41666667 59.58333333],0
s6,1,0.254598,1.297894,[23 24] ; [83 59],[26.35978836 20.64021164] ; [79.64021164 62.35978836],0
v2,1,0.256994,1.28488,[22 24] ; [77 57],[25.3 20.7] ; [73.7 60.3],0
p7,1,0.330569,0.946669,[23 26] ; [77 63],[25.92592593 23.07407407] ; [74.07407407 65.92592593],0
r4,1,0.332982,0.937267,[43  6] ; [132  11],[44.66145833  4.33854167] ; [130.33854167  12.66145833],0
s3,1,0.360325,0.836762,[27 22] ; [67 74],[24.24210526 24.75789474] ; [69.75789474 71.24210526],0
p5,1,0.395962,0.720553,[ 1 47] ; [  7 135],[ 2.02105263 45.97894737] ; [  5.97894737 136.02105263],0
r3,1,0.427272,0.630227,[46  3] ; [138   5],[46.95833333  2.04166667] ; [137.04166667   5.95833333],0
p11,1,0.463776,0.536766,[35 14] ; [94 49],[32.921875 16.078125] ; [96.078125 46.921875],0
p12,1,0.491308,0.47366,[ 1 47] ; [  6 135],[ 1.77777778 46.22222222] ; [  5.22222222 135.77777778],0
s7,1,0.623323,0.241225,[17 27] ; [47 89],[15.64444444 28.35555556] ; [48.35555556 87.64444444],0
b4,1,0.631402,0.230164,[30 19] ; [93 50],[31.390625 17.609375] ; [91.609375 51.390625],0
p3,1,0.664442,0.188173,[20 29] ; [53 89],[18.72774869 30.27225131] ; [54.27225131 87.72774869],0
a5,1,0.665841,0.186506,[33 16] ; [101  42],[34.19791667 14.80208333] ; [99.80208333 43.19791667],0
s2,1,0.673768,0.177226,[18 31] ; [57 85],[19.2408377 29.7591623] ; [55.7591623 86.2408377],0
d2,1,0.760027,0.093297,[19 30] ; [59 84],[19.90625 29.09375] ; [58.09375 84.90625],0
s8,1,0.76772,0.087237,[15 33] ; [48 95],[15.83246073 32.16753927] ; [47.16753927 95.83246073],0
p6,1,0.770493,0.085106,[11 36] ; [ 36 105],[11.75 35.25] ; [ 35.25 105.75],0
a8,1,0.794186,0.068058,[ 3 43] ; [ 10 120],[ 3.39772727 42.60227273] ; [  9.60227273 120.39772727],0
s4,1,0.815075,0.054702,[10 39] ; [ 27 116],[ 9.44270833 39.55729167] ; [ 27.55729167 115.44270833],0
a3,1,0.823121,0.049967,[31 18] ; [93 50],[31.64583333 17.35416667] ; [92.35416667 50.64583333],0
u2,1,0.838029,0.041785,[11  7] ; [28 20],[10.63636364  7.36363636] ; [28.36363636 19.63636364],0
v3,1,0.849738,0.035893,[12 31] ; [40 96],[12.49162011 30.50837989] ; [39.50837989 96.49162011],0
s5,1,0.866482,0.028267,[11 33] ; [ 36 101],[11.42541436 32.57458564] ; [ 35.57458564 101.42541436],0
p1,1,0.939711,0.00572,[ 3 46] ; [  9 131],[ 3.11111111 45.88888889] ; [  8.88888889 131.11111111],0
