Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3.1e-05,17.362605,[6 3] ; [ 2 32],[1.6744186 7.3255814] ; [ 6.3255814 27.6744186],1
p9,1,0.333002,0.93719,[6 3] ; [16 17],[4.71428571 4.28571429] ; [17.28571429 15.71428571],0
p2,1,0.372723,0.794565,[6 3] ; [17 17],[4.81395349 4.18604651] ; [18.18604651 15.81395349],0
d5,1,0.372723,0.794565,[6 3] ; [17 17],[4.81395349 4.18604651] ; [18.18604651 15.81395349],0
n6,1,0.396601,0.718609,[6 2] ; [20 14],[4.95238095 3.04761905] ; [21.04761905 12.95238095],0
s5,1,0.420765,0.648178,[2 7] ; [ 4 30],[1.25581395 7.74418605] ; [ 4.74418605 29.25581395],0
p4,1,0.498543,0.458038,[4 5] ; [11 23],[3.13953488 5.86046512] ; [11.86046512 22.13953488],0
p7,1,0.556236,0.346263,[2 7] ; [11 23],[2.72093023 6.27906977] ; [10.27906977 23.72093023],0
n1,1,0.573138,0.31746,[2 4] ; [ 3 11],[1.5 4.5] ; [ 3.5 10.5],0
s3,1,0.582432,0.302319,[3 6] ; [ 8 25],[2.35714286 6.64285714] ; [ 8.64285714 24.35714286],0
a3,1,0.590698,0.289256,[5 4] ; [15 18],[4.28571429 4.71428571] ; [15.71428571 17.28571429],0
a6,1,0.61356,0.255023,[4 5] ; [12 22],[3.34883721 5.65116279] ; [12.65116279 21.34883721],0
b4,1,0.61356,0.255023,[5 4] ; [22 12],[5.65116279 3.34883721] ; [21.34883721 12.65116279],0
p6,1,0.620788,0.244761,[1 8] ; [ 2 30],[0.65853659 8.34146341] ; [ 2.34146341 29.65853659],0
r4,1,0.636724,0.223052,[1 8] ; [ 6 28],[1.46511628 7.53488372] ; [ 5.53488372 28.46511628],0
n5,1,0.668701,0.183125,[6 3] ; [20 14],[5.44186047 3.55813953] ; [20.55813953 13.44186047],0
r3,1,0.739985,0.11014,[6 3] ; [20 13],[5.57142857 3.42857143] ; [20.42857143 12.57142857],0
v4,1,0.76686,0.087903,[5 4] ; [17 17],[4.60465116 4.39534884] ; [17.39534884 16.60465116],0
a7,1,0.76686,0.087903,[4 5] ; [17 17],[4.39534884 4.60465116] ; [16.60465116 17.39534884],0
b5,1,0.76686,0.087903,[5 4] ; [17 17],[4.60465116 4.39534884] ; [17.39534884 16.60465116],0
p11,1,0.76686,0.087903,[5 4] ; [17 17],[4.60465116 4.39534884] ; [17.39534884 16.60465116],0
u2,1,0.772205,0.083806,[2 2] ; [ 8 11],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
p3,1,0.784379,0.074866,[2 7] ; [ 6 27],[1.71428571 7.28571429] ; [ 6.28571429 26.71428571],0
d1,1,0.795061,0.067467,[2 7] ; [ 9 25],[2.30232558 6.69767442] ; [ 8.69767442 25.30232558],0
a1,1,0.833596,0.044139,[1 8] ; [ 3 31],[0.8372093 8.1627907] ; [ 3.1627907 30.8372093],0
d3,1,0.859734,0.031227,[4 5] ; [14 20],[3.76744186 5.23255814] ; [14.23255814 19.76744186],0
v2,1,0.861623,0.030383,[3 6] ; [10 23],[2.78571429 6.21428571] ; [10.21428571 22.78571429],0
s4,1,0.956624,0.002958,[1 8] ; [ 4 30],[1.04651163 7.95348837] ; [ 3.95348837 30.04651163],0
