Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,37.636392,[ 1 23] ; [72 27],[14.24390244  9.75609756] ; [58.75609756 40.24390244],1
s2,1,0.620779,0.244774,[ 9 14] ; [33 65],[ 7.98347107 15.01652893] ; [34.01652893 63.98347107],0
b5,1,0.712368,0.135923,[16  8] ; [62 37],[15.2195122  8.7804878] ; [62.7804878 36.2195122],0
s4,1,0.76567,0.08883,[ 3 21] ; [14 80],[ 3.45762712 20.54237288] ; [13.54237288 80.45762712],0
a6,1,0.781122,0.077205,[16  8] ; [63 36],[15.41463415  8.58536585] ; [63.58536585 35.41463415],0
p3,1,0.831746,0.04514,[13 11] ; [56 43],[13.46341463 10.53658537] ; [55.53658537 43.46341463],0
n1,1,0.884077,0.021259,[1 3] ; [ 6 15],[1.12 2.88] ; [ 5.88 15.12],0
n3,1,0.884077,0.021259,[3 1] ; [15  6],[2.88 1.12] ; [15.12  5.88],0
n2,1,0.924899,0.008886,[3 1] ; [16  6],[2.92307692 1.07692308] ; [16.07692308  5.92307692],0
b2,1,0.943944,0.004944,[6 8] ; [23 32],[5.88405797 8.11594203] ; [23.11594203 31.88405797],0
b3,1,0.943944,0.004944,[6 8] ; [23 32],[5.88405797 8.11594203] ; [23.11594203 31.88405797],0
u2,1,0.950627,0.003834,[7 8] ; [16 19],[6.9 8.1] ; [16.1 18.9],0
