Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,33.882353,[18 36] ; [67 14],[34. 20.] ; [51. 30.],1
b3,1,0.451043,0.568031,[12 19] ; [25 28],[13.6547619 17.3452381] ; [23.3452381 29.6547619],0
b2,1,0.451043,0.568031,[12 19] ; [25 28],[13.6547619 17.3452381] ; [23.3452381 29.6547619],0
r1,1,0.466854,0.529412,[36 18] ; [49 32],[34. 20.] ; [51. 30.],0
p4,1,0.528958,0.396392,[14 40] ; [17 63],[12.49253731 41.50746269] ; [18.50746269 61.49253731],0
n3,1,0.622283,0.242672,[12 10] ; [22 14],[12.89655172  9.10344828] ; [21.10344828 14.89655172],0
s5,1,0.625265,0.238537,[12 37] ; [16 61],[10.88888889 38.11111111] ; [17.11111111 59.88888889],0
a4,1,0.678025,0.172357,[24 30] ; [38 41],[25.17293233 28.82706767] ; [36.82706767 42.17293233],0
s3,1,0.714761,0.133568,[20 33] ; [27 51],[19.01526718 33.98473282] ; [27.98473282 50.01526718],0
v4,1,0.743641,0.106952,[40 14] ; [62 19],[40.8 13.2] ; [61.2 19.8],0
p8,1,0.744333,0.106355,[ 7 47] ; [ 9 72],[ 6.4 47.6] ; [ 9.6 71.4],0
v3,1,0.75715,0.095621,[16 34] ; [26 49],[16.8 33.2] ; [25.2 49.8],0
s6,1,0.78677,0.073174,[25 27] ; [37 44],[24.2406015 27.7593985] ; [37.7593985 43.2406015],0
a8,1,0.796305,0.066632,[ 3 51] ; [ 5 70],[ 3.34883721 50.65116279] ; [ 4.65116279 70.34883721],0
a7,1,0.830589,0.045773,[31 23] ; [48 33],[31.6 22.4] ; [47.4 33.6],0
d3,1,0.831709,0.045161,[31 23] ; [45 36],[30.4 23.6] ; [45.6 35.4],0
d1,1,0.832988,0.044466,[27 27] ; [39 42],[26.4 27.6] ; [39.6 41.4],0
p6,1,0.892778,0.018168,[ 5 48] ; [ 7 73],[ 4.78195489 48.21804511] ; [ 7.21804511 72.78195489],0
r2,1,0.928518,0.008048,[44  8] ; [69 12],[44.18045113  7.81954887] ; [68.81954887 12.18045113],0
s7,1,0.943711,0.004985,[16 33] ; [25 53],[15.81889764 33.18110236] ; [25.18110236 52.81889764],0
b4,1,1.0,0.0,[32 22] ; [48 33],[32. 22.] ; [48. 33.],0
