Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.48604,[15  2] ; [ 5 26],[7.08333333 9.91666667] ; [12.91666667 18.08333333],1
n6,1,0.308987,1.035,[12  4] ; [18 12],[10.43478261  5.56521739] ; [19.56521739 10.43478261],0
p4,1,0.311056,1.026186,[8 9] ; [10 21],[ 6.375 10.625] ; [11.625 19.375],0
v1,1,0.392783,0.730309,[ 4 13] ; [11 20],[ 5.3125 11.6875] ; [ 9.6875 21.3125],0
a2,1,0.424592,0.637571,[ 3 14] ; [ 3 28],[ 2.125 14.875] ; [ 3.875 27.125],0
v2,1,0.437183,0.603665,[ 7 10] ; [ 9 21],[ 5.78723404 11.21276596] ; [10.21276596 19.78723404],0
s1,1,0.446329,0.579957,[ 1 16] ; [ 4 27],[ 1.77083333 15.22916667] ; [ 3.22916667 27.77083333],0
r3,1,0.448633,0.574103,[11  6] ; [16 14],[9.76595745 7.23404255] ; [17.23404255 12.76595745],0
b1,1,0.464236,0.535662,[8 9] ; [18 13],[9.20833333 7.79166667] ; [16.79166667 14.20833333],0
b2,1,0.466473,0.530318,[ 3 10] ; [ 7 13],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
b3,1,0.466473,0.530318,[ 3 10] ; [ 7 13],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
a8,1,0.497409,0.46046,[ 4 12] ; [ 5 25],[ 3.13043478 12.86956522] ; [ 5.86956522 24.13043478],0
p7,1,0.536651,0.381782,[ 7 10] ; [10 21],[ 6.02083333 10.97916667] ; [10.97916667 20.02083333],0
n3,1,0.598802,0.276807,[2 4] ; [6 7],[2.52631579 3.47368421] ; [5.47368421 7.52631579],0
s8,1,0.601163,0.273245,[ 5 12] ; [ 7 24],[ 4.25 12.75] ; [ 7.75 23.25],0
s6,1,0.605286,0.267097,[6 9] ; [10 21],[5.2173913 9.7826087] ; [10.7826087 20.2173913],0
p1,1,0.656057,0.198348,[ 3 14] ; [ 4 27],[ 2.47916667 14.52083333] ; [ 4.52083333 26.47916667],0
s7,1,0.677298,0.173183,[ 3 13] ; [ 7 22],[ 3.55555556 12.44444444] ; [ 6.44444444 22.55555556],0
a1,1,0.682001,0.167882,[ 2 15] ; [ 5 26],[ 2.47916667 14.52083333] ; [ 4.52083333 26.47916667],0
s2,1,0.692599,0.156286,[ 5 11] ; [ 8 23],[ 4.42553191 11.57446809] ; [ 8.57446809 22.42553191],0
p6,1,0.69537,0.153333,[ 4 12] ; [ 6 24],[ 3.47826087 12.52173913] ; [ 6.52173913 23.47826087],0
p2,1,0.752747,0.099238,[8 8] ; [14 17],[7.4893617 8.5106383] ; [14.5106383 16.4893617],0
b5,1,0.762807,0.091082,[9 8] ; [15 16],[8.5 8.5] ; [15.5 15.5],0
n2,1,0.875975,0.024359,[3 3] ; [6 7],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
u3,1,0.904552,0.014379,[1 3] ; [ 4 14],[0.90909091 3.09090909] ; [ 4.09090909 13.90909091],0
u1,1,0.937889,0.006072,[ 1 16] ; [ 2 29],[ 1.0625 15.9375] ; [ 1.9375 29.0625],0
v3,1,0.940376,0.005595,[ 4 13] ; [ 7 24],[ 3.89583333 13.10416667] ; [ 7.10416667 23.89583333],0
p9,1,0.978339,0.000737,[9 7] ; [17 13],[9.04347826 6.95652174] ; [16.95652174 13.04347826],0
p12,1,0.978625,0.000718,[ 1 15] ; [ 2 29],[ 1.0212766 14.9787234] ; [ 1.9787234 29.0212766],0
r1,1,0.989511,0.000173,[ 6 11] ; [11 20],[ 6.02083333 10.97916667] ; [10.97916667 20.02083333],0
