Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3e-06,21.574371,[112  19] ; [87 57],[94.79636364 36.20363636] ; [104.20363636  39.79636364],1
a1,1,0.348734,0.878058,[ 10 122] ; [  7 137],[  8.13043478 123.86956522] ; [  8.86956522 135.13043478],0
n4,1,0.390924,0.736068,[114  17] ; [120  24],[111.46909091  19.53090909] ; [122.53090909  21.46909091],0
p12,1,0.418456,0.654649,[ 17 115] ; [ 14 129],[ 14.88 117.12] ; [ 16.12 126.88],0
u3,1,0.479018,0.501099,[15  5] ; [19 10],[13.87755102  6.12244898] ; [20.12244898  8.87755102],0
b4,1,0.545181,0.366022,[79 53] ; [81 63],[76.52173913 55.47826087] ; [83.47826087 60.52173913],0
v4,1,0.581829,0.303287,[128   3] ; [141   2],[128.60948905   2.39051095] ; [140.39051095   2.60948905],0
n5,1,0.586987,0.295075,[113  18] ; [120  23],[111.39781022  19.60218978] ; [121.60218978  21.39781022],0
a8,1,0.604477,0.268296,[ 17 105] ; [ 21 108],[ 18.47011952 103.52988048] ; [ 19.52988048 109.47011952],0
u2,1,0.645823,0.211207,[15  5] ; [20  9],[14.28571429  5.71428571] ; [20.71428571  8.28571429],0
d2,1,0.710273,0.138005,[75 57] ; [85 59],[76.52173913 55.47826087] ; [83.47826087 60.52173913],0
p11,1,0.733804,0.115648,[107  25] ; [119  25],[108.08695652  23.91304348] ; [117.91304348  26.08695652],0
a7,1,0.745523,0.105331,[93 39] ; [104  40],[94.2173913 37.7826087] ; [102.7826087  41.2173913],0
b2,1,0.812955,0.055987,[35 50] ; [48 64],[35.81218274 49.18781726] ; [47.18781726 64.81218274],0
b3,1,0.812955,0.055987,[35 50] ; [48 64],[35.81218274 49.18781726] ; [47.18781726 64.81218274],0
n3,1,0.837648,0.041985,[20 10] ; [18  8],[20.35714286  9.64285714] ; [17.64285714  8.35714286],0
r2,1,0.853759,0.033976,[127   5] ; [136   6],[126.70072993   5.29927007] ; [136.29927007   5.70072993],0
s1,1,0.902945,0.01487,[  5 124] ; [  6 138],[  5.1978022 123.8021978] ; [  5.8021978 138.1978022],0
n1,1,0.92144,0.009726,[16 14] ; [13 12],[15.81818182 14.18181818] ; [13.18181818 11.81818182],0
