Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6e-06,20.367056,[230  28] ; [71 31],[215.71666667  42.28333333] ; [85.28333333 16.71666667],1
a7,1,0.102784,2.661809,[177  85] ; [80 25],[183.47138965  78.52861035] ; [73.52861035 31.47138965],0
r4,1,0.115477,2.47762,[243  19] ; [92 13],[239.15531335  22.84468665] ; [95.84468665  9.15531335],0
p2,1,0.121434,2.398722,[223  38] ; [96  9],[227.48360656  33.51639344] ; [91.51639344 13.48360656],0
u1,1,0.126428,2.33582,[ 67 195] ; [19 86],[ 61.39509537 200.60490463] ; [24.60490463 80.39509537],0
d4,1,0.167596,1.904313,[224  37] ; [84 21],[219.63934426  41.36065574] ; [88.36065574 16.63934426],0
p1,1,0.267043,1.231874,[ 30 230] ; [ 8 97],[ 27.06849315 232.93150685] ; [10.93150685 94.06849315],0
n6,1,0.270008,1.216706,[235  25] ; [89 14],[232.0661157  27.9338843] ; [91.9338843 11.0661157],0
p6,1,0.273674,1.198238,[126 133] ; [44 60],[121.29476584 137.70523416] ; [48.70523416 55.29476584],0
u2,1,0.279953,1.167319,[28 12] ; [13 10],[26.03174603 13.96825397] ; [14.96825397  8.03174603],0
v2,1,0.28219,1.156513,[158  95] ; [58 45],[153.50561798  99.49438202] ; [62.49438202 40.50561798],0
b5,1,0.32525,0.967717,[152 110] ; [55 50],[147.77656676 114.22343324] ; [59.22343324 45.77656676],0
a5,1,0.367507,0.812078,[213  49] ; [81 24],[209.88555858  52.11444142] ; [84.11444142 20.88555858],0
s1,1,0.41878,0.653736,[ 10 250] ; [ 6 98],[ 11.42857143 248.57142857] ; [ 4.57142857 99.42857143],0
d2,1,0.455052,0.558038,[146 116] ; [54 51],[142.77929155 119.22070845] ; [57.22070845 47.77929155],0
b4,1,0.456489,0.554489,[141 121] ; [61 44],[144.20708447 117.79291553] ; [57.79291553 47.20708447],0
d3,1,0.480148,0.498527,[185  77] ; [78 27],[187.75476839  74.24523161] ; [75.24523161 29.75476839],0
n4,1,0.56682,0.328032,[221  41] ; [86 19],[219.16621253  42.83378747] ; [87.83378747 17.16621253],0
p3,1,0.581136,0.304402,[153 109] ; [64 40],[155.33879781 106.66120219] ; [61.66120219 42.33879781],0
n3,1,0.602394,0.271401,[40 15] ; [14  7],[39.07894737 15.92105263] ; [14.92105263  6.07894737],0
a4,1,0.609172,0.261383,[130 132] ; [49 56],[127.78746594 134.21253406] ; [51.21253406 53.78746594],0
a1,1,0.616124,0.251353,[ 16 246] ; [  5 100],[ 14.99182561 247.00817439] ; [ 6.00817439 98.99182561],0
u3,1,0.620959,0.244522,[29 11] ; [16  8],[28.125 11.875] ; [16.875  7.125],0
d5,1,0.641832,0.216355,[219  42] ; [86 19],[217.5  43.5] ; [87.5 17.5],0
s4,1,0.659571,0.194045,[ 54 206] ; [24 81],[ 55.56164384 204.43835616] ; [22.43835616 82.56164384],0
p8,1,0.754007,0.098194,[151 107] ; [59 45],[149.66850829 108.33149171] ; [60.33149171 43.66850829],0
p11,1,0.781971,0.076591,[219  43] ; [89 16],[219.88010899  42.11989101] ; [88.11989101 16.88010899],0
n2,1,0.78988,0.071004,[44 11] ; [17  5],[43.57142857 11.42857143] ; [17.42857143  4.57142857],0
a2,1,0.806361,0.060086,[ 74 188] ; [31 74],[ 74.95912807 187.04087193] ; [30.04087193 74.95912807],0
r1,1,0.836498,0.042591,[221  40] ; [88 17],[220.35245902  40.64754098] ; [88.64754098 16.35245902],0
a8,1,0.862932,0.029806,[ 38 201] ; [16 80],[ 38.52537313 200.47462687] ; [15.47462687 80.52537313],0
b1,1,0.90877,0.013131,[104 158] ; [41 64],[103.51498638 158.48501362] ; [41.48501362 63.51498638],0
a6,1,0.944044,0.004926,[173  88] ; [70 35],[173.28688525  87.71311475] ; [69.71311475 35.28688525],0
p7,1,0.980324,0.000608,[187  66] ; [76 27],[186.90730337  66.09269663] ; [76.09269663 26.90730337],0
r3,1,0.989462,0.000174,[252  10] ; [100   4],[251.97814208  10.02185792] ; [100.02185792   3.97814208],0
r2,1,0.9947,4.4e-05,[249  10] ; [100   4],[249.01101928   9.98898072] ; [99.98898072  4.01101928],0
p4,1,0.998372,4e-06,[179  82] ; [72 33],[178.99180328  82.00819672] ; [72.00819672 32.99180328],0
