Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-06,24.028071,[100   9] ; [33 22],[88.39634146 20.60365854] ; [44.60365854 10.39634146],1
p4,1,0.419011,0.653087,[57 52] ; [27 32],[54.5 54.5] ; [29.5 29.5],0
n4,1,0.440271,0.595577,[79 31] ; [39 20],[76.80473373 33.19526627] ; [41.19526627 17.80473373],0
b3,1,0.450331,0.569818,[25 39] ; [11 24],[23.27272727 40.72727273] ; [12.72727273 22.27272727],0
b2,1,0.450331,0.569818,[25 39] ; [11 24],[23.27272727 40.72727273] ; [12.72727273 22.27272727],0
v2,1,0.456103,0.555441,[47 60] ; [22 36],[44.74545455 62.25454545] ; [24.25454545 33.74545455],0
s2,1,0.485759,0.485906,[49 61] ; [23 36],[46.86390533 63.13609467] ; [25.13609467 33.86390533],0
u3,1,0.506853,0.440559,[17 27] ; [ 8 18],[15.71428571 28.28571429] ; [ 9.28571429 16.71428571],0
a3,1,0.546217,0.364138,[66 44] ; [32 26],[64.16666667 45.83333333] ; [33.83333333 24.16666667],0
n3,1,0.561276,0.3375,[21  9] ; [15  9],[20. 10.] ; [16.  8.],0
p1,1,0.624651,0.239384,[ 10 100] ; [ 4 54],[  9.16666667 100.83333333] ; [ 4.83333333 53.16666667],0
d1,1,0.63761,0.221882,[47 63] ; [23 36],[45.56213018 64.43786982] ; [24.43786982 34.56213018],0
a4,1,0.650462,0.205318,[36 74] ; [17 41],[34.70238095 75.29761905] ; [18.29761905 39.70238095],0
s7,1,0.653989,0.200908,[39 65] ; [19 37],[37.7 66.3] ; [20.3 35.7],0
d2,1,0.693937,0.154857,[38 71] ; [22 36],[39.16167665 69.83832335] ; [20.83832335 37.16167665],0
a6,1,0.717081,0.131307,[61 49] ; [31 28],[59.8816568 50.1183432] ; [32.1183432 26.8816568],0
s4,1,0.73295,0.11642,[20 90] ; [12 47],[20.82840237 89.17159763] ; [11.17159763 47.82840237],0
a1,1,0.736952,0.112824,[  7 103] ; [ 3 56],[  6.50887574 103.49112426] ; [ 3.49112426 55.50887574],0
n1,1,0.743224,0.107313,[10 20] ; [ 7 17],[ 9.44444444 20.55555556] ; [ 7.55555556 16.44444444],0
d4,1,0.750661,0.100976,[79 31] ; [41 18],[78.10650888 31.89349112] ; [41.89349112 17.10650888],0
a2,1,0.81941,0.052123,[ 10 100] ; [ 6 53],[10.41420118 99.58579882] ; [ 5.58579882 53.41420118],0
a5,1,0.879475,0.022993,[61 49] ; [32 27],[60.53254438 49.46745562] ; [32.46745562 26.53254438],0
s1,1,0.934201,0.006816,[  4 106] ; [ 2 57],[  3.90532544 106.09467456] ; [ 2.09467456 56.90532544],0
n5,1,0.976266,0.000885,[78 32] ; [41 17],[77.91666667 32.08333333] ; [41.08333333 16.91666667],0
