Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,3e-06,21.627154,[57 10] ; [ 9 16],[48.06521739 18.93478261] ; [17.93478261  7.06521739],1
p7,1,0.28869,1.125722,[33 30] ; [15  8],[35.1627907 27.8372093] ; [12.8372093 10.1627907],0
s8,1,0.298706,1.079964,[27 41] ; [ 7 18],[24.86021505 43.13978495] ; [ 9.13978495 15.86021505],0
b4,1,0.351308,0.868725,[40 28] ; [12 13],[38.02150538 29.97849462] ; [13.97849462 11.02150538],0
s2,1,0.408273,0.683824,[47 21] ; [15 10],[45.33333333 22.66666667] ; [16.66666667  8.33333333],0
b3,1,0.453984,0.560686,[10 27] ; [ 3 14],[ 8.90740741 28.09259259] ; [ 4.09259259 12.90740741],0
b2,1,0.453984,0.560686,[10 27] ; [ 3 14],[ 8.90740741 28.09259259] ; [ 4.09259259 12.90740741],0
n5,1,0.455262,0.557519,[29 38] ; [13 12],[30.58695652 36.41304348] ; [11.41304348 13.58695652],0
p9,1,0.462269,0.540396,[45 21] ; [15 10],[43.51648352 22.48351648] ; [16.48351648  8.51648352],0
p10,1,0.503893,0.446727,[42 24] ; [14 11],[40.61538462 25.38461538] ; [15.38461538  9.61538462],0
p4,1,0.527919,0.398396,[29 38] ; [ 9 16],[27.67391304 39.32608696] ; [10.32608696 14.67391304],0
v2,1,0.53135,0.39181,[26 34] ; [ 9 16],[24.70588235 35.29411765] ; [10.29411765 14.70588235],0
d4,1,0.577912,0.309623,[56 10] ; [20  5],[55.12087912 10.87912088] ; [20.87912088  4.12087912],0
p8,1,0.583602,0.300448,[22 45] ; [ 9 14],[23.07777778 43.92222222] ; [ 7.92222222 15.07777778],0
s4,1,0.657755,0.196262,[16 52] ; [ 7 18],[16.8172043 51.1827957] ; [ 6.1827957 18.8172043],0
a8,1,0.666559,0.185654,[ 6 58] ; [ 3 21],[ 6.54545455 57.45454545] ; [ 2.45454545 21.54545455],0
a7,1,0.708792,0.139487,[41 27] ; [14 11],[40.21505376 27.78494624] ; [14.78494624 10.21505376],0
b5,1,0.708792,0.139487,[41 27] ; [14 11],[40.21505376 27.78494624] ; [14.78494624 10.21505376],0
a6,1,0.711808,0.136478,[43 24] ; [15 10],[42.23913043 24.76086957] ; [15.76086957  9.23913043],0
s7,1,0.724537,0.124187,[27 35] ; [11 12],[27.71764706 34.28235294] ; [10.28235294 12.71764706],0
a4,1,0.740815,0.109412,[22 46] ; [ 9 16],[22.66666667 45.33333333] ; [ 8.33333333 16.66666667],0
a3,1,0.744963,0.105813,[41 27] ; [16  9],[41.67741935 26.32258065] ; [15.32258065  9.67741935],0
d5,1,0.775155,0.081589,[45 22] ; [16  9],[44.42391304 22.57608696] ; [16.57608696  8.42391304],0
p5,1,0.780873,0.077385,[ 2 65] ; [ 1 23],[ 2.20879121 64.79120879] ; [ 0.79120879 23.20879121],0
p6,1,0.849605,0.035957,[15 50] ; [ 6 18],[15.33707865 49.66292135] ; [ 5.66292135 18.33707865],0
s5,1,0.851218,0.035181,[17 46] ; [ 6 18],[16.65517241 46.34482759] ; [ 6.34482759 17.65517241],0
d3,1,0.880954,0.022428,[44 23] ; [16  9],[43.69565217 23.30434783] ; [16.30434783  8.69565217],0
p1,1,0.900071,0.015768,[ 6 62] ; [ 2 23],[ 5.84946237 62.15053763] ; [ 2.15053763 22.84946237],0
p12,1,0.909792,0.012837,[ 3 63] ; [ 1 24],[ 2.9010989 63.0989011] ; [ 1.0989011 23.9010989],0
u2,1,0.958027,0.00277,[20  6] ; [7 2],[20.05714286  5.94285714] ; [6.94285714 2.05714286],0
n4,1,0.963874,0.002051,[33 35] ; [12 13],[32.90322581 35.09677419] ; [12.09677419 12.90322581],0
d1,1,0.963874,0.002051,[33 35] ; [12 13],[32.90322581 35.09677419] ; [12.09677419 12.90322581],0
v1,1,0.991311,0.000119,[27 38] ; [10 14],[27.02247191 37.97752809] ; [ 9.97752809 14.02247191],0
n1,1,1.0,0.0,[ 9 12] ; [6 8],[ 9. 12.] ; [6. 8.],0
