Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,5.2e-05,16.385381,[18 25] ; [124  43],[29.07619048 13.92380952] ; [112.92380952  54.07619048],1
s8,1,0.209325,1.576089,[16 27] ; [80 87],[19.65714286 23.34285714] ; [76.34285714 90.65714286],0
d1,1,0.233942,1.416731,[17 26] ; [83 84],[20.47619048 22.52380952] ; [79.52380952 87.47619048],0
u2,1,0.242523,1.365866,[ 8 12] ; [24 19],[10.15873016  9.84126984] ; [21.84126984 21.15873016],0
u3,1,0.25241,1.309915,[ 9 11] ; [13 30],[ 6.98412698 13.01587302] ; [15.01587302 27.98412698],0
b3,1,0.264159,1.246828,[ 7 16] ; [49 65],[ 9.40145985 13.59854015] ; [46.59854015 67.40145985],0
b2,1,0.264159,1.246828,[ 7 16] ; [49 65],[ 9.40145985 13.59854015] ; [46.59854015 67.40145985],0
v3,1,0.269171,1.220965,[13 29] ; [66 98],[16.10679612 25.89320388] ; [ 62.89320388 101.10679612],0
s1,1,0.276759,1.182937,[ 2 41] ; [  3 163],[ 1.02870813 41.97129187] ; [  3.97129187 162.02870813],0
p12,1,0.276862,1.182429,[ 1 42] ; [ 11 154],[ 2.48076923 40.51923077] ; [  9.51923077 155.48076923],0
v1,1,0.278487,1.174458,[19 23] ; [89 74],[22.12682927 19.87317073] ; [85.87317073 77.12682927],0
d4,1,0.362341,0.829763,[29 13] ; [126  40],[31.29807692 10.70192308] ; [123.70192308  42.29807692],0
a4,1,0.384457,0.7564,[16 27] ; [74 92],[18.51674641 24.48325359] ; [71.48325359 94.51674641],0
s3,1,0.39431,0.725609,[22 20] ; [99 67],[24.43269231 17.56730769] ; [96.56730769 69.43269231],0
n2,1,0.431106,0.619842,[12  7] ; [30 11],[13.3  5.7] ; [28.7 12.3],0
p5,1,0.434841,0.609859,[ 4 39] ; [ 23 144],[ 5.52857143 37.47142857] ; [ 21.47142857 145.52857143],0
s7,1,0.48428,0.489209,[19 20] ; [89 73],[20.95522388 18.04477612] ; [87.04477612 74.95522388],0
a2,1,0.595528,0.281793,[ 3 40] ; [ 16 151],[ 3.89047619 39.10952381] ; [ 15.10952381 151.89047619],0
a8,1,0.599716,0.275425,[ 6 35] ; [ 18 137],[ 5.02040816 35.97959184] ; [ 18.97959184 136.02040816],0
v2,1,0.606506,0.265294,[19 23] ; [81 82],[20.48780488 21.51219512] ; [79.51219512 83.48780488],0
u1,1,0.638564,0.220625,[ 2 41] ; [ 11 156],[ 2.66190476 40.33809524] ; [ 10.33809524 156.66190476],0
s2,1,0.639097,0.219925,[19 24] ; [80 86],[20.36842105 22.63157895] ; [78.63157895 87.36842105],0
d2,1,0.651655,0.20382,[22 21] ; [79 88],[20.68095238 22.31904762] ; [80.31904762 86.68095238],0
n3,1,0.694701,0.154044,[12  7] ; [28 13],[12.66666667  6.33333333] ; [27.33333333 13.66666667],0
s4,1,0.716615,0.13176,[ 7 36] ; [ 31 135],[ 7.81818182 35.18181818] ; [ 30.18181818 135.81818182],0
a1,1,0.736272,0.113431,[ 2 41] ; [ 10 157],[ 2.45714286 40.54285714] ; [  9.54285714 157.45714286],0
p4,1,0.803974,0.061607,[23 19] ; [95 72],[23.71291866 18.28708134] ; [94.28708134 72.71291866],0
n1,1,0.838627,0.041473,[ 7 12] ; [14 27],[ 6.65 12.35] ; [14.35 26.65],0
s5,1,0.853701,0.034003,[16 27] ; [62 98],[16.52216749 26.47783251] ; [61.47783251 98.52216749],0
p1,1,0.858702,0.031693,[ 3 40] ; [ 13 154],[ 3.27619048 39.72380952] ; [ 12.72380952 154.27619048],0
d3,1,0.962219,0.002244,[20 23] ; [77 90],[19.86190476 23.13809524] ; [77.13809524 89.86190476],0
