Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,35.789148,[ 2 23] ; [80 30],[15.18518519  9.81481481] ; [66.81481481 43.18518519],1
p3,1,0.413156,0.6697,[13 12] ; [67 43],[14.81481481 10.18518519] ; [65.18518519 44.81481481],0
b1,1,0.44816,0.575301,[13 12] ; [48 62],[11.2962963 13.7037037] ; [49.7037037 60.2962963],0
s4,1,0.45636,0.554807,[ 5 19] ; [30 76],[ 6.46153846 17.53846154] ; [28.53846154 77.46153846],0
a6,1,0.463649,0.537071,[13 12] ; [66 44],[14.62962963 10.37037037] ; [64.37037037 45.62962963],0
p12,1,0.465089,0.533621,[ 1 24] ; [  9 100],[ 1.86567164 23.13432836] ; [  8.13432836 100.86567164],0
a1,1,0.48194,0.49447,[ 2 23] ; [  5 105],[ 1.2962963 23.7037037] ; [  5.7037037 104.2962963],0
n2,1,0.565867,0.329647,[7 3] ; [19  5],[7.64705882 2.35294118] ; [18.35294118  5.64705882],0
u2,1,0.61425,0.254032,[7 7] ; [18 13],[7.77777778 6.22222222] ; [17.22222222 13.77777778],0
n3,1,0.616311,0.251087,[7 3] ; [14  9],[6.36363636 3.63636364] ; [14.63636364  8.36363636],0
b4,1,0.645619,0.211469,[11 14] ; [54 56],[12.03703704 12.96296296] ; [52.96296296 57.03703704],0
n1,1,0.75494,0.097427,[4 6] ; [11 13],[4.41176471 5.58823529] ; [10.58823529 13.41176471],0
b2,1,0.78036,0.077757,[7 7] ; [34 40],[6.52272727 7.47727273] ; [34.47727273 39.52272727],0
b3,1,0.78036,0.077757,[7 7] ; [34 40],[6.52272727 7.47727273] ; [34.47727273 39.52272727],0
p5,1,0.832689,0.044628,[ 5 20] ; [20 90],[ 4.62962963 20.37037037] ; [20.37037037 89.62962963],0
p7,1,0.920865,0.009869,[21  4] ; [89 18],[20.83333333  4.16666667] ; [89.16666667 17.83333333],0
s1,1,0.966874,0.001725,[ 1 22] ; [  5 105],[ 1.03759398 21.96240602] ; [  4.96240602 105.03759398],0
n5,1,0.987613,0.000241,[19  6] ; [83 26],[19.02985075  5.97014925] ; [82.97014925 26.02985075],0
