Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,25.249649,[44 33] ; [ 9 51],[29.78832117 47.21167883] ; [23.21167883 36.78832117],1
d2,1,0.315761,1.006424,[38 41] ; [25 38],[35.04929577 43.95070423] ; [27.95070423 35.04929577],0
a4,1,0.315761,1.006424,[38 41] ; [25 38],[35.04929577 43.95070423] ; [27.95070423 35.04929577],0
p6,1,0.338075,0.917718,[33 46] ; [21 41],[30.25531915 48.74468085] ; [23.74468085 38.25531915],0
p1,1,0.363111,0.827107,[10 69] ; [ 5 58],[ 8.34507042 70.65492958] ; [ 6.65492958 56.34507042],0
p9,1,0.391995,0.732745,[64 14] ; [48 15],[61.95744681 16.04255319] ; [50.04255319 12.95744681],0
a1,1,0.429043,0.625413,[ 3 76] ; [ 1 62],[ 2.22535211 76.77464789] ; [ 1.77464789 61.22535211],0
r2,1,0.45532,0.557375,[71  7] ; [54  8],[69.64285714  8.35714286] ; [55.35714286  6.64285714],0
d5,1,0.466103,0.5312,[63 16] ; [47 16],[61.1971831 17.8028169] ; [48.8028169 14.1971831],0
u1,1,0.478141,0.5031,[12 67] ; [ 7 56],[10.57042254 68.42957746] ; [ 8.42957746 54.57042254],0
d4,1,0.564025,0.332783,[61 18] ; [46 17],[59.52816901 19.47183099] ; [47.47183099 15.52816901],0
p2,1,0.605876,0.266225,[71  8] ; [54  8],[70.03546099  8.96453901] ; [54.96453901  7.03546099],0
u2,1,0.631827,0.229592,[ 9 12] ; [12 12],[ 9.8 11.2] ; [11.2 12.8],0
n1,1,0.698791,0.149733,[5 9] ; [6 8],[5.5 8.5] ; [5.5 8.5],0
u3,1,0.777486,0.079861,[11 11] ; [13 11],[11.47826087 10.52173913] ; [12.52173913 11.47826087],0
s2,1,0.798554,0.065136,[15 63] ; [13 49],[15.6 62.4] ; [12.4 49.6],0
s3,1,0.834338,0.04374,[23 55] ; [17 44],[22.44604317 55.55395683] ; [17.55395683 43.44604317],0
b4,1,0.837104,0.042271,[44 35] ; [34 29],[43.3943662 35.6056338] ; [34.6056338 28.3943662],0
b1,1,0.896536,0.01691,[33 46] ; [27 36],[33.38028169 45.61971831] ; [26.61971831 36.38028169],0
s7,1,0.933295,0.007006,[23 52] ; [18 42],[22.77777778 52.22222222] ; [18.22222222 41.77777778],0
a7,1,0.957144,0.002888,[58 21] ; [46 17],[57.85915493 21.14084507] ; [46.14084507 16.85915493],0
