Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.189979,[104   5] ; [24 21],[90.5974026 18.4025974] ; [37.4025974  7.5974026],1
p10,1,0.024194,5.080666,[89 18] ; [30 15],[83.76973684 23.23026316] ; [35.23026316  9.76973684],0
a4,1,0.031535,4.623616,[52 57] ; [13 32],[46.00649351 62.99350649] ; [18.99350649 26.00649351],0
p9,1,0.038596,4.278545,[91 16] ; [31 13],[86.45033113 20.54966887] ; [35.54966887  8.45033113],0
n3,1,0.0455,4.0,[21  3] ; [15  9],[18.  6.] ; [18.  6.],0
d5,1,0.05018,3.835441,[90 19] ; [30 14],[85.49019608 23.50980392] ; [34.50980392  9.49019608],0
b3,1,0.058575,3.577279,[ 8 44] ; [10 20],[11.41463415 40.58536585] ; [ 6.58536585 23.41463415],0
b2,1,0.058575,3.577279,[ 8 44] ; [10 20],[11.41463415 40.58536585] ; [ 6.58536585 23.41463415],0
v2,1,0.084078,2.984247,[52 53] ; [15 29],[47.2147651 57.7852349] ; [19.7852349 24.2147651],0
s1,1,0.102254,2.670032,[  3 104] ; [ 4 41],[  4.92763158 102.07236842] ; [ 2.07236842 42.92763158],0
v1,1,0.113988,2.498041,[51 57] ; [15 30],[46.58823529 61.41176471] ; [19.41176471 25.58823529],0
a1,1,0.149797,2.07432,[  1 108] ; [ 2 43],[  2.12337662 106.87662338] ; [ 0.87662338 44.12337662],0
p3,1,0.15147,2.057388,[55 54] ; [17 28],[50.96103896 58.03896104] ; [21.03896104 23.96103896],0
s8,1,0.167289,1.907071,[52 57] ; [16 29],[48.12987013 60.87012987] ; [19.87012987 25.12987013],0
d4,1,0.190419,1.714374,[88 21] ; [32 13],[84.93506494 24.06493506] ; [35.06493506  9.93506494],0
a7,1,0.206602,1.595079,[76 33] ; [26 18],[72.66666667 36.33333333] ; [29.33333333 14.66666667],0
v3,1,0.267659,1.228705,[31 75] ; [ 9 35],[28.26666667 77.73333333] ; [11.73333333 32.26666667],0
s2,1,0.303069,1.060642,[75 31] ; [28 17],[72.30463576 33.69536424] ; [30.69536424 14.30463576],0
u3,1,0.439597,0.597334,[19  9] ; [15 11],[17.62962963 10.37037037] ; [16.37037037  9.62962963],0
p11,1,0.450151,0.570272,[77 32] ; [29 16],[75.02597403 33.97402597] ; [30.97402597 14.02597403],0
p8,1,0.454475,0.559467,[52 55] ; [18 25],[49.93333333 57.06666667] ; [20.06666667 22.93333333],0
a8,1,0.464493,0.535046,[ 5 95] ; [ 1 42],[ 4.1958042 95.8041958] ; [ 1.8041958 41.1958042],0
p7,1,0.465716,0.532123,[66 40] ; [24 19],[64.02684564 41.97315436] ; [25.97315436 17.02684564],0
p6,1,0.510004,0.434059,[43 65] ; [15 29],[41.21052632 66.78947368] ; [16.78947368 27.21052632],0
s5,1,0.542946,0.370107,[51 52] ; [18 23],[49.35416667 53.64583333] ; [19.64583333 21.35416667],0
s7,1,0.567737,0.326484,[62 42] ; [24 20],[60.43243243 43.56756757] ; [25.56756757 18.43243243],0
d2,1,0.57278,0.318054,[49 60] ; [18 27],[47.42207792 61.57792208] ; [19.57792208 25.42207792],0
p1,1,0.588795,0.292229,[  7 102] ; [ 4 41],[  7.78571429 101.21428571] ; [ 3.21428571 41.78571429],0
b5,1,0.593878,0.284328,[68 41] ; [26 19],[66.53246753 42.46753247] ; [27.46753247 17.53246753],0
p2,1,0.622132,0.242883,[84 25] ; [33 12],[82.81168831 26.18831169] ; [34.18831169 10.81168831],0
p12,1,0.638628,0.220541,[  4 104] ; [ 1 44],[  3.52941176 104.47058824] ; [ 1.47058824 43.52941176],0
b4,1,0.721515,0.127046,[62 47] ; [27 18],[62.99350649 46.00649351] ; [26.00649351 18.99350649],0
n2,1,0.745333,0.105495,[17  7] ; [18  6],[17.5  6.5] ; [17.5  6.5],0
n1,1,0.755497,0.09697,[ 7 17] ; [ 8 16],[ 7.5 16.5] ; [ 7.5 16.5],0
n5,1,0.762888,0.091017,[73 36] ; [29 16],[72.19480519 36.80519481] ; [29.80519481 15.19480519],0
u2,1,0.792978,0.068878,[13 15] ; [13 13],[13.48148148 14.51851852] ; [12.51851852 13.48148148],0
b1,1,0.984844,0.000361,[41 68] ; [17 28],[41.05194805 67.94805195] ; [16.94805195 28.05194805],0
