Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.1e-05,18.095238,[20 94] ; [20 18],[30. 84.] ; [10. 28.],1
p1,1,0.271707,1.20811,[ 13 101] ; [ 2 36],[ 11.25 102.75] ; [ 3.75 34.25],0
b5,1,0.302518,1.06306,[62 52] ; [17 21],[59.25 54.75] ; [19.75 18.25],0
p11,1,0.304231,1.055556,[94 20] ; [34  4],[96. 18.] ; [32.  6.],0
d3,1,0.318897,0.993464,[74 40] ; [28 10],[76.5 37.5] ; [25.5 12.5],0
b4,1,0.344761,0.892647,[62 52] ; [24 14],[64.5 49.5] ; [21.5 16.5],0
v1,1,0.389448,0.740666,[63 50] ; [23 13],[65.22147651 47.77852349] ; [20.77852349 15.22147651],0
d5,1,0.415901,0.661868,[89 25] ; [32  6],[90.75 23.25] ; [30.25  7.75],0
a6,1,0.420266,0.649573,[76 38] ; [28 10],[78. 36.] ; [26. 12.],0
p2,1,0.46642,0.530445,[89 24] ; [32  6],[90.54966887 22.45033113] ; [30.45033113  7.54966887],0
p9,1,0.479739,0.499457,[86 28] ; [30  7],[87.57615894 26.42384106] ; [28.42384106  8.57615894],0
p5,1,0.487274,0.48254,[  8 106] ; [ 4 34],[  9. 105.] ; [ 3. 35.],0
n3,1,0.532723,0.389194,[22  6] ; [4 2],[21.41176471  6.58823529] ; [4.58823529 1.41176471],0
a7,1,0.587105,0.294888,[78 35] ; [28 10],[79.32450331 33.67549669] ; [26.67549669 11.32450331],0
r1,1,0.62895,0.233487,[92 22] ; [32  6],[93. 21.] ; [31.  7.],0
a1,1,0.630521,0.231355,[  4 110] ; [ 2 36],[  4.5 109.5] ; [ 1.5 36.5],0
r4,1,0.670986,0.180451,[99 15] ; [34  4],[99.75 14.25] ; [33.25  4.75],0
u2,1,0.683257,0.166483,[13 20] ; [2 2],[13.37837838 19.62162162] ; [1.62162162 2.37837838],0
r2,1,0.714222,0.134096,[104   8] ; [35  2],[104.48322148   7.51677852] ; [34.51677852  2.48322148],0
d1,1,0.773132,0.083106,[69 45] ; [24 14],[69.75 44.25] ; [23.25 14.75],0
n6,1,0.813964,0.055373,[91 23] ; [31  7],[91.5 22.5] ; [30.5  7.5],0
v4,1,0.842721,0.039368,[107   7] ; [36  2],[107.25   6.75] ; [35.75  2.25],0
s4,1,0.856571,0.032667,[  8 106] ; [ 3 35],[  8.25 105.75] ; [ 2.75 35.25],0
d4,1,0.883122,0.021613,[94 19] ; [32  6],[94.29139073 18.70860927] ; [31.70860927  6.29139073],0
n1,1,0.902787,0.014918,[ 8 18] ; [2 4],[ 8.125 17.875] ; [1.875 4.125],0
b1,1,0.923888,0.009127,[46 68] ; [15 23],[45.75 68.25] ; [15.25 22.75],0
p8,1,0.92814,0.008133,[58 54] ; [20 18],[58.24 53.76] ; [19.76 18.24],0
n2,1,0.930736,0.007555,[19  7] ; [5 2],[18.90909091  7.09090909] ; [5.09090909 1.90909091],0
r3,1,0.991153,0.000123,[107   6] ; [36  2],[107.01324503   5.98675497] ; [35.98675497  2.01324503],0
s1,1,0.99383,6e-05,[  3 110] ; [ 1 37],[  2.99337748 110.00662252] ; [ 1.00662252 36.99337748],0
