Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.006821,7.319606,[54 23] ; [ 6 11],[49.14893617 27.85106383] ; [10.85106383  6.14893617],0
d3,1,0.406949,0.687696,[54 24] ; [10  7],[52.54736842 25.45263158] ; [11.45263158  5.54736842],0
p12,1,0.451062,0.567981,[22 57] ; [ 3 13],[20.78947368 58.21052632] ; [ 4.21052632 11.78947368],0
v1,1,0.478682,0.501864,[55 22] ; [10  6],[53.8172043 23.1827957] ; [11.1827957  4.8172043],0
a1,1,0.479337,0.500372,[ 9 70] ; [ 3 14],[ 9.875 69.125] ; [ 2.125 14.875],0
p2,1,0.517925,0.418024,[69 10] ; [13  3],[68.18947368 10.81052632] ; [13.81052632  2.18947368],0
p11,1,0.628935,0.233507,[66 13] ; [15  2],[66.65625 12.34375] ; [14.34375  2.65625],0
p7,1,0.629853,0.23226,[62 14] ; [13  4],[61.29032258 14.70967742] ; [13.70967742  3.29032258],0
s1,1,0.686903,0.162459,[ 7 72] ; [ 1 16],[ 6.58333333 72.41666667] ; [ 1.41666667 15.58333333],0
p8,1,0.688055,0.161199,[63 15] ; [13  4],[62.4 15.6] ; [13.6  3.4],0
b5,1,0.717255,0.131138,[38 41] ; [9 8],[38.67708333 40.32291667] ; [8.32291667 8.67708333],0
r3,1,0.721858,0.126719,[71  7] ; [15  2],[70.61052632  7.38947368] ; [15.38947368  1.61052632],0
v2,1,0.75187,0.099966,[44 33] ; [9 8],[43.41489362 33.58510638] ; [9.58510638 7.41489362],0
b4,1,0.761675,0.09198,[48 31] ; [11  6],[48.55208333 30.44791667] ; [10.44791667  6.55208333],0
p9,1,0.795768,0.066992,[72  6] ; [16  1],[72.25263158  5.74736842] ; [15.74736842  1.25263158],0
u3,1,0.805803,0.06044,[8 6] ; [5 3],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
p10,1,0.854315,0.033715,[70  8] ; [15  2],[69.78947368  8.21052632] ; [15.21052632  1.78947368],0
p4,1,0.86782,0.027698,[69  8] ; [15  2],[68.80851064  8.19148936] ; [15.19148936  1.80851064],0
b1,1,0.910991,0.012497,[36 43] ; [8 9],[36.20833333 42.79166667] ; [7.79166667 9.20833333],0
b3,1,0.922226,0.009532,[29 31] ; [5 5],[29.14285714 30.85714286] ; [4.85714286 5.14285714],0
b2,1,0.922226,0.009532,[29 31] ; [5 5],[29.14285714 30.85714286] ; [4.85714286 5.14285714],0
d4,1,0.976544,0.000864,[64 14] ; [14  3],[64.04210526 13.95789474] ; [13.95789474  3.04210526],0
n3,1,1.0,0.0,[7 7] ; [3 3],[7. 7.] ; [3. 3.],0
