Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.002349,9.25456,[ 7 37] ; [15 16],[12.90666667 31.09333333] ; [ 9.09333333 21.90666667],0
s2,1,0.5153,0.423289,[50 28] ; [34 24],[48.17647059 29.82352941] ; [35.82352941 22.17647059],0
p9,1,0.536732,0.381631,[59 18] ; [47 11],[60.45925926 16.54074074] ; [45.54074074 12.45925926],0
p6,1,0.575445,0.313657,[22 56] ; [18 37],[23.45864662 54.54135338] ; [16.54135338 38.45864662],0
a8,1,0.632704,0.228411,[ 4 68] ; [ 4 48],[ 4.64516129 67.35483871] ; [ 3.35483871 48.64516129],0
p12,1,0.664681,0.187887,[ 4 74] ; [ 4 54],[ 4.58823529 73.41176471] ; [ 3.41176471 54.58823529],0
p2,1,0.670282,0.181273,[59 19] ; [42 16],[57.92647059 20.07352941] ; [43.07352941 14.92647059],0
s1,1,0.70953,0.138747,[ 3 75] ; [ 3 55],[ 3.44117647 74.55882353] ; [ 2.55882353 55.44117647],0
s5,1,0.711926,0.13636,[32 42] ; [22 33],[30.97674419 43.02325581] ; [23.02325581 31.97674419],0
p3,1,0.731228,0.117987,[34 44] ; [27 31],[34.98529412 43.01470588] ; [26.01470588 31.98529412],0
p11,1,0.745958,0.104959,[49 29] ; [38 20],[49.89705882 28.10294118] ; [37.10294118 20.89705882],0
p8,1,0.785515,0.07406,[35 42] ; [25 33],[34.22222222 42.77777778] ; [25.77777778 32.22222222],0
u1,1,0.795499,0.067173,[12 66] ; [ 8 50],[11.47058824 66.52941176] ; [ 8.52941176 49.47058824],0
r1,1,0.807782,0.059189,[57 20] ; [44 14],[57.60740741 19.39259259] ; [43.39259259 14.60740741],0
a3,1,0.847681,0.036894,[51 27] ; [37 21],[50.47058824 27.52941176] ; [37.52941176 20.47058824],0
b1,1,0.864431,0.029151,[28 50] ; [20 38],[27.52941176 50.47058824] ; [20.47058824 37.52941176],0
v4,1,0.882454,0.021862,[72  6] ; [53  4],[72.22222222  5.77777778] ; [52.77777778  4.22222222],0
a1,1,0.910169,0.01273,[ 5 73] ; [ 4 54],[ 5.16176471 72.83823529] ; [ 3.83823529 54.16176471],0
n4,1,0.928657,0.008017,[29 49] ; [22 36],[29.25 48.75] ; [21.75 36.25],0
a5,1,0.931512,0.007386,[57 21] ; [42 16],[56.77941176 21.22058824] ; [42.22058824 15.77941176],0
d4,1,0.95894,0.002651,[67 11] ; [50  8],[67.10294118 10.89705882] ; [49.89705882  8.10294118],0
s8,1,0.963294,0.002118,[36 42] ; [27 31],[36.13235294 41.86764706] ; [26.86764706 31.13235294],0
d5,1,0.968966,0.001514,[63 15] ; [47 11],[63.08823529 14.91176471] ; [46.91176471 11.08823529],0
a6,1,0.987167,0.000259,[51 27] ; [38 20],[51.04411765 26.95588235] ; [37.95588235 20.04411765],0
