Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.7e-05,17.630214,[ 1 26] ; [17 14],[ 8.37931034 18.62068966] ; [ 9.62068966 21.37931034],1
n4,1,0.598843,0.276745,[19  9] ; [19 12],[18.03389831  9.96610169] ; [19.96610169 11.03389831],0
v1,1,0.648931,0.20725,[ 8 20] ; [ 7 23],[ 7.24137931 20.75862069] ; [ 7.75862069 22.24137931],0
s3,1,0.7639,0.090218,[ 8 19] ; [10 20],[ 8.52631579 18.47368421] ; [ 9.47368421 20.52631579],0
d2,1,0.763976,0.090158,[12 15] ; [15 16],[12.56896552 14.43103448] ; [14.43103448 16.56896552],0
b2,1,0.837046,0.042302,[ 8 13] ; [ 7 13],[ 7.68292683 13.31707317] ; [ 7.31707317 12.68292683],0
b3,1,0.837046,0.042302,[ 8 13] ; [ 7 13],[ 7.68292683 13.31707317] ; [ 7.31707317 12.68292683],0
v3,1,0.843354,0.039048,[ 6 22] ; [ 6 25],[ 5.69491525 22.30508475] ; [ 6.30508475 24.69491525],0
n1,1,0.86324,0.02967,[7 8] ; [6 6],[7.22222222 7.77777778] ; [5.77777778 6.22222222],0
a3,1,0.895812,0.017149,[17 10] ; [19 12],[16.75862069 10.24137931] ; [19.24137931 11.75862069],0
a5,1,0.922276,0.009519,[15 13] ; [17 14],[15.18644068 12.81355932] ; [16.81355932 14.18644068],0
p4,1,0.943367,0.005046,[ 7 21] ; [ 8 23],[ 7.11864407 20.88135593] ; [ 7.88135593 23.11864407],0
