Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.098655,[ 9 38] ; [28 11],[20.22093023 26.77906977] ; [16.77906977 22.22093023],1
s7,1,0.224019,1.478439,[16 31] ; [17 19],[18.68674699 28.31325301] ; [14.31325301 21.68674699],0
p7,1,0.240363,1.378462,[32 13] ; [32  7],[34.28571429 10.71428571] ; [29.71428571  9.28571429],0
a4,1,0.297234,1.086564,[ 9 39] ; [11 28],[11.03448276 36.96551724] ; [ 8.96551724 30.03448276],0
p1,1,0.299673,1.075648,[ 7 40] ; [ 3 36],[ 5.46511628 41.53488372] ; [ 4.53488372 34.46511628],0
a7,1,0.322031,0.980681,[27 21] ; [26 13],[29.24137931 18.75862069] ; [23.75862069 15.24137931],0
u1,1,0.438888,0.599187,[ 1 47] ; [ 2 37],[ 1.65517241 46.34482759] ; [ 1.34482759 37.65517241],0
u2,1,0.459168,0.547921,[16 17] ; [9 6],[17.1875 15.8125] ; [7.8125 7.1875],0
r3,1,0.488056,0.480809,[43  5] ; [33  6],[41.93103448  6.06896552] ; [34.06896552  4.93103448],0
b4,1,0.489144,0.47841,[26 22] ; [24 15],[27.5862069 20.4137931] ; [22.4137931 16.5862069],0
r2,1,0.557639,0.343808,[37 10] ; [31  6],[38.04761905  8.95238095] ; [29.95238095  7.04761905],0
n6,1,0.588226,0.293124,[39  8] ; [34  5],[39.89534884  7.10465116] ; [33.10465116  5.89534884],0
a6,1,0.6438,0.213807,[27 21] ; [20 19],[25.93103448 22.06896552] ; [21.06896552 17.93103448],0
s2,1,0.6438,0.213807,[21 27] ; [19 20],[22.06896552 25.93103448] ; [17.93103448 21.06896552],0
u3,1,0.696161,0.152496,[13 19] ; [7 8],[13.61702128 18.38297872] ; [6.38297872 8.61702128],0
d2,1,0.736015,0.11366,[12 36] ; [11 28],[12.68965517 35.31034483] ; [10.31034483 28.68965517],0
b5,1,0.737492,0.112343,[30 18] ; [23 16],[29.24137931 18.75862069] ; [23.75862069 15.24137931],0
p12,1,0.757542,0.095302,[ 4 44] ; [ 4 35],[ 4.4137931 43.5862069] ; [ 3.5862069 35.4137931],0
s4,1,0.787244,0.072841,[11 37] ; [ 8 31],[10.48275862 37.51724138] ; [ 8.51724138 30.48275862],0
s1,1,0.791757,0.069712,[ 3 45] ; [ 3 36],[ 3.31034483 44.68965517] ; [ 2.68965517 36.31034483],0
a2,1,0.791757,0.069712,[ 3 45] ; [ 3 36],[ 3.31034483 44.68965517] ; [ 2.68965517 36.31034483],0
n3,1,0.793117,0.068783,[10  4] ; [8 4],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
p6,1,0.804731,0.061122,[21 26] ; [18 20],[21.56470588 25.43529412] ; [17.43529412 20.56470588],0
p11,1,0.874901,0.024786,[40  8] ; [32  7],[39.72413793  8.27586207] ; [32.27586207  6.72413793],0
p2,1,0.886771,0.020275,[38  9] ; [32  7],[38.25581395  8.74418605] ; [31.74418605  7.25581395],0
a8,1,0.899802,0.015854,[ 4 41] ; [ 3 34],[ 3.84146341 41.15853659] ; [ 3.15853659 33.84146341],0
a1,1,0.91295,0.011951,[ 4 44] ; [ 3 36],[ 3.86206897 44.13793103] ; [ 3.13793103 35.86206897],0
v4,1,0.918202,0.010547,[43  4] ; [35  3],[43.12941176  3.87058824] ; [34.87058824  3.12941176],0
s8,1,0.926759,0.00845,[18 30] ; [15 24],[18.20689655 29.79310345] ; [14.79310345 24.20689655],0
b1,1,1.0,0.0,[16 32] ; [13 26],[16. 32.] ; [13. 26.],0
