Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.46118,[ 24 133] ; [47 66],[ 41.28518519 115.71481481] ; [29.71481481 83.28518519],1
u4,1,0.381551,0.7657,[  1 160] ; [  2 114],[  1.74368231 159.25631769] ; [  1.25631769 114.74368231],0
n1,1,0.414558,0.665691,[20 42] ; [ 8 25],[18.27368421 43.72631579] ; [ 9.72631579 23.27368421],0
n2,1,0.448327,0.574879,[39 24] ; [23 10],[40.6875 22.3125] ; [21.3125 11.6875],0
p12,1,0.460135,0.545566,[  5 154] ; [  2 114],[  4.04727273 154.95272727] ; [  2.95272727 113.04727273],0
p8,1,0.466425,0.530433,[ 42 119] ; [34 79],[ 44.65693431 116.34306569] ; [31.34306569 81.65693431],0
a2,1,0.476727,0.506342,[ 24 137] ; [21 95],[ 26.15523466 134.84476534] ; [18.84476534 97.15523466],0
b4,1,0.537061,0.381015,[94 67] ; [72 44],[96.48375451 64.51624549] ; [69.51624549 46.48375451],0
b2,1,0.628745,0.233766,[28 60] ; [20 36],[29.33333333 58.66666667] ; [18.66666667 37.33333333],0
b3,1,0.628745,0.233766,[28 60] ; [20 36],[29.33333333 58.66666667] ; [18.66666667 37.33333333],0
p6,1,0.719612,0.128864,[ 20 138] ; [16 97],[ 20.98892989 137.01107011] ; [15.01107011 97.98892989],0
n4,1,0.727642,0.121287,[98 63] ; [73 43],[99.3898917 61.6101083] ; [71.6101083 44.3898917],0
s3,1,0.751023,0.100674,[ 58 100] ; [44 70],[59.25 98.75] ; [42.75 71.25],0
u3,1,0.756115,0.096464,[29 40] ; [14 22],[28.25714286 40.74285714] ; [14.74285714 21.25714286],0
b5,1,0.765714,0.088796,[100  61] ; [70 46],[98.80866426 62.19133574] ; [71.19133574 44.80866426],0
d2,1,0.908192,0.013298,[ 58 100] ; [43 72],[58.45421245 99.54578755] ; [42.54578755 72.45421245],0
a8,1,0.927366,0.00831,[ 18 136] ; [12 94],[ 17.76923077 136.23076923] ; [12.23076923 93.76923077],0
u2,1,0.938028,0.006045,[31 38] ; [15 19],[30.81553398 38.18446602] ; [15.18446602 18.81553398],0
s4,1,0.980561,0.000594,[ 25 135] ; [18 98],[ 24.92753623 135.07246377] ; [18.07246377 97.92753623],0
