Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000803,11.235434,[10 13] ; [13 86],[ 4.33606557 18.66393443] ; [18.66393443 80.33606557],1
p6,1,0.634585,0.225895,[10 13] ; [48 50],[11.02479339 11.97520661] ; [46.97520661 51.02479339],0
r2,1,0.634632,0.225832,[22  1] ; [92  7],[21.49180328  1.50819672] ; [92.50819672  6.49180328],0
a1,1,0.645596,0.211497,[ 2 21] ; [ 6 93],[ 1.50819672 21.49180328] ; [ 6.49180328 92.50819672],0
a7,1,0.682274,0.167578,[15  8] ; [60 39],[14.13934426  8.86065574] ; [60.86065574 38.13934426],0
u1,1,0.692184,0.156731,[ 4 19] ; [14 85],[ 3.39344262 19.60655738] ; [14.60655738 84.39344262],0
u2,1,0.72739,0.121522,[3 2] ; [16 15],[2.63888889 2.36111111] ; [16.36111111 14.63888889],0
a5,1,0.75944,0.093768,[17  6] ; [70 29],[16.40163934  6.59836066] ; [70.59836066 28.40163934],0
a4,1,0.816948,0.053579,[12 11] ; [49 50],[11.5 11.5] ; [49.5 49.5],0
d2,1,0.816948,0.053579,[11 12] ; [50 49],[11.5 11.5] ; [49.5 49.5],0
r3,1,0.827572,0.047444,[21  2] ; [88 10],[20.71900826  2.28099174] ; [88.28099174  9.71900826],0
r1,1,0.887172,0.020131,[18  5] ; [78 20],[18.24793388  4.75206612] ; [77.75206612 20.24793388],0
s4,1,0.887664,0.019955,[ 7 16] ; [31 66],[ 7.28333333 15.71666667] ; [30.71666667 66.28333333],0
n2,1,0.944658,0.004819,[5 1] ; [23  5],[4.94117647 1.05882353] ; [23.05882353  4.94117647],0
p3,1,0.954585,0.003243,[12 11] ; [51 48],[11.87704918 11.12295082] ; [51.12295082 47.87704918],0
p8,1,0.990825,0.000132,[12 11] ; [51 47],[11.97520661 11.02479339] ; [51.02479339 46.97520661],0
