Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.600286,[115  42] ; [16 28],[102.32338308  54.67661692] ; [28.67661692 15.32338308],1
u2,1,0.199855,1.643434,[42 39] ; [16  8],[44.74285714 36.25714286] ; [13.25714286 10.74285714],0
u3,1,0.200604,1.637971,[40 41] ; [16  9],[42.79245283 38.20754717] ; [13.20754717 11.79245283],0
r1,1,0.261116,1.262829,[103  53] ; [25 19],[99.84 56.16] ; [28.16 15.84],0
s4,1,0.301484,1.067619,[ 25 131] ; [10 34],[ 27.3 128.7] ; [ 7.7 36.3],0
u4,1,0.333953,0.933507,[  1 156] ; [ 1 43],[  1.56218905 155.43781095] ; [ 0.43781095 43.56218905],0
s2,1,0.375523,0.785306,[72 84] ; [17 27],[69.42 86.58] ; [19.58 24.42],0
d5,1,0.39588,0.720806,[103  53] ; [26 18],[100.62  55.38] ; [28.38 15.62],0
n2,1,0.397827,0.714885,[27 11] ; [10  2],[28.12  9.88] ; [8.88 3.12],0
r2,1,0.413658,0.668263,[144  12] ; [38  5],[142.67336683  13.32663317] ; [39.32663317  3.67336683],0
b4,1,0.453521,0.561837,[92 65] ; [23 21],[89.82587065 67.17412935] ; [25.17412935 18.82587065],0
b5,1,0.467714,0.527371,[94 63] ; [29 15],[96.07462687 60.92537313] ; [26.92537313 17.07462687],0
v1,1,0.476654,0.50651,[77 76] ; [19 24],[74.93877551 78.06122449] ; [21.06122449 21.93877551],0
s5,1,0.477706,0.504095,[ 40 109] ; [ 9 33],[ 38.22513089 110.77486911] ; [10.77486911 31.22513089],0
p1,1,0.492117,0.471894,[ 16 140] ; [ 3 41],[ 14.82 141.18] ; [ 4.18 39.82],0
a3,1,0.51789,0.418094,[75 79] ; [19 25],[73.11111111 80.88888889] ; [20.88888889 23.11111111],0
d1,1,0.546454,0.363709,[ 54 103] ; [13 31],[ 52.33333333 104.66666667] ; [14.66666667 29.33333333],0
d4,1,0.61562,0.252071,[108  49] ; [32 12],[109.35323383  47.64676617] ; [30.64676617 13.35323383],0
n3,1,0.63693,0.222779,[28 10] ; [8 4],[27.36 10.64] ; [8.64 3.36],0
s7,1,0.652019,0.203364,[58 92] ; [15 28],[56.7357513 93.2642487] ; [16.2642487 26.7357513],0
u1,1,0.663482,0.189321,[  5 152] ; [ 2 42],[  5.46766169 151.53233831] ; [ 1.53233831 42.46766169],0
a7,1,0.668164,0.183757,[104  51] ; [28 16],[102.81407035  52.18592965] ; [29.18592965 14.81407035],0
n1,1,0.764047,0.090102,[14 24] ; [5 7],[14.44 23.56] ; [4.56 7.44],0
s3,1,0.818392,0.052723,[87 67] ; [24 20],[86.33333333 67.66666667] ; [24.66666667 19.33333333],0
a6,1,0.843594,0.038927,[83 74] ; [24 20],[83.57711443 73.42288557] ; [23.42288557 20.57711443],0
p6,1,0.852156,0.034733,[ 50 104] ; [13 29],[ 49.5 104.5] ; [13.5 28.5],0
b2,1,0.877149,0.023897,[23 60] ; [ 6 17],[22.70754717 60.29245283] ; [ 6.29245283 16.70754717],0
b3,1,0.877149,0.023897,[23 60] ; [ 6 17],[22.70754717 60.29245283] ; [ 6.29245283 16.70754717],0
d3,1,0.919852,0.010124,[93 63] ; [26 17],[93.28643216 62.71356784] ; [25.71356784 17.28643216],0
s1,1,0.969997,0.001415,[  7 148] ; [ 2 41],[  7.04545455 147.95454545] ; [ 1.95454545 41.04545455],0
