Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,3e-06,21.654826,[235  64] ; [31 31],[220.31578947  78.68421053] ; [45.68421053 16.31578947],1
b1,1,0.562883,0.334738,[108 191] ; [20 42],[106.0166205 192.9833795] ; [21.9833795 40.0166205],0
b2,1,0.582126,0.30281,[ 64 115] ; [15 22],[ 65.46759259 113.53240741] ; [13.53240741 23.46759259],0
b3,1,0.582126,0.30281,[ 64 115] ; [15 22],[ 65.46759259 113.53240741] ; [13.53240741 23.46759259],0
s5,1,0.603242,0.270134,[ 72 218] ; [13 47],[ 70.42857143 219.57142857] ; [14.57142857 45.42857143],0
p9,1,0.678734,0.171554,[240  55] ; [51 10],[241.13764045  53.86235955] ; [49.86235955 11.13764045],0
n3,1,0.712832,0.135464,[46 16] ; [14  6],[45.36585366 16.63414634] ; [14.63414634  5.36585366],0
p11,1,0.745727,0.105157,[237  62] ; [48 14],[236.05263158  62.94736842] ; [48.94736842 13.05263158],0
u2,1,0.793604,0.068452,[52 39] ; [13 11],[51.43478261 39.56521739] ; [13.56521739 10.43478261],0
s1,1,0.830433,0.045859,[  6 290] ; [ 1 61],[  5.7877095 290.2122905] ; [ 1.2122905 60.7877095],0
r3,1,0.837852,0.041878,[293   6] ; [61  1],[293.20221607   5.79778393] ; [60.79778393  1.20221607],0
b4,1,0.845655,0.037894,[168 131] ; [34 28],[167.30747922 131.69252078] ; [34.69252078 27.30747922],0
p10,1,0.875336,0.024613,[230  65] ; [47 14],[229.53651685  65.46348315] ; [47.46348315 13.53651685],0
s7,1,0.920721,0.009905,[ 81 201] ; [16 41],[ 80.69026549 201.30973451] ; [16.30973451 40.69026549],0
s6,1,0.923558,0.009207,[136 156] ; [28 33],[135.66005666 156.33994334] ; [28.33994334 32.66005666],0
