Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,9e-06,19.77139,[15 19] ; [67 12],[24.67256637  9.32743363] ; [57.32743363 21.67256637],1
p8,1,0.201585,1.630854,[ 7 26] ; [26 52],[ 9.81081081 23.18918919] ; [23.18918919 54.81081081],0
p7,1,0.208376,1.582674,[10 23] ; [34 45],[12.96428571 20.03571429] ; [31.03571429 47.96428571],0
p4,1,0.220661,1.500069,[ 9 25] ; [30 48],[11.83928571 22.16071429] ; [27.16071429 50.83928571],0
v3,1,0.221481,1.494748,[ 4 30] ; [17 62],[ 6.31858407 27.68141593] ; [14.68141593 64.31858407],0
a3,1,0.222233,1.489892,[16 18] ; [47 32],[18.95575221 15.04424779] ; [44.04424779 34.95575221],0
b4,1,0.235272,1.408701,[15 19] ; [45 35],[17.89473684 16.10526316] ; [42.10526316 37.89473684],0
p6,1,0.241032,1.374545,[ 5 28] ; [19 56],[ 7.33333333 25.66666667] ; [16.66666667 58.33333333],0
s1,1,0.274469,1.194277,[ 3 31] ; [ 3 76],[ 1.80530973 32.19469027] ; [ 4.19469027 74.80530973],0
s7,1,0.296111,1.091627,[ 4 28] ; [16 60],[ 5.92592593 26.07407407] ; [14.07407407 61.92592593],0
u3,1,0.298291,1.081818,[ 4 14] ; [12 21],[ 5.64705882 12.35294118] ; [10.35294118 22.64705882],0
s4,1,0.355285,0.854492,[ 6 28] ; [ 9 71],[ 4.47368421 29.52631579] ; [10.52631579 69.47368421],0
p3,1,0.363023,0.827409,[ 8 26] ; [25 53],[10.01785714 23.98214286] ; [22.98214286 55.01785714],0
p1,1,0.368788,0.807744,[ 6 28] ; [ 9 70],[ 4.51327434 29.48672566] ; [10.48672566 68.51327434],0
b3,1,0.378631,0.775142,[12 11] ; [18 26],[10.29850746 12.70149254] ; [19.70149254 24.29850746],0
b2,1,0.378631,0.775142,[12 11] ; [18 26],[10.29850746 12.70149254] ; [19.70149254 24.29850746],0
s5,1,0.469221,0.52381,[ 2 31] ; [ 8 69],[ 3. 30.] ; [ 7. 70.],0
n4,1,0.473097,0.514732,[22 12] ; [46 34],[20.28070175 13.71929825] ; [47.71929825 32.28070175],0
d1,1,0.481387,0.495719,[10 24] ; [29 51],[11.63157895 22.36842105] ; [27.36842105 52.63157895],0
d2,1,0.570729,0.321464,[14 19] ; [29 50],[12.66964286 20.33035714] ; [30.33035714 48.66964286],0
u1,1,0.603445,0.269832,[ 2 32] ; [ 7 73],[ 2.68421053 31.31578947] ; [ 6.31578947 73.68421053],0
s2,1,0.603499,0.269751,[ 5 29] ; [15 65],[ 5.96491228 28.03508772] ; [14.03508772 65.96491228],0
a5,1,0.74514,0.10566,[16 18] ; [35 45],[15.21052632 18.78947368] ; [35.78947368 44.21052632],0
a6,1,0.74514,0.10566,[18 16] ; [45 35],[18.78947368 15.21052632] ; [44.21052632 35.78947368],0
s3,1,0.759561,0.093671,[ 8 24] ; [22 57],[ 8.64864865 23.35135135] ; [21.35135135 57.64864865],0
d3,1,0.812427,0.05631,[14 20] ; [34 44],[14.57142857 19.42857143] ; [33.42857143 44.57142857],0
a4,1,0.819714,0.051944,[10 23] ; [26 54],[10.51327434 22.48672566] ; [25.48672566 54.51327434],0
u2,1,0.828671,0.046832,[ 6 12] ; [12 21],[ 6.35294118 11.64705882] ; [11.64705882 21.35294118],0
p5,1,0.830789,0.045663,[ 2 31] ; [ 4 75],[ 1.76785714 31.23214286] ; [ 4.23214286 74.76785714],0
a2,1,0.845685,0.03788,[ 3 31] ; [ 8 72],[ 3.28070175 30.71929825] ; [ 7.71929825 72.28070175],0
n1,1,0.864079,0.029304,[ 5 10] ; [ 9 16],[5.25 9.75] ; [ 8.75 16.25],0
v1,1,0.98591,0.000312,[ 8 26] ; [18 58],[ 8.03636364 25.96363636] ; [17.96363636 58.03636364],0
