Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,24.51126,[15 19] ; [76 11],[25.57024793  8.42975207] ; [65.42975207 21.57024793],1
n1,1,0.571689,0.319865,[5 6] ; [15 12],[5.78947368 5.21052632] ; [14.21052632 12.78947368],0
b2,1,0.584643,0.298789,[ 5 11] ; [27 43],[ 5.95348837 10.04651163] ; [26.04651163 43.95348837],0
b3,1,0.584643,0.298789,[ 5 11] ; [27 43],[ 5.95348837 10.04651163] ; [26.04651163 43.95348837],0
p8,1,0.643821,0.21378,[10 24] ; [22 65],[ 8.99173554 25.00826446] ; [23.00826446 63.99173554],0
r1,1,0.667893,0.184077,[27  7] ; [72 15],[27.81818182  6.18181818] ; [71.18181818 15.81818182],0
r4,1,0.670826,0.180637,[30  4] ; [79  8],[30.62809917  3.37190083] ; [78.37190083  8.62809917],0
a1,1,0.680702,0.169337,[ 1 33] ; [ 4 83],[ 1.40495868 32.59504132] ; [ 3.59504132 83.40495868],0
s3,1,0.69785,0.150718,[23 10] ; [63 23],[23.8487395  9.1512605] ; [62.1512605 23.8487395],0
p5,1,0.708953,0.139325,[ 3 30] ; [ 6 79],[ 2.51694915 30.48305085] ; [ 6.48305085 78.51694915],0
b4,1,0.840239,0.040638,[21 13] ; [52 35],[20.51239669 13.48760331] ; [52.48760331 34.51239669],0
s2,1,0.84597,0.037738,[24  9] ; [61 25],[23.57142857  9.42857143] ; [61.42857143 24.57142857],0
s5,1,0.884861,0.02097,[ 9 20] ; [26 54],[ 9.31192661 19.68807339] ; [25.68807339 54.31192661],0
s6,1,0.903641,0.014656,[27  6] ; [72 15],[27.225  5.775] ; [71.775 15.225],0
b5,1,0.917929,0.010618,[23 11] ; [58 29],[22.76033058 11.23966942] ; [58.23966942 28.76033058],0
d3,1,0.975277,0.00096,[21 13] ; [54 33],[21.07438017 12.92561983] ; [53.92561983 33.07438017],0
u2,1,0.976445,0.000872,[13  5] ; [8 3],[13.03448276  4.96551724] ; [7.96551724 3.03448276],0
