Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8.4e-05,15.465546,[16 78] ; [13 10],[23.2991453 70.7008547] ; [ 5.7008547 17.2991453],1
v4,1,0.411346,0.674908,[76 26] ; [19  4],[77.52 24.48] ; [17.48  5.52],0
b3,1,0.466778,0.529594,[21 45] ; [ 7 10],[22.26506024 43.73493976] ; [ 5.73493976 11.26506024],0
b2,1,0.466778,0.529594,[21 45] ; [ 7 10],[22.26506024 43.73493976] ; [ 5.73493976 11.26506024],0
b5,1,0.478665,0.501904,[56 48] ; [11 13],[54.4375 49.5625] ; [12.5625 11.4375],0
r4,1,0.495367,0.464847,[66 38] ; [17  7],[67.4375 36.5625] ; [15.5625  8.4375],0
n1,1,0.511833,0.430317,[14 32] ; [3 4],[14.75471698 31.24528302] ; [2.24528302 4.75471698],0
p3,1,0.546867,0.36296,[24 79] ; [ 7 17],[25.14173228 77.85826772] ; [ 5.85826772 18.14173228],0
b1,1,0.570546,0.32177,[54 50] ; [14 10],[55.25 48.75] ; [12.75 11.25],0
a4,1,0.580712,0.305085,[45 58] ; [ 9 15],[43.79527559 59.20472441] ; [10.20472441 13.79527559],0
s1,1,0.580914,0.30476,[ 9 93] ; [ 3 21],[ 9.71428571 92.28571429] ; [ 2.28571429 21.71428571],0
u3,1,0.645968,0.211021,[24 22] ; [3 4],[23.43396226 22.56603774] ; [3.56603774 3.43396226],0
p1,1,0.648778,0.207444,[ 6 97] ; [ 2 22],[ 6.48818898 96.51181102] ; [ 1.51181102 22.48818898],0
a8,1,0.664372,0.188256,[ 6 91] ; [ 2 21],[ 6.46666667 90.53333333] ; [ 1.53333333 21.46666667],0
a6,1,0.690593,0.158444,[56 48] ; [14 10],[56.875 47.125] ; [13.125 10.875],0
n5,1,0.725097,0.123662,[56 47] ; [14 10],[56.77165354 46.22834646] ; [13.22834646 10.77165354],0
d1,1,0.729481,0.119589,[43 61] ; [ 9 15],[42.25 61.75] ; [ 9.75 14.25],0
s6,1,0.743844,0.106777,[38 65] ; [ 8 16],[37.30708661 65.69291339] ; [ 8.69291339 15.30708661],0
p4,1,0.748622,0.102692,[27 77] ; [ 7 17],[27.625 76.375] ; [ 6.375 17.625],0
d4,1,0.76287,0.091031,[69 33] ; [17  7],[69.61904762 32.38095238] ; [16.38095238  7.61904762],0
a5,1,0.79869,0.065047,[55 49] ; [12 12],[54.4375 49.5625] ; [12.5625 11.4375],0
p6,1,0.809839,0.057904,[11 91] ; [ 3 21],[11.33333333 90.66666667] ; [ 2.66666667 21.33333333],0
a2,1,0.853759,0.033976,[19 85] ; [ 4 20],[18.6875 85.3125] ; [ 4.3125 19.6875],0
d3,1,0.865069,0.028874,[50 54] ; [12 12],[50.375 53.625] ; [11.625 12.375],0
a7,1,0.895788,0.017157,[58 44] ; [14 10],[58.28571429 43.71428571] ; [13.71428571 10.28571429],0
u2,1,0.897928,0.016456,[20 24] ; [3 4],[19.84313725 24.15686275] ; [3.15686275 3.84313725],0
a1,1,0.915997,0.011126,[ 8 96] ; [ 2 22],[ 8.125 95.875] ; [ 1.875 22.125],0
n4,1,0.951883,0.003641,[68 35] ; [16  8],[68.12598425 34.87401575] ; [15.87401575  8.12598425],0
v1,1,0.976094,0.000898,[35 69] ; [ 8 16],[34.9375 69.0625] ; [ 8.0625 15.9375],0
u1,1,1.0,0.0,[13 91] ; [ 3 21],[13. 91.] ; [ 3. 21.],0
