Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.5e-05,18.72,[13 36] ; [26  9],[22.75 26.25] ; [16.25 18.75],1
s6,1,0.340993,0.906694,[20 28] ; [11 24],[17.92771084 30.07228916] ; [13.07228916 21.92771084],0
n3,1,0.389412,0.740779,[14  7] ; [9 8],[12.71052632  8.28947368] ; [10.28947368  6.71052632],0
p6,1,0.401584,0.703579,[ 9 38] ; [ 4 29],[ 7.6375 39.3625] ; [ 5.3625 27.6375],0
s2,1,0.433944,0.612245,[18 31] ; [10 25],[16.33333333 32.66666667] ; [11.66666667 23.33333333],0
b4,1,0.480284,0.498217,[29 20] ; [18 17],[27.41666667 21.58333333] ; [19.58333333 15.41666667],0
p7,1,0.49542,0.464733,[14 34] ; [12 21],[15.40740741 32.59259259] ; [10.59259259 22.40740741],0
d2,1,0.520666,0.412573,[21 28] ; [17 17],[22.43373494 26.56626506] ; [15.56626506 18.43373494],0
a4,1,0.524809,0.404431,[19 30] ; [16 19],[20.41666667 28.58333333] ; [14.58333333 20.41666667],0
s8,1,0.527089,0.4,[ 8 41] ; [ 4 31],[ 7. 42.] ; [ 5. 30.],0
b1,1,0.527684,0.39885,[26 23] ; [21 14],[27.41666667 21.58333333] ; [19.58333333 15.41666667],0
s7,1,0.556366,0.346036,[ 9 33] ; [ 9 24],[10.08 31.92] ; [ 7.92 25.08],0
s3,1,0.647755,0.208742,[23 25] ; [15 20],[21.97590361 26.02409639] ; [16.02409639 18.97590361],0
u1,1,0.667436,0.184615,[ 3 46] ; [ 3 32],[ 3.5 45.5] ; [ 2.5 32.5],0
r2,1,0.673828,0.177157,[38 10] ; [29  6],[38.74698795  9.25301205] ; [28.25301205  6.74698795],0
a5,1,0.71098,0.1373,[26 23] ; [20 15],[26.83333333 22.16666667] ; [19.16666667 15.83333333],0
s5,1,0.717935,0.13048,[ 9 34] ; [ 6 28],[ 8.37662338 34.62337662] ; [ 6.62337662 27.37662338],0
v3,1,0.719152,0.129306,[12 31] ; [ 8 25],[11.31578947 31.68421053] ; [ 8.68421053 24.31578947],0
n2,1,0.726308,0.122529,[11 11] ; [10  8],[11.55 10.45] ; [9.45 8.55],0
b2,1,0.761554,0.092076,[ 8 18] ; [ 7 13],[ 8.47826087 17.52173913] ; [ 6.52173913 13.47826087],0
b3,1,0.761554,0.092076,[ 8 18] ; [ 7 13],[ 8.47826087 17.52173913] ; [ 6.52173913 13.47826087],0
p1,1,0.801573,0.063158,[ 5 44] ; [ 3 32],[ 4.66666667 44.33333333] ; [ 3.33333333 31.66666667],0
b5,1,0.824848,0.04898,[25 24] ; [17 18],[24.5 24.5] ; [17.5 17.5],0
p2,1,0.84263,0.039414,[23 25] ; [16 19],[22.55421687 25.44578313] ; [16.44578313 18.55421687],0
p9,1,0.934835,0.006685,[21 26] ; [14 18],[20.82278481 26.17721519] ; [14.17721519 17.82278481],0
v1,1,0.969057,0.001505,[17 32] ; [12 23],[16.91666667 32.08333333] ; [12.08333333 22.91666667],0
