Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.4e-05,17.877257,[29  7] ; [ 3 13],[22.15384615 13.84615385] ; [9.84615385 6.15384615],1
s7,1,0.210075,1.570909,[ 7 26] ; [ 1 14],[ 5.5 27.5] ; [ 2.5 12.5],0
s8,1,0.223559,1.481376,[ 7 29] ; [ 1 15],[ 5.53846154 30.46153846] ; [ 2.46153846 13.53846154],0
r2,1,0.231277,1.432988,[21 13] ; [7 9],[19.04 14.96] ; [8.96 7.04],0
s2,1,0.234656,1.412417,[ 6 30] ; [ 5 11],[ 7.61538462 28.38461538] ; [ 3.38461538 12.61538462],0
n2,1,0.264589,1.244589,[6 6] ; [3 8],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
n6,1,0.265855,1.238011,[19 16] ; [ 6 10],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
s4,1,0.277858,1.177536,[ 3 33] ; [ 3 13],[ 4.15384615 31.84615385] ; [ 1.84615385 14.15384615],0
v3,1,0.294211,1.100249,[ 6 29] ; [ 1 15],[ 4.80392157 30.19607843] ; [ 2.19607843 13.80392157],0
s1,1,0.385744,0.752315,[ 2 34] ; [ 2 14],[ 2.76923077 33.23076923] ; [ 1.23076923 14.76923077],0
a7,1,0.403986,0.696429,[18 18] ; [ 6 10],[16.61538462 19.38461538] ; [7.38461538 8.61538462],0
p6,1,0.42345,0.640721,[ 4 31] ; [ 3 12],[ 4.9 30.1] ; [ 2.1 12.9],0
p8,1,0.440401,0.595238,[ 8 27] ; [ 2 13],[ 7. 28.] ; [ 3. 12.],0
b2,1,0.457459,0.552105,[11 12] ; [3 6],[10.0625 12.9375] ; [3.9375 5.0625],0
b3,1,0.457459,0.552105,[11 12] ; [3 6],[10.0625 12.9375] ; [3.9375 5.0625],0
s6,1,0.507246,0.439745,[12 23] ; [ 4 12],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
p12,1,0.562451,0.335477,[ 1 34] ; [ 1 15],[ 1.37254902 33.62745098] ; [ 0.62745098 15.37254902],0
s3,1,0.582601,0.302049,[16 19] ; [ 6 10],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
p3,1,0.621511,0.24375,[ 9 27] ; [ 3 13],[ 8.30769231 27.69230769] ; [ 3.69230769 12.30769231],0
a8,1,0.643293,0.214461,[ 6 28] ; [ 2 14],[ 5.44 28.56] ; [ 2.56 13.44],0
n3,1,0.664558,0.188034,[5 6] ; [4 7],[4.5 6.5] ; [4.5 6.5],0
b1,1,0.677166,0.173333,[18 18] ; [9 7],[18.69230769 17.30769231] ; [8.30769231 7.69230769],0
p4,1,0.683181,0.166567,[11 25] ; [ 4 12],[10.38461538 25.61538462] ; [ 4.61538462 11.38461538],0
p7,1,0.683181,0.166567,[11 25] ; [ 4 12],[10.38461538 25.61538462] ; [ 4.61538462 11.38461538],0
u3,1,0.691545,0.157418,[ 2 12] ; [ 1 10],[ 1.68 12.32] ; [1.32 9.68],0
n4,1,0.733801,0.11565,[23 13] ; [11  5],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
b5,1,0.816684,0.053737,[17 19] ; [7 9],[16.61538462 19.38461538] ; [7.38461538 8.61538462],0
p2,1,0.823629,0.049675,[12 23] ; [ 6 10],[12.35294118 22.64705882] ; [ 5.64705882 10.35294118],0
n1,1,0.827435,0.047521,[6 6] ; [5 6],[5.73913043 6.26086957] ; [5.26086957 5.73913043],0
p1,1,0.892269,0.018342,[ 5 31] ; [ 2 14],[ 4.84615385 31.15384615] ; [ 2.15384615 13.84615385],0
a2,1,0.921037,0.009826,[ 2 34] ; [ 1 15],[ 2.07692308 33.92307692] ; [ 0.92307692 15.07692308],0
a6,1,0.962883,0.002166,[16 20] ; [7 9],[15.92307692 20.07692308] ; [7.07692308 8.92307692],0
