Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.4e-05,18.868181,[159   9] ; [97 28],[146.78498294  21.21501706] ; [109.21501706  15.78498294],1
d1,1,0.26614,1.236532,[114  54] ; [77 48],[109.51535836  58.48464164] ; [81.48464164 43.51535836],0
v4,1,0.267833,1.227812,[162   4] ; [119   6],[160.29553265   5.70446735] ; [120.70446735   4.29553265],0
d4,1,0.295487,1.09445,[145  22] ; [103  22],[141.83561644  25.16438356] ; [106.16438356  18.83561644],0
s3,1,0.308217,1.0383,[103  63] ; [69 54],[98.79584775 67.20415225] ; [73.20415225 49.79584775],0
a6,1,0.312473,1.020194,[111  56] ; [90 35],[114.95547945  52.04452055] ; [86.04452055 38.95547945],0
a7,1,0.319566,0.990722,[125  42] ; [87 38],[121.24657534  45.75342466] ; [90.75342466 34.24657534],0
d3,1,0.346592,0.885895,[124  44] ; [86 39],[120.40955631  47.59044369] ; [89.59044369 35.40955631],0
a2,1,0.417324,0.657839,[ 46 122] ; [29 96],[ 43.00341297 124.99658703] ; [31.99658703 93.00341297],0
n1,1,0.436275,0.606061,[10 12] ; [ 6 12],[ 8.8 13.2] ; [ 7.2 10.8],0
p10,1,0.437452,0.602957,[154  13] ; [112  13],[152.13013699  14.86986301] ; [113.86986301  11.13013699],0
s1,1,0.4455,0.582076,[  5 163] ; [  2 123],[  4.01365188 163.98634812] ; [  2.98634812 122.01365188],0
a8,1,0.475246,0.509752,[ 23 128] ; [ 14 101],[ 21.0037594 129.9962406] ; [15.9962406 99.0037594],0
d2,1,0.523079,0.407817,[91 77] ; [63 62],[88.3003413 79.6996587] ; [65.6996587 59.3003413],0
b4,1,0.615796,0.25182,[99 69] ; [70 55],[96.90102389 71.09897611] ; [72.09897611 52.90102389],0
v2,1,0.63021,0.231776,[101  65] ; [77 44],[102.95470383  63.04529617] ; [75.04529617 45.95470383],0
b5,1,0.65748,0.196599,[87 81] ; [68 57],[88.87372014 79.12627986] ; [66.12627986 58.87372014],0
u3,1,0.714688,0.13364,[24 15] ; [23 17],[23.20253165 15.79746835] ; [23.79746835 16.20253165],0
a5,1,0.738963,0.11104,[137  31] ; [100  25],[135.89078498  32.10921502] ; [101.10921502  23.89078498],0
r4,1,0.803071,0.062188,[156  12] ; [117   8],[156.53242321  11.46757679] ; [116.46757679   8.53242321],0
r1,1,0.809407,0.058173,[142  25] ; [105  20],[141.26369863  25.73630137] ; [105.73630137  19.26369863],0
d5,1,0.819119,0.052294,[138  29] ; [102  23],[137.26027397  29.73972603] ; [102.73972603  22.26027397],0
n3,1,0.896764,0.016835,[13  9] ; [11  7],[13.2  8.8] ; [10.8  7.2],0
v3,1,0.910743,0.012567,[77 87] ; [56 65],[76.53333333 87.46666667] ; [56.46666667 64.53333333],0
p11,1,0.940695,0.005535,[146  22] ; [109  16],[146.2116041  21.7883959] ; [108.7883959  16.2116041],0
r2,1,0.975575,0.000937,[156   8] ; [119   6],[156.05536332   7.94463668] ; [118.94463668   6.05536332],0
