Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.46118,[47 66] ; [ 24 133],[29.71481481 83.28518519] ; [ 41.28518519 115.71481481],1
b4,1,0.537061,0.381015,[72 44] ; [94 67],[69.51624549 46.48375451] ; [96.48375451 64.51624549],0
b2,1,0.628745,0.233766,[20 36] ; [28 60],[18.66666667 37.33333333] ; [29.33333333 58.66666667],0
b3,1,0.628745,0.233766,[20 36] ; [28 60],[18.66666667 37.33333333] ; [29.33333333 58.66666667],0
p6,1,0.719612,0.128864,[16 97] ; [ 20 138],[15.01107011 97.98892989] ; [ 20.98892989 137.01107011],0
n4,1,0.727642,0.121287,[73 43] ; [98 63],[71.6101083 44.3898917] ; [99.3898917 61.6101083],0
s3,1,0.751023,0.100674,[44 70] ; [ 58 100],[42.75 71.25] ; [59.25 98.75],0
u3,1,0.756115,0.096464,[14 22] ; [29 40],[14.74285714 21.25714286] ; [28.25714286 40.74285714],0
b5,1,0.765714,0.088796,[70 46] ; [100  61],[71.19133574 44.80866426] ; [98.80866426 62.19133574],0
d2,1,0.908192,0.013298,[43 72] ; [ 58 100],[42.54578755 72.45421245] ; [58.45421245 99.54578755],0
a8,1,0.927366,0.00831,[12 94] ; [ 18 136],[12.23076923 93.76923077] ; [ 17.76923077 136.23076923],0
u2,1,0.938028,0.006045,[15 19] ; [31 38],[15.18446602 18.81553398] ; [30.81553398 38.18446602],0
s4,1,0.980561,0.000594,[18 98] ; [ 25 135],[18.07246377 97.92753623] ; [ 24.92753623 135.07246377],0
