Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,36.225,[56 14] ; [ 59 101],[35. 35.] ; [80. 80.],1
p5,1,0.510805,0.432417,[ 6 65] ; [ 10 154],[ 4.83404255 66.16595745] ; [ 11.16595745 152.83404255],0
p11,1,0.643134,0.214667,[54 17] ; [120  44],[52.57021277 18.42978723] ; [121.42978723  42.57021277],0
u3,1,0.656888,0.197326,[12 10] ; [36 24],[12.87804878  9.12195122] ; [35.12195122 24.87804878],0
p1,1,0.690455,0.158593,[ 5 66] ; [ 14 149],[ 5.76495726 65.23504274] ; [ 13.23504274 149.76495726],0
n6,1,0.700671,0.147775,[59 12] ; [132  31],[57.95299145 13.04700855] ; [133.04700855  29.95299145],0
u2,1,0.715222,0.133117,[12 10] ; [30 30],[11.26829268 10.73170732] ; [30.73170732 29.26829268],0
b1,1,0.733556,0.115872,[25 46] ; [ 54 110],[23.86808511 47.13191489] ; [ 55.13191489 108.86808511],0
s5,1,0.746127,0.104814,[17 49] ; [ 37 119],[16.05405405 49.94594595] ; [ 37.94594595 118.05405405],0
p6,1,0.747659,0.103509,[11 58] ; [ 29 135],[11.84549356 57.15450644] ; [ 28.15450644 135.84549356],0
p9,1,0.747659,0.103509,[58 11] ; [135  29],[57.15450644 11.84549356] ; [135.84549356  28.15450644],0
n2,1,0.781637,0.076832,[12  4] ; [35 14],[11.56923077  4.43076923] ; [35.43076923 13.56923077],0
a8,1,0.864616,0.029071,[ 7 52] ; [ 17 137],[ 6.64788732 52.35211268] ; [ 17.35211268 136.64788732],0
p3,1,0.985506,0.00033,[23 48] ; [ 53 110],[23.05982906 47.94017094] ; [ 52.94017094 110.05982906],0
