Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.5e-05,18.75794,[ 65 105] ; [28  8],[76.74757282 93.25242718] ; [16.25242718 19.74757282],1
u2,1,0.298256,1.081975,[32 37] ; [4 9],[30.29268293 38.70731707] ; [5.70731707 7.29268293],0
p7,1,0.309375,1.033343,[ 66 102] ; [17 18],[68.68965517 99.31034483] ; [14.31034483 20.68965517],0
a4,1,0.343392,0.897727,[ 65 103] ; [17 19],[ 67.52941176 100.47058824] ; [14.47058824 21.52941176],0
v4,1,0.379316,0.772916,[134  34] ; [31  5],[135.88235294  32.11764706] ; [29.11764706  6.88235294],0
r1,1,0.398172,0.713841,[109  59] ; [26 10],[111.17647059  56.82352941] ; [23.82352941 12.17647059],0
a6,1,0.401264,0.704534,[102  67] ; [19 17],[99.75121951 69.24878049] ; [21.24878049 14.75121951],0
a7,1,0.424767,0.637089,[104  65] ; [19 16],[101.89705882  67.10294118] ; [21.10294118 13.89705882],0
a5,1,0.450304,0.569887,[97 73] ; [23 13],[99.02912621 70.97087379] ; [20.97087379 15.02912621],0
r4,1,0.462973,0.538698,[117  53] ; [27  9],[118.83495146  51.16504854] ; [25.16504854 10.83495146],0
v3,1,0.468965,0.524415,[ 41 120] ; [11 24],[ 42.71428571 118.28571429] ; [ 9.28571429 25.71428571],0
n1,1,0.47486,0.510645,[25 45] ; [6 7],[26.14457831 43.85542169] ; [4.85542169 8.14457831],0
d3,1,0.522483,0.40899,[99 70] ; [19 17],[97.27804878 71.72195122] ; [20.72195122 15.27804878],0
u1,1,0.553502,0.351081,[ 22 148] ; [ 6 30],[ 23.10679612 146.89320388] ; [ 4.89320388 31.10679612],0
b2,1,0.558448,0.342398,[34 68] ; [ 8 21],[32.70229008 69.29770992] ; [ 9.29770992 19.70229008],0
b3,1,0.558448,0.342398,[34 68] ; [ 8 21],[32.70229008 69.29770992] ; [ 9.29770992 19.70229008],0
d1,1,0.562363,0.335629,[76 94] ; [18 18],[77.57281553 92.42718447] ; [16.42718447 19.57281553],0
n3,1,0.609521,0.260873,[42 26] ; [9 4],[42.81481481 25.18518519] ; [8.18518519 4.81481481],0
b1,1,0.632842,0.228227,[83 87] ; [16 20],[81.69902913 88.30097087] ; [17.30097087 18.69902913],0
a2,1,0.63956,0.219318,[ 32 138] ; [ 8 28],[ 33.00970874 136.99029126] ; [ 6.99029126 29.00970874],0
u3,1,0.659478,0.194158,[35 36] ; [6 8],[34.24705882 36.75294118] ; [6.75294118 7.24705882],0
a3,1,0.666545,0.185671,[99 69] ; [22 13],[100.13793103  67.86206897] ; [20.86206897 14.13793103],0
p12,1,0.692919,0.155944,[  3 166] ; [ 1 35],[  3.29756098 165.70243902] ; [ 0.70243902 35.29756098],0
a1,1,0.744757,0.105989,[ 12 158] ; [ 2 34],[ 11.55339806 158.44660194] ; [ 2.44660194 33.55339806],0
p8,1,0.747013,0.104058,[ 48 121] ; [ 9 26],[ 47.22058824 121.77941176] ; [ 9.77941176 25.22058824],0
b5,1,0.761087,0.092449,[104  66] ; [23 13],[104.80582524  65.19417476] ; [22.19417476 13.80582524],0
n5,1,0.861009,0.030657,[89 80] ; [19 16],[89.47058824 79.52941176] ; [18.52941176 16.47058824],0
n4,1,0.86496,0.028922,[104  65] ; [21 14],[103.55392157  65.44607843] ; [21.44607843 13.55392157],0
v1,1,0.872711,0.025669,[ 60 108] ; [13 22],[ 60.4137931 107.5862069] ; [12.5862069 22.4137931],0
s1,1,0.96185,0.002288,[  9 159] ; [ 2 34],[  9.05882353 158.94117647] ; [ 1.94117647 34.05882353],0
