Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,103.887696,[104 129] ; [501 123],[164.4865811  68.5134189] ; [440.5134189 183.4865811],1
u4,1,0.029091,4.762243,[  1 234] ; [ 18 607],[  5.19186047 229.80813953] ; [ 13.80813953 611.19186047],0
a7,1,0.048359,3.897456,[158  75] ; [466 159],[169.45454545  63.54545455] ; [454.54545455 170.45454545],0
p2,1,0.050516,3.824236,[185  49] ; [525  95],[194.54332553  39.45667447] ; [515.45667447 104.54332553],0
s2,1,0.051718,3.784868,[107 126] ; [330 288],[119.64864865 113.35135135] ; [317.35135135 300.64864865],0
n6,1,0.052366,3.764044,[187  46] ; [533  89],[196.21052632  36.78947368] ; [523.78947368  98.21052632],0
a1,1,0.073221,3.209286,[  6 229] ; [ 34 591],[ 10.93023256 224.06976744] ; [ 29.06976744 595.93023256],0
p11,1,0.07707,3.125633,[177  58] ; [505 120],[186.36046512  48.63953488] ; [495.63953488 129.36046512],0
u3,1,0.167016,1.909525,[72 58] ; [78 44],[77.38095238 52.61904762] ; [72.61904762 49.38095238],0
p7,1,0.204986,1.606486,[138  89] ; [399 210],[145.81220096  81.18779904] ; [391.18779904 217.81220096],0
p6,1,0.261891,1.258734,[ 76 152] ; [230 383],[ 82.95838288 145.04161712] ; [223.04161712 389.95838288],0
s1,1,0.309761,1.031693,[ 10 221] ; [ 18 597],[  7.64539007 223.35460993] ; [ 20.35460993 594.64539007],0
s4,1,0.31566,1.006846,[ 44 188] ; [ 99 517],[ 39.12264151 192.87735849] ; [103.87735849 512.12264151],0
b1,1,0.343735,0.896452,[ 82 153] ; [240 385],[ 87.98837209 147.01162791] ; [234.01162791 390.98837209],0
a8,1,0.478189,0.502992,[ 27 193] ; [ 80 483],[ 30.06385696 189.93614304] ; [ 76.93614304 486.06385696],0
n3,1,0.551244,0.355093,[41 17] ; [101  34],[42.67357513 15.32642487] ; [99.32642487 35.67357513],0
b5,1,0.598557,0.277178,[146  89] ; [376 249],[142.63953488  92.36046512] ; [379.36046512 245.63953488],0
n1,1,0.657112,0.197051,[22 36] ; [46 87],[20.64921466 37.35078534] ; [47.35078534 85.64921466],0
p5,1,0.689604,0.159514,[ 24 208] ; [ 70 549],[ 25.62632197 206.37367803] ; [ 68.37367803 550.62632197],0
n2,1,0.743208,0.107327,[42 15] ; [104  33],[42.89690722 14.10309278] ; [103.10309278  33.89690722],0
p1,1,0.89953,0.01594,[ 19 215] ; [ 52 568],[ 19.45433255 214.54566745] ; [ 51.54566745 568.45433255],0
b4,1,0.908989,0.013068,[136  99] ; [359 266],[135.26162791  99.73837209] ; [359.73837209 265.26162791],0
s3,1,0.957134,0.002889,[130 102] ; [347 270],[130.34628975 101.65371025] ; [346.65371025 270.34628975],0
u2,1,0.984598,0.000373,[73 55] ; [70 53],[72.92430279 55.07569721] ; [70.07569721 52.92430279],0
