Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,31.022425,[211 101] ; [100 129],[179.35674677 132.64325323] ; [131.64325323  97.35674677],1
n2,1,0.062918,3.458736,[53  9] ; [49 19],[48.64615385 13.35384615] ; [53.35384615 14.64615385],0
a3,1,0.064237,3.424474,[247  75] ; [166  72],[237.475  84.525] ; [175.525  62.475],0
p4,1,0.085201,2.962789,[217 105] ; [143  94],[207.37030411 114.62969589] ; [152.62969589  84.37030411],0
p11,1,0.090481,2.865803,[257  67] ; [175  64],[248.61101243  75.38898757] ; [183.38898757  55.61101243],0
p1,1,0.09468,2.792946,[ 35 287] ; [ 16 221],[ 29.37745975 292.62254025] ; [ 21.62254025 215.37745975],0
a8,1,0.096664,2.759739,[ 48 243] ; [ 25 196],[ 41.49023438 249.50976562] ; [ 31.50976562 189.49023438],0
p7,1,0.097503,2.745912,[214  96] ; [145  88],[204.95395948 105.04604052] ; [154.04604052  78.95395948],0
n1,1,0.103743,2.647033,[31 31] ; [24 43],[26.43410853 35.56589147] ; [28.56589147 38.43410853],0
a2,1,0.118946,2.431148,[ 95 229] ; [ 56 183],[ 86.89875666 237.10124334] ; [ 64.10124334 174.89875666],0
d5,1,0.136929,2.212132,[275  47] ; [192  46],[268.525  53.475] ; [198.475  39.525],0
s7,1,0.152484,2.047223,[200 111] ; [134  96],[192.00369686 118.99630314] ; [141.99630314  88.00369686],0
n6,1,0.171669,1.868307,[284  37] ; [202  37],[278.58214286  42.41785714] ; [207.41785714  31.58214286],0
p2,1,0.217242,1.522496,[275  47] ; [194  44],[269.675  52.325] ; [199.325  38.675],0
s5,1,0.248366,1.332473,[149 167] ; [ 97 133],[142.37362637 173.62637363] ; [103.62637363 126.37362637],0
r1,1,0.24933,1.327056,[280  43] ; [198  40],[275.21212121  47.78787879] ; [202.78787879  35.21212121],0
s1,1,0.255021,1.295586,[ 10 307] ; [ 12 225],[ 12.58844765 304.41155235] ; [  9.41155235 227.58844765],0
s2,1,0.280785,1.163286,[219 102] ; [152  86],[213.04293381 107.95706619] ; [157.95706619  80.04293381],0
u1,1,0.303555,1.05851,[ 74 250] ; [ 46 193],[ 69.05861456 254.94138544] ; [ 50.94138544 188.05861456],0
r4,1,0.311126,1.025891,[311  13] ; [225  14],[308.46181172  15.53818828] ; [227.53818828  11.46181172],0
b4,1,0.327116,0.96028,[203 121] ; [140  99],[197.39253996 126.60746004] ; [145.60746004  93.39253996],0
p12,1,0.340303,0.90929,[ 35 287] ; [ 20 217],[ 31.68157424 290.31842576] ; [ 23.31842576 213.68157424],0
d2,1,0.340521,0.90847,[166 156] ; [113 125],[160.425 161.575] ; [118.575 119.425],0
u3,1,0.468844,0.5247,[50 27] ; [42 29],[47.86486486 29.13513514] ; [44.13513514 26.86486486],0
u2,1,0.474959,0.510417,[45 30] ; [39 33],[42.85714286 32.14285714] ; [41.14285714 30.85714286],0
s3,1,0.590019,0.290314,[221  97] ; [169  67],[223.86281588  94.13718412] ; [166.13718412  69.86281588],0
a6,1,0.616407,0.25095,[215 107] ; [163  74],[217.73881932 104.26118068] ; [160.26118068  76.73881932],0
a1,1,0.664601,0.187983,[ 19 305] ; [ 12 227],[ 17.8401421 306.1598579] ; [ 13.1598579 225.8401421],0
d3,1,0.665195,0.187274,[233  90] ; [167  70],[230.71428571  92.28571429] ; [169.28571429  67.71428571],0
b1,1,0.801388,0.063278,[120 204] ; [ 91 148],[121.42806394 202.57193606] ; [ 89.57193606 149.42806394],0
n3,1,0.844243,0.0386,[43 18] ; [49 19],[43.50387597 17.49612403] ; [48.49612403 19.50387597],0
r3,1,0.86008,0.031072,[313  10] ; [230   8],[312.63636364  10.36363636] ; [230.36363636   7.63636364],0
a7,1,0.967202,0.001691,[238  85] ; [175  63],[237.78787879  85.21212121] ; [175.21212121  62.78787879],0
