Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,36.225,[ 14 101] ; [56 59],[35. 80.] ; [35. 80.],1
d3,1,0.250889,1.318349,[73 44] ; [82 36],[77.17021277 39.82978723] ; [77.82978723 40.17021277],0
p5,1,0.292099,1.10992,[ 10 107] ; [  6 112],[  7.96595745 109.03404255] ; [  8.03404255 109.96595745],0
s7,1,0.324953,0.968908,[41 72] ; [47 63],[44.59192825 68.40807175] ; [43.40807175 66.59192825],0
s2,1,0.359226,0.840596,[51 65] ; [57 57],[54.46956522 61.53043478] ; [53.53043478 60.46956522],0
n6,1,0.371758,0.797779,[91 25] ; [98 20],[93.69230769 22.30769231] ; [95.30769231 22.69230769],0
p6,1,0.373201,0.792979,[18 99] ; [23 93],[20.58798283 96.41201717] ; [20.41201717 95.58798283],0
a6,1,0.382738,0.761888,[74 43] ; [81 37],[77.17021277 39.82978723] ; [77.82978723 40.17021277],0
p1,1,0.449104,0.572911,[ 11 105] ; [  8 110],[  9.41880342 106.58119658] ; [  9.58119658 108.41880342],0
v4,1,0.47214,0.516964,[109   7] ; [108  10],[107.57264957   8.42735043] ; [109.42735043   8.57264957],0
u2,1,0.487108,0.482908,[22 24] ; [20 16],[23.56097561 22.43902439] ; [18.43902439 17.56097561],0
a2,1,0.506204,0.441907,[18 99] ; [22 96],[19.91489362 97.08510638] ; [20.08510638 97.91489362],0
p10,1,0.549273,0.358621,[85 32] ; [89 28],[87. 30.] ; [87. 30.],0
u4,1,0.566199,0.329084,[  1 116] ; [  2 116],[  1.49361702 115.50638298] ; [  1.50638298 116.49361702],0
a1,1,0.566199,0.329084,[  1 116] ; [  2 116],[  1.49361702 115.50638298] ; [  1.50638298 116.49361702],0
n1,1,0.567188,0.327411,[12 25] ; [11 17],[13.09230769 23.90769231] ; [ 9.90769231 18.09230769],0
u1,1,0.591325,0.288279,[ 15 102] ; [ 18 100],[ 16.42978723 100.57021277] ; [ 16.57021277 101.42978723],0
p8,1,0.597029,0.279499,[33 83] ; [37 80],[34.84978541 81.15021459] ; [35.15021459 81.84978541],0
p3,1,0.64389,0.213691,[37 79] ; [41 77],[38.66666667 77.33333333] ; [39.33333333 78.66666667],0
s3,1,0.795393,0.067243,[61 56] ; [58 57],[60.01293103 56.98706897] ; [58.98706897 56.01293103],0
u3,1,0.816213,0.054018,[28 18] ; [21 15],[27.48780488 18.51219512] ; [21.51219512 14.48780488],0
b4,1,0.853141,0.034267,[73 44] ; [75 43],[73.68510638 43.31489362] ; [74.31489362 43.68510638],0
a8,1,0.919921,0.010107,[12 96] ; [11 92],[11.77251185 96.22748815] ; [11.22748815 91.77251185],0
b5,1,0.926962,0.008403,[78 39] ; [78 40],[77.66808511 39.33191489] ; [78.33191489 39.66808511],0
a4,1,0.956001,0.003044,[49 68] ; [49 69],[48.79148936 68.20851064] ; [49.20851064 68.79148936],0
s5,1,0.998882,2e-06,[28 85] ; [27 82],[27.9954955 85.0045045] ; [27.0045045 81.9954955],0
n5,1,1.0,0.0,[82 35] ; [82 35],[82. 35.] ; [82. 35.],0
