Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.590668,[15 17] ; [85 13],[24.61538462  7.38461538] ; [75.38461538 22.61538462],1
n1,1,0.586682,0.295556,[6 4] ; [14 14],[5.26315789 4.73684211] ; [14.73684211 13.26315789],0
b4,1,0.648113,0.208288,[17 15] ; [48 51],[15.8778626 16.1221374] ; [49.1221374 49.8778626],0
b1,1,0.648113,0.208288,[17 15] ; [48 51],[15.8778626 16.1221374] ; [49.1221374 49.8778626],0
r1,1,0.663955,0.188755,[22 10] ; [72 27],[22.96183206  9.03816794] ; [71.03816794 27.96183206],0
r2,1,0.716032,0.132326,[28  4] ; [88 10],[28.55384615  3.44615385] ; [87.44615385 10.55384615],0
s6,1,0.719513,0.128959,[26  5] ; [83 13],[26.60629921  4.39370079] ; [82.39370079 13.60629921],0
p12,1,0.766416,0.088248,[ 2 29] ; [ 8 91],[ 2.38461538 28.61538462] ; [ 7.61538462 91.38461538],0
n3,1,0.772484,0.083595,[7 4] ; [17 12],[6.6 4.4] ; [17.4 11.6],0
u4,1,0.814249,0.0552,[ 1 31] ; [ 4 95],[ 1.22137405 30.77862595] ; [ 3.77862595 95.22137405],0
n2,1,0.883708,0.021395,[8 3] ; [21  7],[8.17948718 2.82051282] ; [20.82051282  7.17948718],0
v2,1,0.900138,0.015747,[16 14] ; [53 44],[16.2992126 13.7007874] ; [52.7007874 44.2992126],0
a1,1,0.904947,0.01426,[ 3 29] ; [10 89],[ 3.17557252 28.82442748] ; [ 9.82442748 89.17557252],0
a6,1,0.919699,0.010163,[11 21] ; [35 64],[11.23664122 20.76335878] ; [34.76335878 64.23664122],0
r4,1,0.942419,0.005217,[26  6] ; [81 18],[26.13740458  5.86259542] ; [80.86259542 18.13740458],0
u2,1,0.977797,0.000775,[5 4] ; [11  9],[4.96551724 4.03448276] ; [11.03448276  8.96551724],0
