Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.004006,8.281143,[16 12] ; [21 57],[ 9.77358491 18.22641509] ; [27.22641509 50.77358491],0
p11,1,0.342862,0.899699,[15 13] ; [35 46],[12.8440367 15.1559633] ; [37.1559633 43.8440367],0
a7,1,0.371093,0.8,[17 10] ; [43 38],[15. 12.] ; [45. 36.],0
b2,1,0.408961,0.681818,[ 4 12] ; [16 28],[ 5.33333333 10.66666667] ; [14.66666667 29.33333333],0
b3,1,0.408961,0.681818,[ 4 12] ; [16 28],[ 5.33333333 10.66666667] ; [14.66666667 29.33333333],0
b5,1,0.420058,0.650153,[18 10] ; [45 36],[16.18348624 11.81651376] ; [46.81651376 34.18348624],0
n1,1,0.454785,0.558699,[4 4] ; [14 25],[3.06382979 4.93617021] ; [14.93617021 24.06382979],0
d3,1,0.471042,0.519531,[15 13] ; [37 44],[13.35779817 14.64220183] ; [38.64220183 42.35779817],0
a5,1,0.478804,0.501585,[16 12] ; [40 41],[14.3853211 13.6146789] ; [41.6146789 39.3853211],0
p6,1,0.543042,0.369931,[ 3 25] ; [12 66],[ 3.96226415 24.03773585] ; [11.03773585 66.96226415],0
p2,1,0.556899,0.345103,[11 17] ; [37 44],[12.33027523 15.66972477] ; [35.66972477 45.33027523],0
b4,1,0.561893,0.336437,[19  9] ; [50 31],[17.72477064 10.27522936] ; [51.27522936 29.72477064],0
a8,1,0.571784,0.319707,[ 3 23] ; [ 6 70],[ 2.29411765 23.70588235] ; [ 6.70588235 69.29411765],0
p1,1,0.594343,0.283613,[ 1 27] ; [ 5 75],[ 1.55555556 26.44444444] ; [ 4.44444444 75.55555556],0
a2,1,0.610796,0.259018,[ 4 24] ; [15 66],[ 4.88073394 23.11926606] ; [14.11926606 66.88073394],0
d5,1,0.641409,0.216904,[19  9] ; [51 30],[17.98165138 10.01834862] ; [52.01834862 28.98165138],0
p7,1,0.645388,0.211765,[ 9 18] ; [31 50],[10. 17.] ; [30. 51.],0
s4,1,0.680637,0.169409,[ 3 25] ; [11 69],[ 3.62962963 24.37037037] ; [10.37037037 69.62962963],0
s3,1,0.684484,0.165122,[11 17] ; [28 52],[10.11111111 17.88888889] ; [28.88888889 51.11111111],0
d2,1,0.69852,0.150016,[12 15] ; [39 41],[12.86915888 14.13084112] ; [38.13084112 41.86915888],0
b1,1,0.710386,0.137891,[16 12] ; [43 38],[15.1559633 12.8440367] ; [43.8440367 37.1559633],0
a6,1,0.803216,0.062094,[17 11] ; [47 34],[16.44036697 11.55963303] ; [47.55963303 33.44036697],0
d1,1,0.803216,0.062094,[11 17] ; [34 47],[11.55963303 16.44036697] ; [33.44036697 47.55963303],0
s5,1,0.859985,0.031114,[ 4 23] ; [13 67],[ 4.28971963 22.71028037] ; [12.71028037 67.28971963],0
a4,1,0.960085,0.002505,[11 17] ; [31 49],[10.88888889 17.11111111] ; [31.11111111 48.88888889],0
a1,1,0.963092,0.002141,[ 2 26] ; [ 6 75],[ 2.05504587 25.94495413] ; [ 5.94495413 75.05504587],0
r1,1,0.996563,1.9e-05,[19  9] ; [55 26],[19.00917431  8.99082569] ; [54.99082569 26.00917431],0
