Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9e-06,19.69496,[20  6] ; [ 5 24],[11.81818182 14.18181818] ; [13.18181818 15.81818182],1
b4,1,0.168173,1.899157,[19  7] ; [16 13],[16.54545455  9.45454545] ; [18.45454545 10.54545455],0
b3,1,0.173045,1.856361,[ 4 15] ; [ 9 13],[ 6.02439024 12.97560976] ; [ 6.97560976 15.02439024],0
b2,1,0.173045,1.856361,[ 4 15] ; [ 9 13],[ 6.02439024 12.97560976] ; [ 6.97560976 15.02439024],0
u3,1,0.192373,1.699346,[5 5] ; [ 4 12],[3.46153846 6.53846154] ; [ 5.53846154 10.46153846],0
s5,1,0.19618,1.670587,[ 7 18] ; [ 4 25],[ 5.09259259 19.90740741] ; [ 5.90740741 23.09259259],0
a3,1,0.199531,1.645807,[16  9] ; [13 15],[13.67924528 11.32075472] ; [15.32075472 12.67924528],0
d5,1,0.20149,1.63154,[17  9] ; [14 15],[14.65454545 11.34545455] ; [16.34545455 12.65454545],0
v2,1,0.202562,1.623803,[ 6 20] ; [ 3 26],[ 4.25454545 21.74545455] ; [ 4.74545455 24.25454545],0
d2,1,0.23823,1.391038,[ 8 18] ; [13 15],[10.11111111 15.88888889] ; [10.88888889 17.11111111],0
r1,1,0.249213,1.327709,[12 14] ; [ 9 20],[ 9.92727273 16.07272727] ; [11.07272727 17.92727273],0
s1,1,0.354152,0.858526,[ 1 25] ; [ 3 26],[ 1.89090909 24.10909091] ; [ 2.10909091 26.89090909],0
d1,1,0.385563,0.752889,[11 15] ; [ 9 20],[ 9.45454545 16.54545455] ; [10.54545455 18.45454545],0
s4,1,0.466502,0.530249,[ 5 21] ; [ 8 21],[ 6.14545455 19.85454545] ; [ 6.85454545 22.14545455],0
a4,1,0.580858,0.30485,[ 8 17] ; [11 17],[ 8.96226415 16.03773585] ; [10.03773585 17.96226415],0
a2,1,0.73263,0.116711,[ 2 24] ; [ 3 26],[ 2.36363636 23.63636364] ; [ 2.63636364 26.36363636],0
n4,1,0.759419,0.093786,[16 10] ; [19 10],[16.54545455  9.45454545] ; [18.45454545 10.54545455],0
n5,1,0.79526,0.067333,[18  8] ; [21  8],[18.43636364  7.56363636] ; [20.56363636  8.43636364],0
p1,1,0.802215,0.062741,[ 3 23] ; [ 4 25],[ 3.30909091 22.69090909] ; [ 3.69090909 25.30909091],0
a8,1,0.886974,0.020202,[ 1 22] ; [ 1 27],[ 0.90196078 22.09803922] ; [ 1.09803922 26.90196078],0
u2,1,0.898564,0.01625,[4 6] ; [ 6 10],[3.84615385 6.15384615] ; [6.15384615 9.84615385],0
a6,1,0.92144,0.009726,[12 14] ; [13 16],[11.81818182 14.18181818] ; [13.18181818 15.81818182],0
u1,1,0.937273,0.006193,[ 1 25] ; [ 1 28],[ 0.94545455 25.05454545] ; [ 1.05454545 27.94545455],0
b1,1,0.944442,0.004856,[15 11] ; [17 12],[15.12727273 10.87272727] ; [16.87272727 12.12727273],0
