Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.1e-05,17.329077,[75  7] ; [22 15],[66.84033613 15.15966387] ; [30.15966387  6.84033613],1
s7,1,0.692334,0.15657,[28 51] ; [13 20],[28.91964286 50.08035714] ; [12.08035714 20.91964286],0
p7,1,0.70514,0.143179,[50 26] ; [23 14],[49.09734513 26.90265487] ; [23.90265487 13.09734513],0
n1,1,0.722416,0.12619,[ 7 12] ; [4 9],[ 6.53125 12.46875] ; [4.46875 8.53125],0
s6,1,0.738068,0.111832,[50 29] ; [21 14],[49.20175439 29.79824561] ; [21.79824561 13.20175439],0
p9,1,0.758248,0.09473,[59 19] ; [27 10],[58.33043478 19.66956522] ; [27.66956522  9.33043478],0
s8,1,0.780053,0.077981,[31 51] ; [13 24],[30.31932773 51.68067227] ; [13.68067227 23.31932773],0
v1,1,0.784215,0.074983,[47 32] ; [23 14],[47.67241379 31.32758621] ; [22.32758621 14.67241379],0
p4,1,0.828462,0.046948,[38 41] ; [17 20],[37.45689655 41.54310345] ; [17.54310345 19.45689655],0
n3,1,0.891787,0.018508,[15  4] ; [10  3],[14.84375  4.15625] ; [10.15625  2.84375],0
d3,1,0.89577,0.017163,[52 30] ; [23 14],[51.68067227 30.31932773] ; [23.31932773 13.68067227],0
n5,1,0.898228,0.016358,[55 25] ; [25 12],[54.7008547 25.2991453] ; [25.2991453 11.7008547],0
u2,1,0.918433,0.010487,[18 17] ; [9 8],[18.17307692 16.82692308] ; [8.82692308 8.17307692],0
u1,1,0.932316,0.007213,[ 2 80] ; [ 1 36],[ 2.06722689 79.93277311] ; [ 0.93277311 36.06722689],0
p3,1,0.933488,0.006965,[30 51] ; [14 23],[30.20338983 50.79661017] ; [13.79661017 23.20338983],0
p8,1,0.955611,0.003098,[36 44] ; [16 20],[35.86206897 44.13793103] ; [16.13793103 19.86206897],0
n6,1,0.982652,0.000473,[65 15] ; [30  7],[64.95726496 15.04273504] ; [30.04273504  6.95726496],0
p6,1,0.997027,1.4e-05,[29 49] ; [13 22],[28.99115044 49.00884956] ; [13.00884956 21.99115044],0
