Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.8697,[ 65 280] ; [18 14],[ 75.95490716 269.04509284] ; [ 7.04509284 24.95490716],1
v1,1,0.143782,2.137005,[172 179] ; [20 12],[175.95822454 175.04177546] ; [16.04177546 15.95822454],0
v2,1,0.162354,1.952159,[182 163] ; [21 11],[185.76923077 159.23076923] ; [17.23076923 14.76923077],0
d1,1,0.225811,1.467052,[194 159] ; [15 19],[190.63824289 162.36175711] ; [18.36175711 15.63824289],0
a1,1,0.226422,1.463198,[ 15 338] ; [ 3 31],[ 16.41860465 336.58139535] ; [ 1.58139535 32.41860465],0
p2,1,0.230198,1.439637,[266  86] ; [28  5],[268.8  83.2] ; [25.2  7.8],0
d5,1,0.257515,1.282066,[287  65] ; [25  9],[284.51813472  67.48186528] ; [27.48186528  6.51813472],0
d3,1,0.321036,0.984719,[236 115] ; [20 14],[233.39220779 117.60779221] ; [22.60779221 11.39220779],0
b1,1,0.329674,0.950179,[126 227] ; [15 19],[128.6124031 224.3875969] ; [12.3875969 21.6124031],0
s2,1,0.354448,0.857469,[ 51 298] ; [ 3 31],[ 49.20626632 299.79373368] ; [ 4.79373368 29.20626632],0
a3,1,0.421568,0.64594,[235 117] ; [25  9],[237.0984456 114.9015544] ; [22.9015544 11.0984456],0
u3,1,0.469896,0.522221,[64 54] ; [6 3],[65.03937008 52.96062992] ; [4.96062992 4.03937008],0
n2,1,0.525907,0.402295,[63 32] ; [4 1],[63.65 31.35] ; [3.35 1.65],0
a4,1,0.526389,0.401358,[154 197] ; [13 21],[152.25194805 198.74805195] ; [14.74805195 19.25194805],0
n1,1,0.531641,0.391255,[33 62] ; [2 2],[33.58585859 61.41414141] ; [1.41414141 2.58585859],0
a7,1,0.561167,0.337687,[252  99] ; [26  8],[253.44935065  97.55064935] ; [24.55064935  9.44935065],0
a2,1,0.571919,0.319481,[ 77 276] ; [ 6 28],[ 75.70801034 277.29198966] ; [ 7.29198966 26.70801034],0
u1,1,0.58142,0.303944,[ 50 303] ; [ 6 28],[ 51.08010336 301.91989664] ; [ 4.91989664 29.08010336],0
n6,1,0.61517,0.252714,[287  66] ; [28  5],[288.06994819  64.93005181] ; [26.93005181  6.06994819],0
d2,1,0.680144,0.169964,[157 193] ; [14 20],[155.859375 194.140625] ; [15.140625 18.859375],0
n3,1,0.719132,0.129326,[63 30] ; [3 2],[62.63265306 30.36734694] ; [3.36734694 1.63265306],0
s1,1,0.809412,0.05817,[  8 342] ; [ 1 33],[  8.203125 341.796875] ; [ 0.796875 33.203125],0
r3,1,0.810474,0.057511,[325  27] ; [31  3],[324.64248705  27.35751295] ; [31.35751295  2.64248705],0
s4,1,0.82847,0.046944,[ 37 312] ; [ 3 29],[ 36.64041995 312.35958005] ; [ 3.35958005 28.64041995],0
a8,1,0.852643,0.034502,[ 35 280] ; [ 3 27],[ 34.69565217 280.30434783] ; [ 3.30434783 26.69565217],0
a6,1,0.886196,0.020483,[245 108] ; [24 10],[245.36692506 107.63307494] ; [23.63307494 10.36692506],0
d4,1,0.891904,0.018467,[276  76] ; [27  7],[276.31088083  75.68911917] ; [26.68911917  7.31088083],0
r4,1,0.898961,0.016122,[314  39] ; [30  4],[313.77777778  39.22222222] ; [30.22222222  3.77777778],0
v4,1,0.958448,0.002714,[333  20] ; [32  2],[332.93281654  20.06718346] ; [32.06718346  1.93281654],0
b5,1,0.974832,0.000995,[219 134] ; [21 13],[218.91472868 134.08527132] ; [21.08527132 12.91472868],0
r1,1,0.975422,0.000949,[270  82] ; [26  8],[269.92746114  82.07253886] ; [26.07253886  7.92746114],0
