Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2.4e-05,17.845815,[19 16] ; [ 1 26],[11.29032258 23.70967742] ; [ 8.70967742 18.29032258],1
a1,1,0.432002,0.617435,[ 4 31] ; [ 5 22],[ 5.08064516 29.91935484] ; [ 3.91935484 23.08064516],0
p2,1,0.436796,0.604684,[13 21] ; [13 14],[14.49180328 19.50819672] ; [11.50819672 15.49180328],0
b4,1,0.481564,0.49532,[20 15] ; [13 14],[18.62903226 16.37096774] ; [14.37096774 12.62903226],0
v4,1,0.481564,0.49532,[20 15] ; [13 14],[18.62903226 16.37096774] ; [14.37096774 12.62903226],0
u2,1,0.530236,0.393939,[5 6] ; [ 5 10],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
p8,1,0.551508,0.354623,[ 9 26] ; [ 5 21],[ 8.03278689 26.96721311] ; [ 5.96721311 20.03278689],0
s3,1,0.582416,0.302345,[10 24] ; [ 6 20],[ 9.06666667 24.93333333] ; [ 6.93333333 19.06666667],0
p6,1,0.6508,0.204893,[ 4 31] ; [ 4 22],[ 4.59016393 30.40983607] ; [ 3.40983607 22.59016393],0
s2,1,0.653214,0.201872,[ 5 30] ; [ 5 22],[ 5.64516129 29.35483871] ; [ 4.35483871 22.64516129],0
s6,1,0.677339,0.173136,[ 8 27] ; [ 5 22],[ 7.33870968 27.66129032] ; [ 5.66129032 21.33870968],0
v3,1,0.677339,0.173136,[ 8 27] ; [ 5 22],[ 7.33870968 27.66129032] ; [ 5.66129032 21.33870968],0
n2,1,0.715534,0.132812,[7 9] ; [9 9],[7.52941176 8.47058824] ; [8.47058824 9.52941176],0
p7,1,0.723959,0.124731,[ 9 22] ; [ 9 18],[ 9.62068966 21.37931034] ; [ 8.37931034 18.62068966],0
s1,1,0.737348,0.112472,[ 3 32] ; [ 3 24],[ 3.38709677 31.61290323] ; [ 2.61290323 24.38709677],0
p12,1,0.851614,0.034991,[ 1 34] ; [ 1 26],[ 1.12903226 33.87096774] ; [ 0.87096774 26.12903226],0
p11,1,0.878918,0.023208,[11 24] ; [ 8 19],[10.72580645 24.27419355] ; [ 8.27419355 18.72580645],0
s4,1,0.883608,0.021432,[ 7 28] ; [ 5 22],[ 6.77419355 28.22580645] ; [ 5.22580645 21.77419355],0
a8,1,0.920745,0.009899,[ 1 30] ; [ 1 26],[ 1.06896552 29.93103448] ; [ 0.93103448 26.06896552],0
