Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.3e-05,17.898298,[73  9] ; [24 19],[63.632 18.368] ; [33.368  9.632],1
b2,1,0.491683,0.472841,[20 26] ; [13 12],[21.38028169 24.61971831] ; [11.61971831 13.38028169],0
b3,1,0.491683,0.472841,[20 26] ; [13 12],[21.38028169 24.61971831] ; [11.61971831 13.38028169],0
n4,1,0.491784,0.472621,[72 11] ; [37  8],[70.6796875 12.3203125] ; [38.3203125  6.6796875],0
r3,1,0.511975,0.430028,[81  2] ; [42  2],[80.38582677  2.61417323] ; [42.61417323  1.38582677],0
r2,1,0.527562,0.399085,[81  2] ; [43  2],[80.40625  2.59375] ; [43.59375  1.40625],0
n1,1,0.570632,0.321626,[5 7] ; [4 9],[4.32 7.68] ; [4.68 8.32],0
v1,1,0.608565,0.262269,[60 22] ; [31 14],[58.75590551 23.24409449] ; [32.24409449 12.75590551],0
u3,1,0.68017,0.169935,[9 4] ; [8 5],[8.5 4.5] ; [8.5 4.5],0
s4,1,0.717332,0.131064,[16 66] ; [10 35],[16.78740157 65.21259843] ; [ 9.21259843 35.78740157],0
a4,1,0.767854,0.087133,[42 41] ; [24 21],[42.796875 40.203125] ; [23.203125 21.796875],0
s7,1,0.776465,0.080615,[59 19] ; [33 12],[58.34146341 19.65853659] ; [33.65853659 11.34146341],0
d3,1,0.799044,0.064813,[61 22] ; [34 11],[61.6015625 21.3984375] ; [33.3984375 11.6015625],0
b1,1,0.826369,0.048119,[33 50] ; [17 28],[32.421875 50.578125] ; [17.578125 27.421875],0
b4,1,0.826369,0.048119,[50 33] ; [28 17],[50.578125 32.421875] ; [27.421875 17.578125],0
a6,1,0.851303,0.03514,[56 26] ; [30 15],[55.52755906 26.47244094] ; [30.47244094 14.52755906],0
b5,1,0.8689,0.027244,[43 40] ; [24 21],[43.4453125 39.5546875] ; [23.5546875 21.4453125],0
s1,1,0.930584,0.007588,[ 2 79] ; [ 1 44],[ 1.92857143 79.07142857] ; [ 1.07142857 43.92857143],0
d2,1,0.937996,0.006051,[45 38] ; [23 20],[44.79365079 38.20634921] ; [23.20634921 19.79365079],0
p12,1,0.966947,0.001717,[15 68] ; [ 8 37],[14.9140625 68.0859375] ; [ 8.0859375 36.9140625],0
a2,1,0.997454,1e-05,[24 59] ; [13 32],[23.9921875 59.0078125] ; [13.0078125 31.9921875],0
