Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,78.232563,[321  75] ; [74 95],[276.84955752 119.15044248] ; [118.15044248  50.84955752],1
n3,1,0.622074,0.242963,[46 18] ; [32 10],[47.09433962 16.90566038] ; [30.90566038 11.09433962],0
p5,1,0.697809,0.150761,[ 56 338] ; [ 26 142],[ 57.48754448 336.51245552] ; [ 24.51245552 143.48754448],0
a1,1,0.742147,0.108248,[ 19 379] ; [  7 162],[ 18.25044092 379.74955908] ; [  7.74955908 161.25044092],0
v3,1,0.755142,0.09726,[168 212] ; [71 95],[166.33699634 213.66300366] ; [72.66300366 93.33699634],0
n6,1,0.760476,0.092937,[363  32] ; [154  15],[362.08333333  32.91666667] ; [154.91666667  14.08333333],0
s1,1,0.765447,0.089004,[ 10 380] ; [  5 161],[ 10.52158273 379.47841727] ; [  4.47841727 161.52158273],0
u4,1,0.784246,0.074961,[ 11 386] ; [  4 165],[ 10.52120141 386.47879859] ; [  4.47879859 164.52120141],0
p6,1,0.8128,0.056082,[158 236] ; [ 64 100],[156.75268817 237.24731183] ; [65.24731183 98.75268817],0
d2,1,0.881632,0.022171,[200 196] ; [86 82],[200.80851064 195.19148936] ; [85.19148936 82.80851064],0
a3,1,0.918703,0.010418,[292 105] ; [125  44],[292.48939929 104.51060071] ; [124.51060071  44.48939929],0
n1,1,0.946487,0.004505,[25 38] ; [16 25],[24.83653846 38.16346154] ; [16.16346154 24.83653846],0
p7,1,0.955834,0.003067,[263 122] ; [113  53],[262.72232305 122.27767695] ; [113.27767695  52.72232305],0
