Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.443781,[ 21 124] ; [44 66],[ 36.96078431 108.03921569] ; [28.03921569 81.96078431],1
n5,1,0.664437,0.188179,[92 54] ; [67 44],[90.32684825 55.67315175] ; [68.67315175 42.32684825],0
u2,1,0.706512,0.141785,[31 31] ; [18 21],[30.07920792 31.92079208] ; [18.92079208 20.07920792],0
u1,1,0.730569,0.11859,[ 15 132] ; [ 10 102],[ 14.18918919 132.81081081] ; [ 10.81081081 101.18918919],0
a2,1,0.761654,0.091997,[ 23 124] ; [16 96],[ 22.13513514 124.86486486] ; [16.86486486 95.13513514],0
d2,1,0.797647,0.065738,[55 90] ; [40 70],[54.01960784 90.98039216] ; [40.98039216 69.01960784],0
u4,1,0.846467,0.037492,[  1 146] ; [  1 111],[  1.13513514 145.86486486] ; [  0.86486486 111.13513514],0
s4,1,0.852698,0.034476,[ 21 124] ; [17 94],[ 21.5234375 123.4765625] ; [16.4765625 94.5234375],0
u3,1,0.903554,0.014683,[31 31] ; [21 20],[31.30097087 30.69902913] ; [20.69902913 20.30097087],0
b5,1,0.917514,0.010726,[87 60] ; [67 45],[87.40540541 59.59459459] ; [66.59459459 45.40540541],0
p12,1,0.983322,0.000437,[  4 143] ; [  3 109],[  3.97297297 143.02702703] ; [  3.02702703 108.97297297],0
