Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1.6e-05,18.650066,[39 25] ; [ 4 26],[29.27659574 34.72340426] ; [13.72340426 16.27659574],1
a7,1,0.681433,0.168517,[41 24] ; [17 12],[40.10638298 24.89361702] ; [17.89361702 11.10638298],0
n2,1,0.685795,0.163675,[15 13] ; [9 6],[15.62790698 12.37209302] ; [8.37209302 6.62790698],0
d3,1,0.721284,0.127266,[45 20] ; [19 10],[44.25531915 20.74468085] ; [19.74468085  9.25531915],0
v3,1,0.774612,0.081995,[18 46] ; [ 9 20],[18.58064516 45.41935484] ; [ 8.41935484 20.58064516],0
p8,1,0.774612,0.081995,[18 46] ; [ 9 20],[18.58064516 45.41935484] ; [ 8.41935484 20.58064516],0
p7,1,0.786128,0.073626,[24 38] ; [10 18],[23.42222222 38.57777778] ; [10.57777778 17.42222222],0
s2,1,0.791833,0.069659,[21 41] ; [11 19],[21.56521739 40.43478261] ; [10.43478261 19.56521739],0
v2,1,0.822445,0.050356,[32 31] ; [14 15],[31.5 31.5] ; [14.5 14.5],0
p11,1,0.869178,0.027127,[38 27] ; [17 13],[37.63157895 27.36842105] ; [17.36842105 12.63157895],0
b2,1,0.923837,0.00914,[14 29] ; [ 5 11],[13.84745763 29.15254237] ; [ 5.15254237 10.84745763],0
b3,1,0.923837,0.00914,[14 29] ; [ 5 11],[13.84745763 29.15254237] ; [ 5.15254237 10.84745763],0
n3,1,0.926608,0.008485,[13 14] ; [7 8],[12.85714286 14.14285714] ; [7.14285714 7.85714286],0
p10,1,0.951148,0.003753,[35 27] ; [16 12],[35.13333333 26.86666667] ; [15.86666667 12.13333333],0
r1,1,1.0,0.0,[21 42] ; [10 20],[21. 42.] ; [10. 20.],0
