Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000225,13.607359,[10  4] ; [ 2 18],[4.94117647 9.05882353] ; [ 7.05882353 12.94117647],1
p6,1,0.499802,0.455357,[5 9] ; [ 5 15],[4.11764706 9.88235294] ; [ 5.88235294 14.11764706],0
r2,1,0.509126,0.435862,[11  2] ; [15  5],[10.24242424  2.75757576] ; [15.75757576  4.24242424],0
v2,1,0.517585,0.418703,[ 3 11] ; [ 6 13],[ 3.81818182 10.18181818] ; [ 5.18181818 13.81818182],0
d1,1,0.563293,0.334035,[7 7] ; [ 8 12],[6.17647059 7.82352941] ; [ 8.82352941 11.17647059],0
n6,1,0.588201,0.293163,[9 5] ; [11  9],[8.23529412 5.76470588] ; [11.76470588  8.23529412],0
s4,1,0.628439,0.234184,[ 3 11] ; [ 3 17],[ 2.47058824 11.52941176] ; [ 3.52941176 16.47058824],0
a4,1,0.64266,0.21528,[6 8] ; [ 7 13],[5.35294118 8.64705882] ; [ 7.64705882 12.35294118],0
p5,1,0.678071,0.172306,[ 3 11] ; [ 3 16],[ 2.54545455 11.45454545] ; [ 3.45454545 15.54545455],0
p11,1,0.681314,0.168651,[8 6] ; [10 10],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
p8,1,0.681314,0.168651,[6 8] ; [10 10],[6.58823529 7.41176471] ; [ 9.41176471 10.58823529],0
a3,1,0.693329,0.155505,[10  4] ; [13  7],[9.47058824 4.52941176] ; [13.52941176  6.47058824],0
p2,1,0.746108,0.104831,[11  3] ; [14  5],[10.60606061  3.39393939] ; [14.39393939  4.60606061],0
b2,1,0.75235,0.099567,[4 8] ; [3 8],[3.65217391 8.34782609] ; [3.34782609 7.65217391],0
b3,1,0.75235,0.099567,[4 8] ; [3 8],[3.65217391 8.34782609] ; [3.34782609 7.65217391],0
p12,1,0.772525,0.083564,[ 1 13] ; [ 2 18],[ 1.23529412 12.76470588] ; [ 1.76470588 18.23529412],0
p4,1,0.773753,0.082639,[7 7] ; [11  9],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
r1,1,0.773753,0.082639,[7 7] ; [ 9 11],[6.58823529 7.41176471] ; [ 9.41176471 10.58823529],0
s1,1,0.793823,0.068304,[ 1 13] ; [ 1 19],[ 0.82352941 13.17647059] ; [ 1.17647059 18.82352941],0
u2,1,0.818971,0.052381,[2 2] ; [3 4],[1.81818182 2.18181818] ; [3.18181818 3.81818182],0
p10,1,0.919242,0.01028,[11  3] ; [16  4],[11.11764706  2.88235294] ; [15.88235294  4.11764706],0
d5,1,0.928308,0.008095,[10  4] ; [14  6],[9.88235294 4.11764706] ; [14.11764706  5.88235294],0
p1,1,0.953847,0.00335,[ 2 12] ; [ 3 17],[ 2.05882353 11.94117647] ; [ 2.94117647 17.05882353],0
p7,1,0.980769,0.000581,[5 7] ; [ 8 11],[5.03225806 6.96774194] ; [ 7.96774194 11.03225806],0
