Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.01884,5.51631,[ 3 14] ; [12 10],[ 6.53846154 10.46153846] ; [ 8.46153846 13.53846154],0
a5,1,0.642767,0.215142,[9 8] ; [10 12],[8.28205128 8.71794872] ; [10.71794872 11.28205128],0
s7,1,0.654001,0.200893,[ 3 13] ; [ 5 15],[ 3.55555556 12.44444444] ; [ 4.44444444 15.55555556],0
u3,1,0.671373,0.18,[1 7] ; [2 8],[1.33333333 6.66666667] ; [1.66666667 8.33333333],0
v1,1,0.681725,0.16819,[ 4 13] ; [ 4 18],[ 3.48717949 13.51282051] ; [ 4.51282051 17.48717949],0
p7,1,0.681725,0.16819,[ 4 13] ; [ 4 18],[ 3.48717949 13.51282051] ; [ 4.51282051 17.48717949],0
p3,1,0.696829,0.151792,[ 3 14] ; [ 5 17],[ 3.48717949 13.51282051] ; [ 4.51282051 17.48717949],0
p1,1,0.696829,0.151792,[ 3 14] ; [ 5 17],[ 3.48717949 13.51282051] ; [ 4.51282051 17.48717949],0
a7,1,0.700941,0.147495,[8 9] ; [ 9 13],[7.41025641 9.58974359] ; [ 9.58974359 12.41025641],0
n5,1,0.720786,0.127741,[11  6] ; [13  9],[10.46153846  6.53846154] ; [13.53846154  8.46153846],0
s8,1,0.784916,0.074484,[ 2 15] ; [ 2 20],[ 1.74358974 15.25641026] ; [ 2.25641026 19.74358974],0
r3,1,0.789342,0.071378,[ 7 10] ; [10 12],[7.41025641 9.58974359] ; [ 9.58974359 12.41025641],0
s6,1,0.790643,0.070478,[ 4 13] ; [ 6 16],[ 4.35897436 12.64102564] ; [ 5.64102564 16.35897436],0
u2,1,0.813945,0.055385,[2 6] ; [3 7],[2.22222222 5.77777778] ; [2.77777778 7.22222222],0
b1,1,0.85541,0.033204,[9 8] ; [11 11],[8.71794872 8.28205128] ; [11.28205128 10.71794872],0
s4,1,0.862362,0.030057,[ 2 15] ; [ 3 19],[ 2.17948718 14.82051282] ; [ 2.82051282 19.17948718],0
v2,1,0.875179,0.024675,[ 4 12] ; [ 6 16],[ 4.21052632 11.78947368] ; [ 5.78947368 16.21052632],0
a3,1,0.916902,0.010886,[9 7] ; [12 10],[8.84210526 7.15789474] ; [12.15789474  9.84210526],0
n4,1,0.944955,0.004767,[11  6] ; [14  8],[10.8974359  6.1025641] ; [14.1025641  7.8974359],0
d4,1,0.944955,0.004767,[11  6] ; [14  8],[10.8974359  6.1025641] ; [14.1025641  7.8974359],0
s2,1,0.96558,0.001862,[ 3 14] ; [ 4 18],[ 3.05128205 13.94871795] ; [ 3.94871795 18.05128205],0
p4,1,0.96558,0.001862,[ 3 14] ; [ 4 18],[ 3.05128205 13.94871795] ; [ 3.94871795 18.05128205],0
s1,1,0.96558,0.001862,[ 3 14] ; [ 4 18],[ 3.05128205 13.94871795] ; [ 3.94871795 18.05128205],0
a6,1,0.98657,0.000283,[ 7 10] ; [ 9 13],[ 6.97435897 10.02564103] ; [ 9.02564103 12.97435897],0
