Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,5.8e-05,16.164329,[  9 239] ; [12 58],[ 16.37735849 231.62264151] ; [ 4.62264151 65.37735849],1
a7,1,0.067486,3.343124,[180  69] ; [42 27],[173.83018868  75.16981132] ; [48.16981132 20.83018868],0
s4,1,0.082185,3.021161,[ 28 219] ; [13 54],[ 32.25159236 214.74840764] ; [ 8.74840764 58.25159236],0
d2,1,0.093114,2.819692,[107 142] ; [37 31],[113.11041009 135.88958991] ; [30.88958991 37.11041009],0
n4,1,0.108787,2.571757,[205  45] ; [63  7],[209.375  40.625] ; [58.625 11.375],0
p4,1,0.132746,2.260093,[122 126] ; [41 28],[127.52050473 120.47949527] ; [35.47949527 33.52050473],0
b2,1,0.133845,2.247336,[45 90] ; [21 25],[49.22651934 85.77348066] ; [16.77348066 29.22651934],0
b3,1,0.133845,2.247336,[45 90] ; [21 25],[49.22651934 85.77348066] ; [16.77348066 29.22651934],0
d5,1,0.140301,2.174654,[190  60] ; [59 11],[194.53125  55.46875] ; [54.46875 15.53125],0
s3,1,0.171566,1.869207,[ 87 161] ; [30 38],[ 91.82278481 156.17721519] ; [25.17721519 42.82278481],0
r2,1,0.194595,1.682479,[220  27] ; [66  4],[222.84542587  24.15457413] ; [63.15457413  6.84542587],0
u2,1,0.196825,1.665778,[46 52] ; [ 7 15],[43.28333333 54.71666667] ; [ 9.71666667 12.28333333],0
v4,1,0.249794,1.324454,[220  30] ; [65  5],[222.65625  27.34375] ; [62.34375  7.65625],0
p11,1,0.250463,1.320721,[191  59] ; [58 12],[194.53125  55.46875] ; [54.46875 15.53125],0
u1,1,0.261264,1.262049,[ 27 223] ; [11 59],[ 29.6875 220.3125] ; [ 8.3125 61.6875],0
p2,1,0.31567,1.006802,[187  60] ; [57 13],[190.11987382  56.88012618] ; [53.88012618 16.11987382],0
a3,1,0.340309,0.909265,[151  97] ; [47 23],[154.41509434  93.58490566] ; [43.58490566 26.41509434],0
p12,1,0.341514,0.904741,[ 11 238] ; [ 5 64],[ 12.52830189 236.47169811] ; [ 3.47169811 65.52830189],0
b4,1,0.407626,0.685714,[147 103] ; [45 25],[150. 100.] ; [42. 28.],0
p9,1,0.409698,0.679676,[192  55] ; [56 12],[194.46349206  52.53650794] ; [53.53650794 14.46349206],0
n2,1,0.503191,0.448199,[46 20] ; [8 2],[46.89473684 19.10526316] ; [7.10526316 2.89473684],0
b1,1,0.519682,0.414525,[ 93 157] ; [29 41],[ 95.3125 154.6875] ; [26.6875 43.3125],0
u3,1,0.560682,0.338526,[45 54] ; [12 11],[46.25409836 52.74590164] ; [10.74590164 12.25409836],0
a2,1,0.601531,0.272693,[ 50 200] ; [16 54],[ 51.5625 198.4375] ; [14.4375 55.5625],0
d3,1,0.621984,0.243088,[152  97] ; [45 25],[153.77115987  95.22884013] ; [43.22884013 26.77115987],0
n1,1,0.638437,0.220793,[27 38] ; [3 6],[26.35135135 38.64864865] ; [3.64864865 5.35135135],0
a8,1,0.680124,0.169987,[ 29 198] ; [10 58],[ 30.01016949 196.98983051] ; [ 8.98983051 59.01016949],0
s1,1,0.751218,0.100511,[  5 240] ; [ 1 68],[  4.68152866 240.31847134] ; [ 1.31847134 67.68152866],0
a1,1,0.857208,0.032375,[ 12 238] ; [ 3 67],[ 11.71875 238.28125] ; [ 3.28125 66.71875],0
a6,1,0.897872,0.016474,[173  77] ; [49 21],[173.4375  76.5625] ; [48.5625 21.4375],0
n3,1,0.936693,0.006309,[44 20] ; [7 3],[44.10810811 19.89189189] ; [6.89189189 3.10810811],0
v2,1,0.939531,0.005755,[115 121] ; [33 34],[115.27392739 120.72607261] ; [32.72607261 34.27392739],0
v3,1,0.984887,0.000359,[ 78 164] ; [22 46],[ 78.06451613 163.93548387] ; [21.93548387 46.06451613],0
r3,1,0.990419,0.000144,[220  29] ; [61  8],[220.02830189  28.97169811] ; [60.97169811  8.02830189],0
