Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,37.534694,[106  38] ; [27 57],[84. 60.] ; [49. 35.],1
b2,1,0.180085,1.796919,[23 51] ; [23 31],[26.59375 47.40625] ; [19.40625 34.59375],0
b3,1,0.180085,1.796919,[23 51] ; [23 31],[26.59375 47.40625] ; [19.40625 34.59375],0
n3,1,0.183395,1.769897,[31 13] ; [19 15],[28.20512821 15.79487179] ; [21.79487179 12.20512821],0
a1,1,0.230644,1.436886,[  4 141] ; [ 5 79],[  5.69868996 139.30131004] ; [ 3.30131004 80.69868996],0
s3,1,0.245387,1.349378,[ 34 111] ; [25 57],[ 37.68722467 107.31277533] ; [21.31277533 60.68722467],0
n6,1,0.309541,1.032634,[103  41] ; [54 29],[99.59471366 44.40528634] ; [57.40528634 25.59471366],0
n4,1,0.383106,0.760711,[93 52] ; [49 35],[89.91266376 55.08733624] ; [52.08733624 31.91266376],0
a8,1,0.404061,0.696208,[ 15 120] ; [ 6 73],[ 13.24766355 121.75233645] ; [ 7.75233645 71.24766355],0
a3,1,0.424445,0.637975,[91 53] ; [48 35],[88.17621145 55.82378855] ; [50.82378855 32.17621145],0
u2,1,0.450343,0.569788,[26 28] ; [14 21],[24.26966292 29.73033708] ; [15.73033708 19.26966292],0
s7,1,0.454835,0.558576,[ 24 114] ; [17 62],[ 26.07373272 111.92626728] ; [14.92626728 64.07373272],0
p11,1,0.467079,0.528879,[100  45] ; [54 30],[97.51091703 47.48908297] ; [56.48908297 27.51091703],0
n1,1,0.485062,0.48746,[18 27] ; [11 23],[16.51898734 28.48101266] ; [12.48101266 21.51898734],0
s2,1,0.506148,0.442023,[ 24 121] ; [11 72],[ 22.25877193 122.74122807] ; [12.74122807 70.25877193],0
n5,1,0.538185,0.378915,[86 58] ; [53 30],[88.17621145 55.82378855] ; [50.82378855 32.17621145],0
b4,1,0.610119,0.260002,[81 64] ; [44 40],[79.14847162 65.85152838] ; [45.85152838 38.14847162],0
s4,1,0.618618,0.247815,[ 15 130] ; [ 7 77],[ 13.930131 131.069869] ; [ 8.069869 75.930131],0
s1,1,0.646439,0.210419,[  7 137] ; [ 3 81],[  6.31578947 137.68421053] ; [ 3.68421053 80.31578947],0
s8,1,0.715256,0.133084,[ 15 130] ; [10 74],[ 15.82969432 129.17030568] ; [ 9.17030568 74.82969432],0
p5,1,0.725452,0.123329,[  4 140] ; [ 3 80],[  4.44052863 139.55947137] ; [ 2.55947137 80.44052863],0
n2,1,0.733443,0.115974,[26 18] ; [22 13],[26.73417722 17.26582278] ; [21.26582278 13.73417722],0
d2,1,0.750516,0.101098,[57 88] ; [34 48],[58.1277533 86.8722467] ; [32.8722467 49.1277533],0
s5,1,0.790864,0.070325,[ 14 128] ; [ 9 73],[ 14.58035714 127.41964286] ; [ 8.41964286 73.58035714],0
v2,1,0.82253,0.050307,[47 93] ; [26 55],[46.24434389 93.75565611] ; [26.75565611 54.24434389],0
p7,1,0.823569,0.04971,[65 78] ; [39 44],[65.80530973 77.19469027] ; [38.19469027 44.80530973],0
a4,1,0.84399,0.038727,[54 91] ; [32 51],[54.69298246 90.30701754] ; [31.30701754 51.69298246],0
p1,1,0.92805,0.008154,[  9 135] ; [ 5 79],[  8.84210526 135.15789474] ; [ 5.15789474 78.84210526],0
v1,1,0.983256,0.00044,[46 96] ; [27 56],[46.07111111 95.92888889] ; [26.92888889 56.07111111],0
