Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.7e-05,16.214397,[12 12] ; [13 86],[ 4.87804878 19.12195122] ; [20.12195122 78.87804878],1
n5,1,0.458869,0.548652,[12 11] ; [60 39],[13.57377049  9.42622951] ; [58.42622951 40.57377049],0
a1,1,0.486244,0.484827,[ 3 21] ; [ 8 92],[ 2.12903226 21.87096774] ; [ 8.87096774 91.12903226],0
b1,1,0.576556,0.311836,[14 10] ; [52 48],[12.77419355 11.22580645] ; [53.22580645 46.77419355],0
p8,1,0.61078,0.259041,[ 7 16] ; [25 74],[ 6.03278689 16.96721311] ; [25.96721311 73.03278689],0
n2,1,0.640738,0.217778,[3 4] ; [22 20],[3.57142857 3.42857143] ; [21.42857143 20.57142857],0
a7,1,0.665095,0.187393,[14  9] ; [65 34],[14.89344262  8.10655738] ; [64.10655738 34.89344262],0
n3,1,0.727267,0.121636,[4 3] ; [20 20],[3.57446809 3.42553191] ; [20.42553191 19.57446809],0
b3,1,0.735983,0.113689,[4 6] ; [20 38],[3.52941176 6.47058824] ; [20.47058824 37.52941176],0
b2,1,0.735983,0.113689,[4 6] ; [20 38],[3.52941176 6.47058824] ; [20.47058824 37.52941176],0
p5,1,0.756111,0.096468,[ 1 22] ; [ 3 95],[ 0.76033058 22.23966942] ; [ 3.23966942 94.76033058],0
a3,1,0.826785,0.047885,[16  8] ; [63 35],[15.54098361  8.45901639] ; [63.45901639 34.54098361],0
a2,1,0.835333,0.043209,[ 6 18] ; [23 77],[ 5.61290323 18.38709677] ; [23.38709677 76.61290323],0
n4,1,0.838324,0.041631,[14 10] ; [60 39],[14.43902439  9.56097561] ; [59.56097561 39.43902439],0
a6,1,0.87103,0.026357,[13 11] ; [56 44],[13.35483871 10.64516129] ; [55.64516129 44.35483871],0
d1,1,0.87103,0.026357,[11 13] ; [44 56],[10.64516129 13.35483871] ; [44.35483871 55.64516129],0
b5,1,0.890839,0.018835,[15  9] ; [64 36],[15.29032258  8.70967742] ; [63.70967742 36.29032258],0
p1,1,0.970266,0.001389,[ 1 23] ; [ 4 96],[ 0.96774194 23.03225806] ; [ 4.03225806 95.96774194],0
r1,1,0.981561,0.000534,[15  9] ; [61 37],[14.95081967  9.04918033] ; [61.04918033 36.95081967],0
