Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,39.413708,[  8 127] ; [44 71],[ 28.08 106.92] ; [23.92 91.08],1
p10,1,0.124066,2.365227,[83 50] ; [81 32],[88.66666667 44.33333333] ; [75.33333333 37.66666667],0
n3,1,0.146818,2.105007,[26 17] ; [33 11],[29.16091954 13.83908046] ; [29.83908046 14.16091954],0
b4,1,0.147377,2.099192,[81 55] ; [58 57],[75.31474104 60.68525896] ; [63.68525896 51.31474104],0
v1,1,0.180628,1.792447,[51 82] ; [52 59],[56.14344262 76.85655738] ; [46.85655738 64.14344262],0
u1,1,0.201063,1.634635,[  3 133] ; [  6 109],[  4.87649402 131.12350598] ; [  4.12350598 110.87649402],0
a6,1,0.255906,1.29077,[76 60] ; [56 59],[71.52191235 64.47808765] ; [60.47808765 54.52191235],0
a1,1,0.263459,1.250488,[  9 127] ; [  4 111],[  7.0438247 128.9561753] ; [  5.9561753 109.0438247],0
n6,1,0.269848,1.217519,[93 42] ; [85 28],[96.89516129 38.10483871] ; [81.10483871 31.89516129],0
d3,1,0.280303,1.165618,[51 85] ; [50 63],[55.16465863 80.83534137] ; [45.83534137 67.16465863],0
b1,1,0.345222,0.890944,[50 86] ; [49 66],[53.64143426 82.35856574] ; [45.35856574 69.64143426],0
n4,1,0.345324,0.890566,[89 47] ; [68 46],[85.408 50.592] ; [71.592 42.408],0
a2,1,0.434953,0.609561,[  9 127] ; [  5 110],[  7.58565737 128.41434263] ; [  6.41434263 108.58565737],0
s1,1,0.437767,0.602128,[  9 125] ; [  5 108],[  7.5951417 126.4048583] ; [  6.4048583 106.5951417],0
d2,1,0.439576,0.597388,[ 21 115] ; [22 93],[ 23.29880478 112.70119522] ; [19.70119522 95.29880478],0
r2,1,0.473846,0.512993,[112  24] ; [96 16],[114.06451613  21.93548387] ; [93.93548387 18.06451613],0
p9,1,0.48947,0.477692,[92 40] ; [84 30],[94.43902439 37.56097561] ; [81.56097561 32.43902439],0
p1,1,0.491784,0.472621,[ 10 125] ; [  6 108],[  8.6746988 126.3253012] ; [  7.3253012 106.6746988],0
n5,1,0.553609,0.350892,[87 49] ; [77 37],[89.216 46.784] ; [74.784 39.216],0
a8,1,0.579347,0.307292,[ 18 110] ; [18 90],[ 19.52542373 108.47457627] ; [16.47457627 91.52542373],0
s4,1,0.588458,0.292759,[ 25 111] ; [18 96],[ 23.392 112.608] ; [19.608 94.392],0
u3,1,0.617465,0.249447,[32 35] ; [22 29],[30.66101695 36.33898305] ; [23.33898305 27.66101695],0
a5,1,0.630748,0.231048,[68 68] ; [54 61],[66.10358566 69.89641434] ; [55.89641434 59.10358566],0
v3,1,0.634422,0.226112,[35 98] ; [27 87],[33.38461538 99.61538462] ; [28.61538462 85.38461538],0
b5,1,0.641339,0.216995,[82 54] ; [66 49],[80.19123506 55.80876494] ; [67.80876494 47.19123506],0
a3,1,0.649182,0.206933,[69 65] ; [62 52],[70.78225806 63.21774194] ; [60.21774194 53.78225806],0
a7,1,0.696042,0.152622,[79 57] ; [69 45],[80.512 55.488] ; [67.488 46.512],0
a4,1,0.751139,0.100576,[ 32 103] ; [29 85],[ 33.07228916 101.92771084] ; [27.92771084 86.07228916],0
p5,1,0.791055,0.070194,[  7 129] ; [  5 108],[  6.55421687 129.44578313] ; [  5.44578313 107.55421687],0
p12,1,0.804897,0.061016,[  5 129] ; [  5 110],[  5.3815261 128.6184739] ; [  4.6184739 110.3815261],0
d4,1,0.827047,0.047738,[75 61] ; [65 50],[75.85657371 60.14342629] ; [64.14342629 50.85657371],0
u2,1,0.892205,0.018364,[32 35] ; [25 26],[32.36440678 34.63559322] ; [24.63559322 26.36440678],0
n1,1,0.896022,0.017079,[18 26] ; [17 26],[17.70114943 26.29885057] ; [17.29885057 25.70114943],0
n2,1,0.954488,0.003257,[35 10] ; [34 10],[34.88764045 10.11235955] ; [34.11235955  9.88764045],0
