Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,63.107877,[ 29 123] ; [117  72],[65.07917889 86.92082111] ; [ 80.92082111 108.07917889],1
s5,1,0.05377,3.719816,[ 31 115] ; [ 57 129],[ 38.69879518 107.30120482] ; [ 49.30120482 136.69879518],0
a5,1,0.060111,3.534314,[103  50] ; [146  45],[110.74709302  42.25290698] ; [138.25290698  52.74709302],0
n3,1,0.095727,2.775324,[35 23] ; [37 12],[39.02803738 18.97196262] ; [32.97196262 16.02803738],0
n1,1,0.101884,2.675802,[24 35] ; [12 35],[20.03773585 38.96226415] ; [15.96226415 31.03773585],0
s8,1,0.119928,2.418261,[ 48 105] ; [ 75 115],[54.86588921 98.13411079] ; [ 68.13411079 121.86588921],0
s1,1,0.129716,2.295897,[  9 143] ; [  5 184],[  6.24046921 145.75953079] ; [  7.75953079 181.24046921],0
a7,1,0.156909,2.003767,[117  35] ; [134  57],[111.2303207  40.7696793] ; [139.7696793  51.2303207],0
u2,1,0.164878,1.928909,[21 23] ; [31 19],[24.34042553 19.65957447] ; [27.65957447 22.34042553],0
d4,1,0.183126,1.772073,[137  15] ; [163  28],[132.94460641  19.05539359] ; [167.05539359  23.94460641],0
v3,1,0.218508,1.51414,[ 34 113] ; [ 55 134],[ 38.9375 108.0625] ; [ 50.0625 138.9375],0
b5,1,0.220771,1.49935,[91 62] ; [101  90],[85.39534884 67.60465116] ; [106.60465116  84.39534884],0
d2,1,0.228732,1.448729,[86 64] ; [97 94],[80.49853372 69.50146628] ; [102.50146628  88.49853372],0
r2,1,0.230083,1.440349,[136  15] ; [176  12],[138.97345133  12.02654867] ; [173.02654867  14.97345133],0
v2,1,0.257784,1.280617,[60 87] ; [87 98],[65.0873494 81.9126506] ; [ 81.9126506 103.0873494],0
a4,1,0.266843,1.232903,[76 76] ; [ 84 107],[70.90379009 81.09620991] ; [ 89.09620991 101.90379009],0
u3,1,0.309574,1.032494,[27 17] ; [26 25],[24.54736842 19.45263158] ; [28.45263158 22.54736842],0
p1,1,0.32021,0.98809,[ 13 139] ; [ 11 179],[ 10.66666667 141.33333333] ; [ 13.33333333 176.66666667],0
d3,1,0.413458,0.668834,[110  43] ; [144  46],[113.30029155  39.69970845] ; [140.69970845  49.30029155],0
u1,1,0.439652,0.597192,[ 28 125] ; [ 29 162],[ 25.35174419 127.64825581] ; [ 31.64825581 159.35174419],0
a2,1,0.507361,0.439507,[ 33 120] ; [ 47 144],[ 35.58139535 117.41860465] ; [ 44.41860465 146.58139535],0
s4,1,0.51861,0.416656,[ 25 127] ; [ 36 152],[ 27.27058824 124.72941176] ; [ 33.72941176 154.27058824],0
n6,1,0.54866,0.359723,[119  34] ; [152  37],[121.23684211  31.76315789] ; [149.76315789  39.23684211],0
d1,1,0.58243,0.302322,[106  47] ; [127  64],[103.63081395  49.36918605] ; [129.36918605  61.63081395],0
a6,1,0.629203,0.233143,[102  51] ; [132  59],[104.0755814  48.9244186] ; [129.9244186  61.0755814],0
n5,1,0.646406,0.210462,[98 54] ; [127  63],[100.  52.] ; [125.  65.],0
p12,1,0.649535,0.206487,[  5 148] ; [  8 182],[  5.79883382 147.20116618] ; [  7.20116618 182.79883382],0
b1,1,0.686952,0.162405,[60 93] ; [ 79 112],[61.82267442 91.17732558] ; [ 77.17732558 113.82267442],0
a3,1,0.752749,0.099235,[109  44] ; [139  52],[110.30232558  42.69767442] ; [137.69767442  53.30232558],0
a1,1,0.826079,0.048283,[  8 145] ; [  9 182],[  7.56104651 145.43895349] ; [  9.43895349 181.56104651],0
b2,1,0.931573,0.007373,[28 60] ; [35 77],[27.72 60.28] ; [35.28 76.72],0
b3,1,0.931573,0.007373,[28 60] ; [35 77],[27.72 60.28] ; [35.28 76.72],0
