Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,27.537909,[137  20] ; [15 17],[126.26455026  30.73544974] ; [25.73544974  6.26455026],1
u2,1,0.233103,1.421829,[30 28] ; [ 6 11],[27.84 30.16] ; [8.16 8.84],0
u3,1,0.269067,1.2215,[36 22] ; [8 9],[34.02666667 23.97333333] ; [9.97333333 7.02666667],0
a8,1,0.273886,1.197182,[ 13 125] ; [ 5 26],[ 14.69822485 123.30177515] ; [ 3.30177515 27.69822485],0
n2,1,0.29001,1.119576,[15  7] ; [7 1],[16.13333333  5.86666667] ; [5.86666667 2.13333333],0
n1,1,0.418437,0.6547,[ 5 17] ; [3 5],[ 5.86666667 16.13333333] ; [2.13333333 5.86666667],0
v3,1,0.422577,0.643137,[54 98] ; [ 9 23],[52.04347826 99.95652174] ; [10.95652174 21.04347826],0
p12,1,0.447199,0.577743,[  9 147] ; [ 3 29],[  9.95744681 146.04255319] ; [ 2.04255319 29.95744681],0
b4,1,0.500737,0.453373,[93 64] ; [21 11],[94.6984127 62.3015873] ; [19.3015873 12.6984127],0
s5,1,0.564971,0.33117,[ 43 108] ; [ 7 23],[ 41.71270718 109.28729282] ; [ 8.28729282 21.71270718],0
n5,1,0.609335,0.261144,[110  46] ; [24  8],[111.19148936  44.80851064] ; [22.80851064  9.19148936],0
n6,1,0.696953,0.151661,[127  30] ; [26  5],[127.7712766  29.2287234] ; [25.2287234  5.7712766],0
s2,1,0.705725,0.142584,[ 48 107] ; [11 21],[ 48.90374332 106.09625668] ; [10.09625668 21.90374332],0
n3,1,0.711923,0.136364,[18  4] ; [7 1],[18.33333333  3.66666667] ; [6.66666667 1.33333333],0
s3,1,0.714764,0.133565,[62 92] ; [14 18],[62.92473118 91.07526882] ; [13.07526882 18.92473118],0
b5,1,0.779513,0.078374,[89 68] ; [19 13],[89.71428571 67.28571429] ; [18.28571429 13.71428571],0
p1,1,0.783856,0.075239,[ 17 140] ; [ 4 28],[ 17.44444444 139.55555556] ; [ 3.55555556 28.44444444],0
p5,1,0.783856,0.075239,[ 17 140] ; [ 4 28],[ 17.44444444 139.55555556] ; [ 3.55555556 28.44444444],0
s4,1,0.790835,0.070345,[ 22 132] ; [ 5 26],[ 22.47567568 131.52432432] ; [ 4.52432432 26.47567568],0
v2,1,0.801352,0.063301,[86 65] ; [19 13],[86.63934426 64.36065574] ; [18.36065574 13.63934426],0
s6,1,0.82515,0.048808,[84 68] ; [17 15],[83.43478261 68.56521739] ; [17.56521739 14.43478261],0
b1,1,0.827082,0.047719,[72 85] ; [14 18],[71.43915344 85.56084656] ; [14.56084656 17.43915344],0
n4,1,0.836477,0.042602,[120  37] ; [25  7],[120.44973545  36.55026455] ; [24.55026455  7.44973545],0
b2,1,0.874672,0.024878,[32 64] ; [ 6 11],[32.28318584 63.71681416] ; [ 5.71681416 11.28318584],0
b3,1,0.874672,0.024878,[32 64] ; [ 6 11],[32.28318584 63.71681416] ; [ 5.71681416 11.28318584],0
