Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,43.977897,[94  3] ; [6 9],[86.60714286 10.39285714] ; [13.39285714  1.60714286],1
n1,1,0.168509,1.896162,[ 7 13] ; [4 2],[ 8.46153846 11.53846154] ; [2.53846154 3.46153846],0
s1,1,0.179446,1.802203,[ 4 90] ; [ 2 14],[ 5.12727273 88.87272727] ; [ 0.87272727 15.12727273],0
p7,1,0.186205,1.747389,[60 33] ; [7 8],[57.69444444 35.30555556] ; [9.30555556 5.69444444],0
v3,1,0.186725,1.743269,[36 60] ; [ 3 12],[33.72972973 62.27027027] ; [5.27027027 9.72972973],0
a6,1,0.187412,1.737848,[65 32] ; [8 8],[62.66371681 34.33628319] ; [10.33628319  5.66371681],0
s5,1,0.248669,1.330768,[24 69] ; [ 2 14],[22.18348624 70.81651376] ; [ 3.81651376 12.18348624],0
b1,1,0.251639,1.314181,[34 63] ; [8 8],[36.05309735 60.94690265] ; [ 5.94690265 10.05309735],0
a4,1,0.252282,1.310622,[23 73] ; [ 6 10],[24.85714286 71.14285714] ; [ 4.14285714 11.85714286],0
b3,1,0.301154,1.069079,[12 45] ; [3 5],[13.15384615 43.84615385] ; [1.84615385 6.15384615],0
b2,1,0.301154,1.069079,[12 45] ; [3 5],[13.15384615 43.84615385] ; [1.84615385 6.15384615],0
p8,1,0.381882,0.764634,[48 44] ; [6 9],[46.42990654 45.57009346] ; [7.57009346 7.42990654],0
b4,1,0.464528,0.534963,[45 52] ; [9 7],[46.3539823 50.6460177] ; [7.6460177 8.3539823],0
n5,1,0.532884,0.388889,[73 23] ; [11  5],[72. 24.] ; [12.  4.],0
d3,1,0.593572,0.2848,[32 65] ; [6 9],[32.91071429 64.08928571] ; [5.08928571 9.91071429],0
s4,1,0.596106,0.280909,[17 78] ; [ 2 14],[16.26126126 78.73873874] ; [ 2.73873874 13.26126126],0
p1,1,0.66901,0.182762,[15 81] ; [ 3 12],[15.56756757 80.43243243] ; [ 2.43243243 12.56756757],0
a8,1,0.683881,0.165789,[ 9 81] ; [ 1 14],[ 8.57142857 81.42857143] ; [ 1.42857143 13.57142857],0
a3,1,0.785133,0.07433,[54 42] ; [9 6],[54.48648649 41.51351351] ; [8.51351351 6.48648649],0
d5,1,0.788731,0.071802,[52 45] ; [8 8],[51.50442478 45.49557522] ; [8.49557522 7.50442478],0
a2,1,0.792146,0.069445,[10 87] ; [ 2 14],[10.30088496 86.69911504] ; [ 1.69911504 14.30088496],0
d2,1,0.838163,0.041716,[22 75] ; [ 4 12],[22.31858407 74.68141593] ; [ 3.68141593 12.31858407],0
u2,1,0.86785,0.027685,[17 26] ; [3 4],[17.2 25.8] ; [2.8 4.2],0
p6,1,0.906044,0.013931,[28 66] ; [ 5 11],[28.2 65.8] ; [ 4.8 11.2],0
a5,1,0.976348,0.000879,[61 36] ; [10  6],[60.94690265 36.05309735] ; [10.05309735  5.94690265],0
d1,1,0.992096,9.8e-05,[ 6 91] ; [ 1 15],[ 6.00884956 90.99115044] ; [ 0.99115044 15.00884956],0
