Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,9.7e-05,15.190151,[ 85 148] ; [37 20],[ 98.02068966 134.97931034] ; [23.97931034 33.02068966],1
u2,1,0.47587,0.508312,[40 34] ; [12  7],[41.37634409 32.62365591] ; [10.62365591  8.37634409],0
d1,1,0.489514,0.477594,[130 105] ; [35 23],[132.33788396 102.66211604] ; [32.66211604 25.33788396],0
a8,1,0.505081,0.444243,[ 29 190] ; [ 5 46],[ 27.57777778 191.42222222] ; [ 6.42222222 44.57777778],0
a6,1,0.506622,0.441039,[147  88] ; [39 19],[149.18088737  85.81911263] ; [36.81911263 21.18088737],0
r2,1,0.515173,0.423545,[221  13] ; [56  2],[221.97945205  12.02054795] ; [55.02054795  2.97945205],0
a1,1,0.525802,0.402498,[  8 227] ; [ 3 55],[  8.8225256 226.1774744] ; [ 2.1774744 55.8225256],0
p9,1,0.527597,0.399018,[178  55] ; [42 16],[176.15120275  56.84879725] ; [43.84879725 14.15120275],0
s8,1,0.534744,0.385369,[ 94 139] ; [26 32],[ 96.08247423 136.91752577] ; [23.91752577 34.08247423],0
n3,1,0.535051,0.384789,[48 27] ; [6 2],[48.79518072 26.20481928] ; [5.20481928 2.79518072],0
p8,1,0.53775,0.379726,[119 114] ; [27 31],[116.90034364 116.09965636] ; [29.09965636 28.90034364],0
b4,1,0.542206,0.371466,[136  99] ; [31 27],[133.94197952 101.05802048] ; [33.05802048 24.94197952],0
s4,1,0.57565,0.31332,[ 48 182] ; [10 47],[ 46.48083624 183.51916376] ; [11.51916376 45.48083624],0
p12,1,0.601612,0.272571,[ 12 221] ; [ 4 54],[ 12.81099656 220.18900344] ; [ 3.18900344 54.81099656],0
d3,1,0.657045,0.197133,[159  76] ; [41 17],[160.40955631  74.59044369] ; [39.59044369 18.40955631],0
r3,1,0.682041,0.167837,[214  20] ; [54  4],[214.76712329  19.23287671] ; [53.23287671  4.76712329],0
s3,1,0.700301,0.148159,[133 101] ; [34 23],[134.28865979  99.71134021] ; [32.71134021 24.28865979],0
s5,1,0.706924,0.141369,[ 78 150] ; [18 39],[ 76.8 151.2] ; [19.2 37.8],0
d4,1,0.744951,0.105822,[190  45] ; [45 12],[189.12671233  45.87328767] ; [45.87328767 11.12671233],0
a4,1,0.747791,0.103396,[107 126] ; [28 30],[108.09278351 124.90721649] ; [26.90721649 31.09278351],0
p11,1,0.749216,0.102191,[175  60] ; [42 16],[174.0443686  60.9556314] ; [42.9556314 15.0443686],0
p6,1,0.749753,0.101739,[ 85 149] ; [22 35],[ 86.04123711 147.95876289] ; [20.95876289 36.04123711],0
p10,1,0.75867,0.094389,[173  61] ; [41 16],[172.08247423  61.91752577] ; [41.91752577 15.08247423],0
a2,1,0.796898,0.066236,[ 53 182] ; [14 44],[ 53.73720137 181.26279863] ; [13.26279863 44.73720137],0
p7,1,0.875034,0.024733,[137  93] ; [34 22],[137.51748252  92.48251748] ; [33.48251748 22.51748252],0
a3,1,0.971094,0.001313,[160  73] ; [39 18],[159.8862069  73.1137931] ; [39.1137931 17.8862069],0
n2,1,0.979262,0.000676,[51 26] ; [6 3],[51.03488372 25.96511628] ; [5.96511628 3.03488372],0
n1,1,1.0,0.0,[33 44] ; [3 4],[33. 44.] ; [3. 4.],0
