Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9.1e-05,15.312785,[ 4 37] ; [8 5],[ 9.11111111 31.88888889] ; [ 2.88888889 10.11111111],1
p3,1,0.394944,0.723667,[ 8 33] ; [4 9],[ 9.11111111 31.88888889] ; [ 2.88888889 10.11111111],0
n4,1,0.401054,0.705164,[23 18] ; [9 4],[24.2962963 16.7037037] ; [7.7037037 5.2962963],0
s4,1,0.476629,0.506567,[ 6 35] ; [ 3 10],[ 6.83333333 34.16666667] ; [ 2.16666667 10.83333333],0
d1,1,0.496157,0.463147,[10 31] ; [ 2 11],[ 9.11111111 31.88888889] ; [ 2.88888889 10.11111111],0
a6,1,0.537467,0.380254,[15 26] ; [6 7],[15.94444444 25.05555556] ; [5.05555556 7.94444444],0
p4,1,0.537467,0.380254,[15 26] ; [6 7],[15.94444444 25.05555556] ; [5.05555556 7.94444444],0
a8,1,0.597525,0.278745,[ 5 33] ; [ 1 12],[ 4.47058824 33.52941176] ; [ 1.52941176 11.47058824],0
r4,1,0.608485,0.262387,[ 9 32] ; [ 2 11],[ 8.35185185 32.64814815] ; [ 2.64814815 10.35185185],0
u2,1,0.621705,0.243478,[11 12] ; [3 2],[11.5 11.5] ; [2.5 2.5],0
p5,1,0.634586,0.225893,[ 5 35] ; [ 1 12],[ 4.52830189 35.47169811] ; [ 1.47169811 11.52830189],0
d5,1,0.637016,0.222667,[19 22] ; [7 6],[19.74074074 21.25925926] ; [6.25925926 6.74074074],0
p11,1,0.729576,0.119501,[23 18] ; [8 5],[23.53703704 17.46296296] ; [7.46296296 5.53703704],0
v4,1,0.729576,0.119501,[23 18] ; [8 5],[23.53703704 17.46296296] ; [7.46296296 5.53703704],0
b5,1,0.750259,0.101313,[21 20] ; [6 7],[20.5 20.5] ; [6.5 6.5],0
n1,1,0.750824,0.10084,[ 6 11] ; [2 5],[ 5.66666667 11.33333333] ; [2.33333333 4.66666667],0
s5,1,0.765458,0.088996,[ 5 36] ; [ 2 11],[ 5.31481481 35.68518519] ; [ 1.68518519 11.31481481],0
r3,1,0.779611,0.078303,[26 14] ; [9 4],[26.41509434 13.58490566] ; [8.58490566 4.41509434],0
v1,1,0.782272,0.076375,[11 30] ; [4 9],[11.38888889 29.61111111] ; [3.61111111 9.38888889],0
a1,1,0.823,0.050036,[ 4 37] ; [ 1 12],[ 3.7962963 37.2037037] ; [ 1.2037037 11.7962963],0
n5,1,0.847789,0.036841,[24 17] ; [8 5],[24.2962963 16.7037037] ; [7.7037037 5.2962963],0
p7,1,0.847789,0.036841,[17 24] ; [5 8],[16.7037037 24.2962963] ; [5.2962963 7.7037037],0
d3,1,0.886806,0.020263,[18 23] ; [6 7],[18.22222222 22.77777778] ; [5.77777778 7.22222222],0
a7,1,0.886806,0.020263,[18 23] ; [6 7],[18.22222222 22.77777778] ; [5.77777778 7.22222222],0
