Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.00435,8.131708,[ 3 42] ; [ 86 246],[10.62334218 34.37665782] ; [ 78.37665782 253.62334218],0
p9,1,0.328982,0.952901,[39  6] ; [300  29],[40.78877005  4.21122995] ; [298.21122995  30.78877005],0
b4,1,0.337971,0.918114,[29 16] ; [189 143],[26.02122016 18.97877984] ; [191.97877984 140.02122016],0
p8,1,0.351788,0.866997,[23 21] ; [195 132],[25.85444744 18.14555256] ; [192.14555256 134.85444744],0
b2,1,0.356291,0.850924,[11 19] ; [103 123],[13.359375 16.640625] ; [100.640625 125.359375],0
b3,1,0.356291,0.850924,[11 19] ; [103 123],[13.359375 16.640625] ; [100.640625 125.359375],0
d1,1,0.361399,0.833026,[28 17] ; [229 103],[30.67639257 14.32360743] ; [226.32360743 105.67639257],0
s4,1,0.368645,0.808227,[11 34] ; [ 62 268],[ 8.76 36.24] ; [ 64.24 265.76],0
n6,1,0.395703,0.721346,[38  7] ; [293  37],[39.72  5.28] ; [291.28  38.72],0
v3,1,0.416446,0.660322,[18 24] ; [157 160],[20.4735376 21.5264624] ; [154.5264624 162.4735376],0
b1,1,0.419355,0.652123,[16 29] ; [139 193],[18.50132626 26.49867374] ; [136.49867374 195.50132626],0
p4,1,0.440194,0.595776,[28 17] ; [225 106],[30.27925532 14.72074468] ; [222.72074468 108.27925532],0
s5,1,0.45611,0.555423,[16 24] ; [147 171],[18.2122905 21.7877095] ; [144.7877095 173.2122905],0
p7,1,0.496881,0.461591,[29 15] ; [229  94],[30.93188011 13.06811989] ; [227.06811989  95.93188011],0
b5,1,0.511753,0.430481,[29 16] ; [197 135],[26.97612732 18.02387268] ; [199.02387268 132.97612732],0
n1,1,0.513081,0.427778,[6 5] ; [29 37],[5. 6.] ; [30. 36.],0
p12,1,0.519074,0.415732,[ 4 41] ; [ 40 288],[ 5.30831099 39.69168901] ; [ 38.69168901 289.30831099],0
p11,1,0.519414,0.415057,[38  7] ; [267  65],[36.40583554  8.59416446] ; [268.59416446  63.40583554],0
u4,1,0.520608,0.41269,[ 1 44] ; [ 14 318],[ 1.79045093 43.20954907] ; [ 13.20954907 318.79045093],0
a7,1,0.521592,0.410744,[30 15] ; [236  95],[31.83510638 13.16489362] ; [234.16489362  96.83510638],0
n3,1,0.652632,0.202597,[10  3] ; [46 19],[9.33333333 3.66666667] ; [46.66666667 18.33333333],0
p5,1,0.703428,0.14493,[ 6 38] ; [ 52 276],[ 6.86021505 37.13978495] ; [ 51.13978495 276.86021505],0
a1,1,0.73256,0.116774,[ 3 42] ; [ 18 314],[ 2.5066313 42.4933687] ; [ 18.4933687 313.5066313],0
p10,1,0.795798,0.066972,[40  5] ; [288  41],[39.46524064  5.53475936] ; [288.53475936  40.46524064],0
s3,1,0.799071,0.064795,[34 11] ; [242  86],[33.29758713 11.70241287] ; [242.70241287  85.29758713],0
s2,1,0.822652,0.050236,[33 12] ; [236  93],[32.36631016 12.63368984] ; [236.63368984  92.36631016],0
p3,1,0.871423,0.026196,[27 18] ; [195 137],[26.49867374 18.50132626] ; [195.50132626 136.49867374],0
n2,1,0.88571,0.02066,[9 4] ; [47 19],[9.21518987 3.78481013] ; [46.78481013 19.21518987],0
u2,1,0.905759,0.014016,[10  5] ; [43 20],[10.19230769  4.80769231] ; [42.80769231 20.19230769],0
r3,1,0.960359,0.00247,[44  1] ; [325   7],[44.04509284  0.95490716] ; [324.95490716   7.04509284],0
