Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.593966,[111  25] ; [25 25],[99.44086022 36.55913978] ; [36.55913978 13.44086022],1
u2,1,0.195599,1.674933,[18 27] ; [13 10],[20.51470588 24.48529412] ; [10.48529412 12.51470588],0
s2,1,0.228312,1.451344,[51 85] ; [14 36],[47.52688172 88.47311828] ; [17.47311828 32.52688172],0
p5,1,0.3216,0.98243,[ 11 123] ; [ 2 48],[  9.4673913 124.5326087] ; [ 3.5326087 46.4673913],0
v1,1,0.335113,0.929039,[60 73] ; [19 32],[57.10326087 75.89673913] ; [21.89673913 29.10326087],0
u1,1,0.337594,0.919547,[  7 129] ; [ 1 50],[  5.81818182 130.18181818] ; [ 2.18181818 48.81818182],0
p4,1,0.386679,0.749361,[60 73] ; [19 31],[57.41530055 75.58469945] ; [21.58469945 28.41530055],0
r4,1,0.40777,0.685294,[94 42] ; [32 19],[91.63636364 44.36363636] ; [34.36363636 16.63636364],0
a2,1,0.485278,0.486979,[  9 127] ; [ 2 49],[  8. 128.] ; [ 3. 48.],0
d3,1,0.580832,0.304891,[54 82] ; [18 33],[52.36363636 83.63636364] ; [19.63636364 31.36363636],0
p11,1,0.603878,0.269186,[96 40] ; [34 17],[94.54545455 41.45454545] ; [35.45454545 15.54545455],0
s4,1,0.610311,0.259722,[ 17 119] ; [ 5 46],[ 16. 120.] ; [ 6. 45.],0
b5,1,0.611541,0.257937,[69 67] ; [28 23],[70.54545455 65.45454545] ; [26.45454545 24.54545455],0
p7,1,0.696,0.152667,[67 65] ; [27 23],[68.17582418 63.82417582] ; [25.82417582 24.17582418],0
s1,1,0.712928,0.13537,[  7 127] ; [ 2 49],[  6.51891892 127.48108108] ; [ 2.48108108 48.51891892],0
a8,1,0.730774,0.118402,[ 11 115] ; [ 5 43],[ 11.5862069 114.4137931] ; [ 4.4137931 43.5862069],0
b4,1,0.765261,0.08915,[66 70] ; [26 25],[66.90909091 69.09090909] ; [25.09090909 25.90909091],0
b1,1,0.765261,0.08915,[66 70] ; [26 25],[66.90909091 69.09090909] ; [25.09090909 25.90909091],0
a1,1,0.842228,0.039619,[  7 129] ; [ 3 48],[  7.27272727 128.72727273] ; [ 2.72727273 48.27272727],0
n3,1,0.885326,0.0208,[26 15] ; [15  8],[26.265625 14.734375] ; [14.734375  8.265625],0
v4,1,0.894142,0.017706,[111  23] ; [41  9],[110.69565217  23.30434783] ; [41.30434783  8.69565217],0
a6,1,0.927355,0.008313,[55 81] ; [21 30],[55.27272727 80.72727273] ; [20.72727273 30.27272727],0
