Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4e-06,21.273102,[ 7 23] ; [42 14],[17.09302326 12.90697674] ; [31.90697674 24.09302326],1
a5,1,0.541516,0.372738,[14 16] ; [30 26],[15.34883721 14.65116279] ; [28.65116279 27.34883721],0
a8,1,0.54354,0.369019,[ 2 27] ; [ 2 50],[ 1.43209877 27.56790123] ; [ 2.56790123 49.43209877],0
b5,1,0.555225,0.34804,[17 13] ; [28 28],[15.69767442 14.30232558] ; [29.30232558 26.69767442],0
a4,1,0.562251,0.335822,[ 8 22] ; [18 37],[ 9.17647059 20.82352941] ; [16.82352941 38.17647059],0
d1,1,0.576231,0.312367,[12 18] ; [19 37],[10.81395349 19.18604651] ; [20.18604651 35.81395349],0
v4,1,0.577568,0.310183,[19 11] ; [32 24],[17.79069767 12.20930233] ; [33.20930233 22.79069767],0
s6,1,0.583683,0.300317,[ 8 22] ; [12 44],[ 6.97674419 23.02325581] ; [13.02325581 42.97674419],0
v3,1,0.600903,0.273636,[ 6 24] ; [14 42],[ 6.97674419 23.02325581] ; [13.02325581 42.97674419],0
u2,1,0.636871,0.222857,[ 4 10] ; [ 9 16],[4.66666667 9.33333333] ; [ 8.33333333 16.66666667],0
a2,1,0.718017,0.130401,[ 4 26] ; [ 6 50],[ 3.48837209 26.51162791] ; [ 6.51162791 49.48837209],0
s2,1,0.718017,0.130401,[ 4 26] ; [ 6 50],[ 3.48837209 26.51162791] ; [ 6.51162791 49.48837209],0
v1,1,0.738804,0.111181,[10 19] ; [17 38],[ 9.32142857 19.67857143] ; [17.67857143 37.32142857],0
n3,1,0.750455,0.101149,[8 7] ; [14 15],[7.5 7.5] ; [14.5 14.5],0
v2,1,0.891995,0.018436,[11 19] ; [19 35],[10.71428571 19.28571429] ; [19.28571429 34.71428571],0
a3,1,0.914652,0.011486,[16 14] ; [30 25],[16.23529412 13.76470588] ; [29.76470588 25.23529412],0
s8,1,0.917855,0.010637,[ 3 27] ; [ 6 50],[ 3.13953488 26.86046512] ; [ 5.86046512 50.13953488],0
p8,1,0.952072,0.003613,[ 8 22] ; [15 40],[ 8.11764706 21.88235294] ; [14.88235294 40.11764706],0
p4,1,1.0,0.0,[10 20] ; [18 36],[10. 20.] ; [18. 36.],0
