Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,175.497447,[304  55] ; [ 39 118],[238.6375969 120.3624031] ; [104.3624031  52.6375969],1
n5,1,0.244434,1.354837,[301  58] ; [125  32],[296.38372093  62.61627907] ; [129.61627907  27.38372093],0
u1,1,0.252398,1.309983,[ 82 277] ; [ 29 129],[ 77.07736944 281.92263056] ; [ 33.92263056 124.07736944],0
n3,1,0.283518,1.15015,[51 18] ; [25 14],[48.55555556 20.44444444] ; [27.44444444 11.55555556],0
n1,1,0.300907,1.070172,[30 39] ; [13 26],[27.47222222 41.52777778] ; [15.52777778 23.47222222],0
v3,1,0.321674,0.982128,[152 198] ; [60 95],[146.93069307 203.06930693] ; [65.06930693 89.93069307],0
p12,1,0.344896,0.892148,[ 42 316] ; [ 14 143],[ 38.92815534 319.07184466] ; [ 17.07184466 139.92815534],0
p8,1,0.444796,0.583879,[198 158] ; [80 74],[194.05490196 161.94509804] ; [83.94509804 70.05490196],0
b5,1,0.490525,0.475375,[218 141] ; [101  57],[221.5106383 137.4893617] ; [97.4893617 60.5106383],0
n2,1,0.541446,0.372866,[52 17] ; [28 12],[50.64220183 18.35779817] ; [29.35779817 10.64220183],0
p5,1,0.550304,0.356773,[ 55 302] ; [ 21 136],[ 52.78599222 304.21400778] ; [ 23.21400778 133.78599222],0
a7,1,0.553749,0.350643,[265  93] ; [113  45],[262.25581395  95.74418605] ; [115.74418605  42.25581395],0
a5,1,0.561445,0.337209,[271  88] ; [123  35],[273.58994197  85.41005803] ; [120.41005803  37.58994197],0
d4,1,0.631144,0.230513,[305  53] ; [132  26],[303.18992248  54.81007752] ; [133.81007752  24.18992248],0
v1,1,0.701028,0.147405,[197 150] ; [92 65],[198.97420635 148.02579365] ; [90.02579365 66.97420635],0
p6,1,0.708136,0.140146,[151 204] ; [64 93],[149.07226562 205.92773438] ; [65.92773438 91.07226562],0
b3,1,0.736068,0.113613,[ 84 136] ; [34 60],[ 82.67515924 137.32484076] ; [35.32484076 58.67515924],0
b2,1,0.736068,0.113613,[ 84 136] ; [34 60],[ 82.67515924 137.32484076] ; [35.32484076 58.67515924],0
u2,1,0.783046,0.075818,[44 36] ; [31 23],[44.7761194 35.2238806] ; [30.2238806 23.7761194],0
p3,1,0.818648,0.052571,[196 163] ; [84 73],[194.80620155 164.19379845] ; [85.19379845 71.80620155],0
p10,1,0.839159,0.041197,[307  48] ; [133  22],[306.2745098  48.7254902] ; [133.7254902  21.2745098],0
p4,1,0.846691,0.037381,[238 120] ; [103  54],[237.04466019 120.95533981] ; [103.95533981  53.04466019],0
a6,1,0.8476,0.036934,[241 117] ; [105  53],[240.05426357 117.94573643] ; [105.94573643  52.05426357],0
d5,1,0.879067,0.02315,[301  57] ; [132  26],[300.41472868  57.58527132] ; [132.58527132  25.41472868],0
b4,1,0.885526,0.020727,[216 143] ; [94 64],[215.26112186 143.73887814] ; [94.73887814 63.26112186],0
d3,1,0.910081,0.012755,[255 104] ; [113  45],[255.53578337 103.46421663] ; [112.46421663  45.53578337],0
v2,1,0.9639,0.002048,[197 147] ; [89 67],[196.768 147.232] ; [89.232 66.768],0
